index,name,state,city,county,enrollment,mmr,overall,xmed,xrel,xper,lat,lng
1,Academy Nw - Marysville Campus,Washington,Marysville,Snohomish,1,100,100,0,0,0,47.7825781,-122.2212001
2,Alfajer,Washington,Seattle,King,1,100,100,0,0,0,47.6385485,-122.3605128
3,Almira Elementary,Washington,Almira,Lincoln,3,100,100,0,0,0,47.7078084,-118.9407795
4,America's Child Montessori,Washington,Bellevue,King,13,100,100,0,0,0,47.6298661,-122.1486096
5,Apple Valley Elementary,Washington,Yakima,Yakima,69,100,100,0,0,0,46.5978171,-120.6241421
6,Applied Scholastics Academy Of Seattle,Washington,Seattle,King,2,100,100,0,0,0,47.6772225,-122.3223546
7,Beach Elem,Washington,Lummi Island,Whatcom,10,100,90,0,0,0,48.7250894,-122.6871187
8,Bel-Red Bilingual Academy,Washington,Bellevue,King,39,100,100,0,0,0,47.6272617,-122.1379997
9,Bellevue Montessori,Washington,Bellevue,King,26,100,100,0,0,0,47.6321914,-122.1914335
10,Bertschi,Washington,Seattle,King,36,100,97.22,0,0,2.78,47.639247,-122.3204491
11,Bethany Lutheran Elementary,Washington,Port Orchard,Kitsap,16,100,100,0,0,0,47.5260852,-122.6482434
12,Blossoming Hill Montessori,Washington,Maple Valley,King,7,100,100,0,0,0,47.407957,-122.021862
13,Boistfort Elem,Washington,Curtis,Lewis,9,100,100,0,0,0,46.5500592,-123.1328173
14,Buena Vista Sda,Washington,Auburn,King,19,100,100,0,0,0,47.2807066,-122.1571647
15,Camas Elementary,Washington,Wapato,Yakima,81,100,95.06,0,0,0,46.4386233,-120.4189428
16,Capital Montessori,Washington,Olympia,Thurston,10,100,100,0,0,0,47.0425517,-122.8432017
17,Captain Gray Elementary,Washington,Pasco,Franklin,69,100,97.1,0,0,0,46.2404616,-119.1039466
18,Carrolls Elementary,Washington,Carrolls,Cowlitz,16,100,93.75,0,0,0,46.070278,-122.865326
19,Cascade Christian Schools-Fredrickson Elementary,Washington,Tacoma,Pierce,48,100,100,0,0,0,47.0976309,-122.3831678
20,Cascadia Montessori,Washington,Redmond,King,26,100,100,0,0,0,47.6484745,-122.1255774
21,Cataldo,Washington,Spokane,Spokane,28,100,92.86,3.57,3.57,0,47.6387091,-117.4186366
22,Cathcart Elementary,Washington,Snohomish,Snohomish,56,100,100,0,0,0,47.8272793,-122.1221178
23,Cedar Crest Bellewood,Washington,Bellevue,King,52,100,100,0,0,0,47.6298727,-122.1922937
24,Centerville Elementary,Washington,Centerville,Klickitat,6,100,83.33,0,0,0,45.7528471,-120.8995126
25,Christ The King,Washington,Richland,Benton,43,100,100,0,0,0,46.2825533,-119.2855221
26,Christ The King,Washington,Seattle,King,20,100,100,0,0,0,47.7138423,-122.3535149
27,Clallam Bay High And Elementary,Washington,Clallam Bay,Clallam,11,100,100,0,0,0,48.2521529,-124.2586534
28,Colton,Washington,Colton,Whitman,13,100,100,0,0,0,46.5664405,-117.1311101
29,Columbia High And Elementary,Washington,Hunters,Stevens,8,100,100,0,0,0,48.1194695,-118.2025848
30,Concord Lutheran,Washington,Tacoma,Pierce,12,100,100,0,0,0,47.2059302,-122.4280277
31,Concordia Lutheran,Washington,Seattle,King,4,100,100,0,0,0,47.6803887,-122.2892184
32,Cottonwood Elementary,Washington,Bremerton,Kitsap,48,100,93.75,0,0,0,47.6424949,-122.646231
33,Creston Elementary,Washington,Creston,Lincoln,1,100,100,0,0,0,47.7549819,-118.5200414
34,Cypress Adventist,Washington,Lynnwood,Snohomish,4,100,75,0,0,0,47.8028725,-122.2581612
35,Damman Elementary,Washington,Ellensburg,Kittitas,7,100,100,0,0,0,46.9699644,-120.5707975
36,Discovery Montessori,Washington,Port Orchard,Kitsap,11,100,100,0,0,0,47.5334621,-122.6367225
37,Dower Elementary,Washington,Lakewood,Pierce,53,100,100,0,0,0,47.1857499,-122.5226821
38,Eagle Rock Multiage,Washington,Duvall,King,10,100,90,10,0,0,47.7348642,-121.9491595
39,East Valley Elementary,Washington,Yakima,Yakima,81,100,100,0,0,0,46.5752673,-120.4025966
40,Emerson Elementary,Washington,Pasco,Franklin,101,100,98.02,0,0,0,46.2376156,-119.1108143
41,Epiphany,Washington,Seattle,King,34,100,100,0,0,0,47.6181091,-122.2867518
42,Fairmount Elementary,Washington,Everett,Snohomish,7,100,100,0,0,0,47.8944611,-122.2693616
43,Fairview Christian,Washington,Seattle,King,11,100,90.91,0,0,9.09,47.6857193,-122.3184389
44,Garfield Elementary,Washington,Garfield,Whitman,6,100,100,0,0,0,47.0135981,-117.1407366
45,George Elementary,Washington,Quincy,Grant,23,100,95.65,0,0,0,47.0762953,-119.8565326
46,Gig Harbor Academy,Washington,Gig Harbor,Pierce,14,100,92.86,0,0,7.14,47.285603,-122.630004
47,Glenwood Elementary,Washington,Glenwood,Klickitat,2,100,100,0,0,0,46.0209185,-121.2906856
48,Grace Christian Academy,Washington,Republic,Ferry,1,100,100,0,0,0,48.6481069,-118.7384298
49,Grace Lutheran,Washington,Yakima,Yakima,3,100,100,0,0,0,46.5828095,-120.5155841
50,Grandview Adventist Junior Academy,Washington,Grandview,Yakima,4,100,100,0,0,0,46.25626,-119.8945153
51,Grant Elementary,Washington,East Wenatchee,Douglas,85,100,98.82,0,0,0,47.4034762,-120.2640772
52,Grays Harbor Adventist Christian,Washington,Montesano,Grays Harbor,1,100,100,0,0,0,46.9754103,-123.6588615
53,Guardian Angel St. Boniface,Washington,Colton,Whitman,4,100,100,0,0,0,46.5709731,-117.129024
54,Harrah Community Christian,Washington,Harrah,Yakima,4,100,100,0,0,0,46.4036356,-120.5474424
55,Highland Terrace Elementary,Washington,Shoreline,King,71,100,100,0,0,0,47.745914,-122.359616
56,Holy Family Bi-Lingual,Washington,Seattle,King,18,100,100,0,0,0,47.5169883,-122.3595786
57,Holy Family,Washington,Clarkston,Asotin,12,100,100,0,0,0,46.410913,-117.0510449
58,Holy Rosary Edmonds,Washington,Edmonds,Snohomish,28,100,92.86,0,0,7.14,47.8152625,-122.3711831
59,Holy Trinity Lutheran,Washington,Des Moines,King,18,100,100,0,0,0,47.368188,-122.307467
60,Hoover Elementary,Washington,Yakima,Yakima,120,100,96.67,0,0,0,46.5809477,-120.5126361
61,Jewish Day,Washington,Bellevue,King,11,100,100,0,0,0,47.612981,-122.1283035
62,Journey,Washington,Lynnwood,Snohomish,13,100,100,0,0,0,47.8026048,-122.2591263
63,Kahlotus Elementary And High,Washington,Kahlotus,Franklin,2,100,100,0,0,0,46.6413367,-118.5565041
64,Lakewood Lutheran,Washington,Lakewood,Pierce,9,100,100,0,0,0,47.1553465,-122.5719197
65,Leonard M Jennings Elementary,Washington,Colfax,Whitman,42,100,100,0,0,0,46.8945859,-117.3606661
66,Les Lilas,Washington,Kirkland,King,2,100,100,0,0,0,47.6647954,-122.1661701
67,Lewis County Adventist,Washington,Chehalis,Lewis,2,100,100,0,0,0,46.661791,-123.0142428
68,Living Montessori Academy,Washington,Bellevue,King,19,100,100,0,0,0,47.6324014,-122.1547126
69,Longfellow Elementary,Washington,Pasco,Franklin,57,100,98.25,0,0,0,46.2310677,-119.1016406
70,Loyal Heights Elementary,Washington,Seattle,King,70,100,97.14,0,0,2.86,47.685192,-122.3890677
71,Lyman Elementary,Washington,Lyman,Skagit,17,100,100,0,0,0,48.5280546,-122.0697855
72,Lynndale Elementary,Washington,Lynnwood,Snohomish,60,100,96.67,1.67,0,1.67,47.8258039,-122.3315934
73,Mary Purcell Elementary,Washington,Sedro-Woolley,Skagit,48,100,100,0,0,0,48.5001206,-122.2287983
74,Matheia,Washington,Seattle,King,1,100,100,0,0,0,47.6774734,-122.3846273
75,Maya Angelou Elementary,Washington,Pasco,Franklin,123,100,100,0,0,0,46.2816185,-119.1994448
76,Michael Anderson Elementary,Washington,Fairchild AFB,Spokane,77,100,97.4,0,0,2.6,47.6316336,-117.6606452
77,Montessori School Of Pullman,Washington,Pullman,Whitman,7,100,100,0,0,0,46.731053,-117.183229
78,Newport Children's,Washington,Bellevue,King,21,100,100,0,0,0,47.5686924,-122.1666764
79,North Country Christian,Washington,Oroville,Okanogan,1,100,100,0,0,0,48.939196,-119.095424
80,North Seattle French,Washington,Seattle,King,13,100,84.62,0,0,0,47.6773216,-122.3528675
81,Northlake Preschool/ Northlake Academy,Washington,Kirkland,King,26,100,100,0,0,0,47.713639,-122.1676529
82,Northwest Christian,Washington,Puyallup,Pierce,20,100,100,0,0,0,47.1828869,-122.2580901
83,Northwest School For Hearing Impaired,Washington,Shoreline,King,2,100,100,0,0,0,47.7408548,-122.3502443
84,Nueva Esperanza Leadership Acamy,Washington,Prescott,Walla Walla,4,100,100,0,0,0,46.315,-118.7661111
85,Oakbrook Elementary,Washington,Lakewood,Pierce,44,100,100,0,0,0,47.1861212,-122.5485457
86,Olympia Christian,Washington,Olympia,Thurston,1,100,100,0,0,0,47.0561699,-122.9387828
87,Open Window,Washington,Bellevue,King,36,100,100,0,0,0,47.5479723,-122.1143138
88,Orondo Elementary,Washington,Orondo,Douglas,15,100,100,0,0,0,47.6409159,-120.2165114
89,Our Lady Of Fatima,Washington,Seattle,King,18,100,100,0,0,0,47.6481819,-122.3991808
90,Our Lady Of Lourdes,Washington,Vancouver,Clark,15,100,93.33,0,0,6.67,45.656393,-122.6768649
91,Palisades Elementary,Washington,Palisades,Douglas,2,100,100,0,0,0,47.4164204,-119.9161497
92,Paterson,Washington,Paterson,Benton,12,100,100,0,0,0,45.9384688,-119.6098976
93,Perkins,Washington,Seattle,King,19,100,100,0,0,0,47.694227,-122.3180599
94,Pioneer,Washington,Veradale,Spokane,6,100,100,0,0,0,47.6631666,-117.1954007
95,Queets,Washington,FORKS,Clallam,2,100,100,0,0,0,47.5534382,-124.3560225
96,Riverside Christian,Washington,Yakima,Yakima,22,100,100,0,0,0,46.5972084,-120.4582214
97,Rosalia Elementary And Secondary,Washington,Rosalia,Whitman,10,100,90,0,0,0,47.2307431,-117.3690419
98,Saint George's,Washington,Spokane,Spokane,14,100,100,0,0,0,47.7667931,-117.469733
99,Salish Sea Deaf,Washington,Anacortes,Skagit,1,100,100,0,0,0,48.4656508,-122.3427455
100,Seattle Area German American,Washington,Seattle,King,17,100,100,0,0,0,47.7090053,-122.3551002
101,Seattle Jewish Community,Washington,Seattle,King,10,100,90,0,0,0,47.6808674,-122.3251953
102,Sky Valley Adventist,Washington,Snohomish,Snohomish,3,100,100,0,0,0,47.849148,-121.9871821
103,Snoqualmie Springs,Washington,Issaquah,King,35,100,100,0,0,0,47.5639547,-122.002388
104,Soundview,Washington,Lynnwood,Snohomish,8,100,100,0,0,0,47.8221231,-122.3218315
105,Spokane Valley Adventist,Washington,Spokane Valley,Spokane,11,100,100,0,0,0,47.641363,-117.1959347
106,Sprague Elementary,Washington,Sprague,Lincoln,10,100,100,0,0,0,47.2963724,-117.9807196
107,Spruce Street,Washington,Seattle,King,16,100,93.75,0,0,0,47.6168789,-122.3352999
108,St. Anne,Washington,Seattle,King,26,100,96.15,0,0,3.85,47.6311129,-122.3582591
109,St. Bernadette,Washington,Seattle,King,18,100,100,0,0,0,47.4888617,-122.3484808
110,St. Cecilia Catholic,Washington,Bainbridge Island,Kitsap,9,100,100,0,0,0,47.6365058,-122.5204427
111,St. Charles Borromeo,Washington,Tacoma,Pierce,51,100,98.04,0,0,0,47.24854,-122.532959
112,St. Charles,Washington,Spokane,Spokane,7,100,100,0,0,0,47.6987076,-117.4505914
113,St. Edwards,Washington,Seattle,King,14,100,100,0,0,0,47.550814,-122.2804746
114,St. Frances Cabrini,Washington,Lakewood,Pierce,27,100,100,0,0,0,47.1597478,-122.5110911
115,St. George,Washington,Seattle,King,21,100,100,0,0,0,47.5558991,-122.3164163
116,St. Joseph's,Washington,Kennewick,Benton,31,100,93.55,0,0,6.45,46.2056927,-119.1307652
117,St. Mark,Washington,Shoreline,King,14,100,100,0,0,0,47.761374,-122.313727
118,St. Matthew,Washington,Seattle,King,17,100,100,0,0,0,47.7214821,-122.3134014
119,St. Michael Catholic,Washington,Snohomish,Snohomish,14,100,100,0,0,0,47.9308826,-122.0859872
120,St. Michael,Washington,Olympia,Thurston,30,100,96.67,0,0,0,47.0400091,-122.8858765
121,St. Paul Cathedral,Washington,Yakima,Yakima,11,100,100,0,0,0,46.5959774,-120.5270793
122,St. Paul,Washington,Seattle,King,16,100,93.75,0,0,0,47.5105328,-122.2626654
123,St. Paul's Lutheran,Washington,Wenatchee,Chelan,9,100,100,0,0,0,47.4240179,-120.3171111
124,St. Philomena,Washington,Des Moines,King,28,100,100,0,0,0,47.4042599,-122.3102628
125,St. Rose Of Lima,Washington,Ephrata,Grant,11,100,100,0,0,0,47.3099652,-119.5402806
126,St. Rose,Washington,Longview,Cowlitz,11,100,100,0,0,0,46.131833,-122.95303
127,St. Therese,Washington,Seattle,King,16,100,100,0,0,0,47.6114162,-122.2881235
128,St. Thomas,Washington,Medina,King,36,100,97.22,0,0,0,47.6215591,-122.2300305
129,Steptoe Elementary,Washington,Steptoe,Whitman,5,100,100,0,0,0,47.0059831,-117.3512108
130,Sterling Intermediate,Washington,East Wenatchee,Douglas,33,100,100,0,0,0,47.4144246,-120.2704238
131,Stillpoint,Washington,Friday Harbor,San Juan,1,100,100,0,0,0,48.534176,-123.02621
132,Sunrise Beach,Washington,Olympia,Thurston,6,100,83.33,0,0,16.67,47.0155921,-122.8808643
133,Synergy Learning Academy,Washington,Issaquah,King,4,100,100,0,0,0,47.5516591,-122.0607032
134,The Bush,Washington,Seattle,King,32,100,100,0,0,0,47.6228784,-122.2886815
135,The Clearwater,Washington,Bothell,King,3,100,100,0,0,0,47.8198981,-122.2116608
136,The Eastside Montessori,Washington,Bellevue,King,1,100,100,0,0,0,47.627882,-122.1954073
137,The Harbor,Washington,Vashon,King,4,100,100,0,0,0,47.462493,-122.4588828
138,The Little,Washington,Bellevue,King,25,100,92,0,0,0,47.6356658,-122.1844039
139,The Sammamish Montessori,Washington,Redmond,King,35,100,100,0,0,0,47.672113,-122.101095
140,Thompson Elementary,Washington,Tacoma,Pierce,110,100,96.36,0,0,1.82,47.1129044,-122.4266195
141,Tilden,Washington,Seattle,King,16,100,100,0,0,0,47.5661634,-122.3871514
142,Tlc Montessori,Washington,Sammamish,King,10,100,100,0,0,0,47.6241544,-122.0528416
143,Totem Falls,Washington,Snohomish,Snohomish,50,100,94,6,0,0,47.8669087,-122.1446127
144,Touchet Elementary And High,Washington,Touchet,Walla Walla,11,100,100,0,0,0,46.0434678,-118.6727635
145,Trinity Catholic,Washington,Spokane,Spokane,23,100,100,0,0,0,47.6791714,-117.4326257
146,Tyee Park Elementary,Washington,Lakewood,Pierce,72,100,91.67,0,0,0,47.148781,-122.508329
147,Union Gap,Washington,Union Gap,Yakima,65,100,98.46,0,0,0,46.5559922,-120.4792946
148,Vale Elementary,Washington,Cashmere,Chelan,114,100,96.49,0.88,0,1.75,47.517505,-120.4716539
149,Valley Christian,Washington,Auburn,King,17,100,100,0,0,0,47.3065198,-122.2110973
150,Valley,Washington,Seattle,King,16,100,93.75,0,0,6.25,47.6217042,-122.2928725
151,Valley View Elementary,Washington,Toppenish,Yakima,72,100,97.22,0,0,0,46.3834204,-120.3020335
152,Villa Academy,Washington,Seattle,King,39,100,100,0,0,0,47.6638269,-122.2731119
153,Waller Road Elementary,Washington,Tacoma,Pierce,47,100,97.87,2.13,0,0,47.1996449,-122.3905349
154,Waterville Elementary,Washington,Waterville,Douglas,17,100,100,0,0,0,47.6454052,-120.0696874
155,Wellpinit Elementary,Washington,Wellpinit,Stevens,30,100,96.67,0,0,0,47.8980905,-117.9882851
156,Westgate Elementary,Washington,Edmonds,Snohomish,82,100,92.68,1.22,0,4.88,47.7988596,-122.3624969
157,Westpark Christian Academy,Washington,Yakima,Yakima,2,100,100,0,0,0,46.5959953,-120.5272672
158,Whitstran Elementary,Washington,Prosser,Benton,38,100,97.37,0,0,0,46.234784,-119.707821
159,Whittier Elementary,Washington,Pasco,Franklin,205,100,99.51,0,0,0,46.2402073,-119.0766986
160,Sun Valley Elementary,Washington,Sunnyside,Yakima,461,99.35,99.35,0,0,0.22,46.3383953,-119.9974501
161,Cedar Wood Elementary,Washington,Bothell,Snohomish,130,99.23,96.92,0,0,0.77,47.8444845,-122.1888134
162,Horizon Elementary,Washington,Everett,Snohomish,122,99.18,95.08,0,0,1.64,47.9209912,-122.2373942
163,Issaquah Valley Elementary,Washington,Issaquah,King,117,99.15,96.58,0,0,0.85,47.5365441,-122.0453631
164,Frank Brouillet Elem,Washington,Puyallup,Pierce,115,99.13,98.26,0,0,0.87,47.0995589,-122.3031553
165,Virgie Robinson Elementary,Washington,Pasco,Franklin,112,99.11,99.11,0,0,0,46.2333184,-119.0733422
166,Voyager Elementary,Washington,Gig Harbor,Pierce,98,98.98,88.78,1.02,0,6.12,47.309203,-122.6780039
167,Badger Mountain Elementary,Washington,Richland,Benton,97,98.97,98.97,0,0,0,46.233751,-119.2705711
168,Hilltop Elementary,Washington,Seattle,King,93,98.92,96.77,0,0,0,47.4929448,-122.3013215
169,Sacajawea Elementary,Washington,Richland,Benton,93,98.92,93.55,0,0,1.08,46.3083898,-119.2759679
170,Satus Elementary,Washington,Wapato,Yakima,90,98.89,98.89,0,0,0,46.4396498,-120.4189073
171,Albert Einstein Elementary,Washington,Redmond,King,88,98.86,94.32,0,0,0,47.7019318,-122.0985182
172,Oak Harbor Elementary,Washington,Oak Harbor,Island,88,98.86,97.73,0,0,1.14,48.2971576,-122.6440833
173,Washington Elementary,Washington,Wenatchee,Chelan,88,98.86,98.86,0,0,1.14,47.4213894,-120.3362828
174,Wiley Elementary,Washington,West Richland,Benton,88,98.86,96.59,2.27,0,0,46.2746272,-119.35549
175,Lewis And Clark Elementary,Washington,Wenatchee,Chelan,81,98.77,95.06,0,0,1.23,47.437219,-120.329812
176,Scootney Springs Elementary,Washington,Othello,Adams,81,98.77,93.83,1.23,0,0,,
177,Abraham Lincoln Elementary,Washington,Wenatchee,Chelan,79,98.73,97.47,1.27,0,0,47.406823,-120.309608
178,Artondale Elementary,Washington,Gig Harbor,Pierce,78,98.72,94.87,0,0,3.85,47.294594,-122.621496
179,Kenroy Elementary,Washington,East Wenatchee,Douglas,77,98.7,98.7,0,0,1.3,47.4140887,-120.2646387
180,Terrace Heights Elementary,Washington,Moxee,Yakima,77,98.7,96.1,0,0,0,47.0385783,-123.2655378
181,Whitney Elementary,Washington,Yakima,Yakima,76,98.68,97.37,0,0,2.63,46.5857442,-120.5680172
182,Artz Fox Elementary,Washington,Mabton,Yakima,72,98.61,97.22,0,0,1.39,46.2153003,-119.9904247
183,Mckinley Elementary,Washington,Yakima,Yakima,72,98.61,95.83,0,0,0,46.5912718,-120.5259793
184,Wide Hollow Elementary,Washington,Yakima,Yakima,71,98.59,97.18,0,0,0,46.58701,-120.605208
185,Boze Elementary,Washington,Tacoma,Pierce,70,98.57,91.43,0,0,0,47.197131,-122.414181
186,Sherman Elementary,Washington,Tacoma,Pierce,70,98.57,98.57,0,0,1.43,47.2836867,-122.4975235
187,Briarcrest Elementary,Washington,Shoreline,King,68,98.53,98.53,0,0,1.47,47.7422466,-122.2976428
188,Beverly Park Elementary At Glendale,Washington,Seattle,King,67,98.51,97.01,0,0,0,47.5095942,-122.3172122
189,Jefferson Elementary,Washington,Richland,Benton,67,98.51,94.03,0,0,2.99,46.2933405,-119.2743077
190,Phantom Lake Elementary,Washington,Bellevue,King,67,98.51,95.52,0,0,0,47.600453,-122.125736
191,Capt Johnston Blakely Elementary,Washington,Bainbridge Island,Kitsap,66,98.48,96.97,0,0,1.52,47.605845,-122.5352418
192,Hathaway Elementary,Washington,Washougal,Clark,63,98.41,95.24,0,0,1.59,45.5816787,-122.3457669
193,Sandburg Elementary,Washington,Kirkland,King,63,98.41,93.65,0,0,0,47.7165516,-122.2307081
194,Franklin Elementary,Washington,Spokane,Spokane,62,98.39,88.71,0,0,4.84,47.6405613,-117.3715349
195,Moran Prairie Elementary,Washington,Spokane,Spokane,62,98.39,91.94,1.61,1.61,1.61,47.6011364,-117.3484326
196,Bennett Elementary,Washington,Bellevue,King,60,98.33,85,1.67,0,3.33,47.6250866,-122.101419
197,Franklin Elementary,Washington,Tacoma,Pierce,58,98.28,98.28,0,0,0,47.2482355,-122.4798348
198,Pioneer Valley Elementary,Washington,Spanaway,Pierce,58,98.28,94.83,1.72,0,0,47.0707686,-122.3306623
199,Christa Mcauliffe Elementar,Washington,Sammamish,King,57,98.25,89.47,0,0,1.75,47.6285929,-122.0198277
200,Challenger Elementary,Washington,Issaquah,King,168,98.21,96.43,0,0,2.98,47.5772846,-122.0039617
201,Lackamas Elementary,Washington,Yelm,Thurston,56,98.21,91.07,3.57,0,1.79,46.850892,-122.487265
202,Adams Elementary,Washington,Wapato,Yakima,65,98.18,98.46,0,0,1.54,46.4359044,-120.4157198
203,Adams Elementary,Washington,Yakima,Yakima,110,98.18,96.36,1.82,0,0,46.5939354,-120.4900575
204,Blue Ridge Elementary,Washington,Walla Walla,Walla Walla,54,98.15,98.15,0,0,0,46.0565966,-118.3530034
205,David Wolfle Elementary,Washington,Kingston,Kitsap,53,98.11,98.11,1.89,0,1.89,47.807626,-122.5537521
206,Pioneer Meadows Montessori,Washington,Ferndale,Whatcom,53,98.11,98.11,0,0,1.89,48.8426826,-122.6112688
207,Olympic View Elementary,Washington,Oak Harbor,Island,104,98.08,94.23,1.92,0,0,48.3007815,-122.6336753
208,Robertson Elementary,Washington,Yakima,Yakima,104,98.08,96.15,0,0,0.96,46.604962,-120.5466553
209,Briarwood Elementary,Washington,Renton,King,102,98.04,96.08,0,0,2.94,47.48341,-122.114097
210,Stanley Elementary,Washington,Tacoma,Pierce,50,98,88,0,0,0,47.2444312,-122.460119
211,Lacamas Heights Elementary,Washington,Camas,Clark,49,97.96,93.88,2.04,0,4.08,45.6131156,-122.4028148
212,Lutacaga Elementary,Washington,Othello,Adams,98,97.96,95.92,0,0,0,46.8179511,-119.1640341
213,Lincoln Elementary,Washington,Kennewick,Benton,97,97.94,93.81,2.06,1.03,0,46.1892404,-119.1869685
214,Roosevelt Elementary,Washington,Tacoma,Pierce,48,97.92,93.75,0,0,0,47.2281242,-122.3990385
215,Southern Heights Elementary,Washington,Seattle,King,48,97.92,95.83,0,0,2.08,47.5019886,-122.3156924
216,Sunnyslope Elementary,Washington,Wenatchee,Chelan,48,97.92,95.83,2.08,0,2.08,47.472994,-120.345556
217,Vista Elementary,Washington,Kennewick,Benton,96,97.92,95.83,0,0,1.04,46.2275517,-119.2188391
218,Marcus Whitman Elementary,Washington,Richland,Benton,95,97.89,96.84,0,0,0,46.2725603,-119.2959368
219,West Woodland Elementary,Washington,Seattle,King,95,97.89,93.68,0,0,1.05,47.6704964,-122.3620709
220,Highland Elementary,Washington,Clarkston,Asotin,47,97.87,85.11,0,0,0,46.4043098,-117.0671015
221,University Elementary,Washington,Spokane,Spokane,47,97.87,93.62,0,0,0,47.64172,-117.2607114
222,Discovery Elementary,Washington,Issaquah,King,93,97.85,97.85,1.08,0,1.08,47.5891306,-122.0339616
223,Ruth Livingston Elementary,Washington,Pasco,Franklin,93,97.85,96.77,0,0,1.08,46.251565,-119.1997611
224,Littlerock Elementary,Washington,Littlerock,Thurston,46,97.83,95.65,0,0,2.17,46.9028685,-123.0153898
225,Gregory Heights Elementary,Washington,Burien,King,91,97.8,83.52,0,0,3.3,47.457945,-122.355948
226,Rush Elementary,Washington,Redmond,King,136,97.79,94.12,0.74,0.74,0,47.6618811,-122.1387104
227,Cascade Elementary,Washington,East Wenatchee,Douglas,90,97.78,95.56,0,0,2.22,47.4433988,-120.2933925
228,Park Lodge Elementary,Washington,Lakewood,Pierce,90,97.78,97.78,1.11,0,0,47.1660139,-122.5213084
229,Rock Island Elementary,Washington,Rock Island,Douglas,45,97.78,95.56,0,0,0,47.3774351,-120.1552246
230,Blix Elementary,Washington,Tacoma,Pierce,89,97.75,95.51,0,0,0,47.2222392,-122.4123694
231,Cascade Elementary,Washington,Kennewick,Benton,88,97.73,93.18,1.14,0,2.27,46.1721306,-119.1262215
232,Sherwood Elementary,Washington,Edmonds,Snohomish,88,97.73,94.32,0,0,3.41,47.7902377,-122.3742212
233,St. John,Washington,Seattle,King,44,97.73,95.45,0,0,4.55,47.6864164,-122.3570951
234,University Child Development,Washington,Seattle,King,44,97.73,93.18,0,0,2.27,47.6665697,-122.3178799
235,View Ridge Elementary,Washington,Seattle,King,87,97.7,95.4,0,0,0,47.6806233,-122.276262
236,Canyon View Elementary,Washington,Kennewick,Benton,86,97.67,97.67,0,0,2.33,46.187934,-119.1353629
237,Harbor Heights Elementary,Washington,Gig Harbor,Pierce,86,97.67,96.51,0,1.16,1.16,47.2924116,-122.5934512
238,Victor Falls Elementary,Washington,Bonney Lake,Pierce,85,97.65,95.29,0,0,4.71,47.1542162,-122.1784871
239,Karshner Elementary,Washington,Puyallup,Pierce,42,97.62,97.62,0,0,2.38,47.1973629,-122.3123041
240,Shining Mountain Elementary,Washington,Spanaway,Pierce,125,97.6,95.2,0,0,0.8,47.0600467,-122.3775463
241,Grainger Elementary,Washington,Okanogan,Okanogan,83,97.59,93.98,0,0,2.41,48.358598,-119.5934919
242,Midland Elementary,Washington,Tacoma,Pierce,83,97.59,97.59,0,0,2.41,47.160378,-122.398529
243,Donald Eismann Elementary,Washington,Bonney Lake,Pierce,124,97.58,94.35,1.61,0,2.42,47.1307391,-122.1752645
244,Manitou Park Elementary,Washington,Tacoma,Pierce,82,97.56,97.56,0,0,1.22,47.1970296,-122.4950966
245,Pope Elementary,Washington,Puyallup,Pierce,81,97.53,95.06,0,0,1.23,47.1182423,-122.2682533
246,Discovery Elementary,Washington,Gig Harbor,Pierce,80,97.5,93.75,1.25,1.25,2.5,47.331536,-122.603802
247,Nob Hill Elementary,Washington,Yakima,Yakima,80,97.5,96.25,0,0,0,46.589789,-120.5535423
248,Chain Lake Elementary,Washington,Snohomish,Snohomish,79,97.47,94.94,2.53,0,2.53,47.8874852,-121.9675443
249,Hawthorne Elementary,Washington,Everett,Snohomish,79,97.47,96.2,0,0,2.53,48.0021083,-122.1951181
250,Nelson Elementary,Washington,Graham,Pierce,79,97.47,93.67,0,0,3.8,47.0548721,-122.2858506
251,Shiloh Hills Elementary,Washington,Spokane,Spokane,79,97.47,93.67,0,0,1.27,47.734336,-117.401051
252,Adna Elementary,Washington,Adna,Lewis,39,97.44,92.31,2.56,0,2.56,46.638685,-123.059161
253,Garfield Elementary,Washington,Yakima,Yakima,78,97.44,97.44,0,0,0,46.6084299,-120.5220408
254,Garfield Elementary,Washington,Toppenish,Yakima,57,97.44,94.74,0,0,0,46.3771375,-120.3190396
255,Hiawatha Elementary,Washington,Othello,Adams,78,97.44,97.44,1.28,0,0,46.831048,-119.1638495
256,Sunny Hills Elementary,Washington,Sammamish,King,115,97.39,96.52,0.87,0,2.61,47.5801324,-122.0280998
257,Tapteal Elementary,Washington,West Richland,Benton,115,97.39,96.52,0.87,0,0,46.3072309,-119.3683737
258,Bemiss Elementary,Washington,Spokane,Spokane,76,97.37,94.74,0,0,2.63,47.6891706,-117.3748447
259,Brownsville Elementary,Washington,Bremerton,Kitsap,76,97.37,93.42,0,0,1.32,47.64185,-122.6073503
260,Mission View Elementary,Washington,Wenatchee,Chelan,76,97.37,97.37,0,0,2.63,47.398704,-120.299305
261,Moxee Elementary,Washington,Moxee,Yakima,76,97.37,93.42,1.32,1.32,0,46.5508445,-120.3823079
262,Parkside Elementary,Washington,Des Moines,King,76,97.37,88.16,0,0,0,47.3810937,-122.3062329
263,Broad View Elementary,Washington,Oak Harbor,Island,75,97.33,96,1.33,0,1.33,48.2947879,-122.6668795
