index,name,state,city,county,enrollment,mmr,overall,xmed,xrel,xper,lat,lng
1355,Orcas Elementary,Washington,Eastsound,San Juan,20,35,20,0,0,0,48.6986866,-122.9036826
1356,Mt Pleasant,Washington,Washougal,Clark,9,33.33,33.33,0,0,11.11,45.5637775,-122.2300535
1357,Salish School Of Spokane,Washington,Spokane,Spokane,6,33.33,33.33,0,0,16.67,47.696244,-117.435465
1358,Summit Christian Academy,Washington,Spokane,Spokane,18,33.33,22.22,0,0,77.78,47.740074,-117.446942
1359,Tacoma Christian Academy- Formerly Slavic Christian Academy-Tacoma,Washington,Tacoma,Pierce,43,32.56,32.56,0,0,67.44,47.245404,-122.464254
1360,Ponderosa Elementary,Washington,Spokane,Spokane,67,31.34,25.37,0,0,2.99,47.6192335,-117.268466
1361,Providence Christian School Northwest,Washington,Ferndale,Whatcom,10,30,20,0,0,50,48.8578152,-122.5840545
1362,Family Link,Washington,Vashon,King,7,28.57,28.57,14.29,0,28.57,47.4227449,-122.4573685
1363,Central Education Services,Washington,Bellevue,King,4,25,25,0,0,0,47.6105891,-122.1786216
1364,Overcomer Academy,Washington,Auburn,King,17,23.53,17.65,11.76,11.76,23.53,47.301117,-122.27632
1365,Salvation Christian Academy- Formerly Slavic Christian Academy-Edgewood,Washington,Edgewood,Pierce,18,22.22,22.22,0,0,55.56,47.249023,-122.2876146
1366,Saratoga,Washington,Stanwood,Snohomish,15,20,20,6.67,0,26.67,48.2425792,-122.3590965
1367,Skagit Family Learning Center,Washington,Mount Vernon,Skagit,34,17.65,11.76,2.94,0,20.59,48.4064258,-122.3391663
1368,Snohomish Center,Washington,Snohomish,Snohomish,10,10,10,0,0,0,47.9317684,-122.09876
1369,Assumption Grade,Washington,Walla Walla,Walla Walla,1,0,0,0,0,100,46.06738,-118.290814
1370,Carden Country,Washington,Bainbridge Island,Kitsap,2,0,0,0,0,100,47.625743,-122.557197
1371,Hutch,Washington,SEATTLE,King,1,0,0,0,0,0,47.6237998,-122.3333524
1372,Loon Lake Homelink,Washington,Loon Lake,Ferry,12,0,0,0,0,0,48.061499,-117.6305234
1373,North River,Washington,Cosmopolis,Grays Harbor,3,0,0,0,0,0,46.776023,-123.484573
1374,Northport Homelink K-8,Washington,Northport,Stevens,11,0,0,0,0,0,48.9113744,-117.7891215
1375,Oasis,Washington,Eastsound,San Juan,20,0,0,0,0,0,48.6986025,-122.9032725
1376,Pal Program,Washington,Poulsbo,Kitsap,1,0,0,0,0,0,47.7335866,-122.6260171
1377,Point Roberts Primary,Washington,Blaine,Whatcom,3,0,0,0,0,0,48.9911548,-122.7401101
1378,Special Education,Washington,Shoreline,King,2,0,0,0,0,0,47.7648183,-122.3290918
1379,Special Services,Washington,Bothell,King,2,0,0,0,0,0,47.7770059,-122.1899463
1380,Spokane Valley Learning Academy,Washington,Spokane,Spokane,1,0,0,0,0,100,47.6513934,-117.2303134
1381,Waldron Island,Washington,Waldron Island,San Juan,1,0,0,0,0,0,48.7077564,-123.0308421
1382,49Th Street Academy,Washington,Vancouver,Clark,,,,,,,45.6570843,-122.5222635
1383,Academy Nw/Family Academy,Washington,Arlington,Snohomish,,,,,,,48.2086929,-122.0988139
1384,Academy Schools / ChildrenÃ«Ã²Ã¬Ã Ã¬-S Academy,Washington,Tukwila,King,,,,,,,47.4724498,-122.2556182
1385,Alcuin,Washington,Seattle,King,,,,,,,47.6385806,-122.3605131
1386,Alderwood Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7789379,-122.5270256
1387,Alger Learning Center Inc,Washington,Sedro-Woolley,Whatcom,,,,,,,48.646038,-122.3318668
1388,All Saints Catholic,Washington,Spokane,Spokane,,,,,,,47.6385721,-117.3591538
1389,All Saints,Washington,Fife,Pierce,,,,,,,47.2351407,-122.3556977
1390,Armin Jahr Elementary,Washington,Bremerton,Kitsap,,,,,,,47.5921323,-122.6354555
1391,Assumption,Washington,Spokane,Spokane,,,,,,,47.7223473,-117.4638502
1392,Baker View Christian,Washington,Bellingham,Whatcom,,,,,,,48.8353062,-122.5298606
1393,Beezley Springs Elementary,Washington,Ephrata,Grant,,,,,,,47.3259869,-119.5496397
1394,Bellevue Children's Academy,Washington,Bellevue,King,,,,,,,47.6326071,-122.1439742
1395,Big Leaf Montessori,Washington,Castle Rock,Cowlitz,,,,,,,46.1408674,-122.9454581
1396,Birchwood Elementary,Washington,Bellingham,Whatcom,,,,,,,48.77483,-122.5062501
1397,Bk Play Academy For Gifted Children,Washington,Bellevue,King,,,,,,,47.6255526,-122.1507019
1398,Brentwood Elementary,Washington,Spokane,Spokane,,,,,,,47.7630663,-117.4169283
1399,Bridgeway Christian Academy,Washington,Bellingham,Whatcom,,,,,,,48.833809,-122.528426
