index,state,year,name,type,city,county,enroll,mmr,overall,xmed,lat,lng
1361,Ohio,2018-19,Sonshine Christian Academy,Private,Columbus,Franklin,22,90.91,90.91,9.09,40.0067883,-82.9703529
1362,Ohio,2018-19,South Elementary,Public,Hamden,Vinton,33,90.91,90.91,0,39.1688336,-82.5206089
1363,Ohio,2018-19,St Richard,Private,Swanton,Fulton,11,90.91,90.91,9.09,41.5970309,-83.891303
1364,Ohio,2018-19,Taylor Elementary,Public,Cincinnati,Hamilton,154,90.91,90.26,2.6,39.2520698,-84.5821083
1365,Ohio,2018-19,Tuscarawas Central Catholic Elementary,Private,Dover,Tuscarawas,22,90.91,86.36,4.55,40.5226191,-81.4830615
1366,Ohio,2018-19,Westwood Pre K- 6Th,Public,Dayton,Montgomery,55,90.91,87.27,1.82,39.75899,-84.2464146
1367,Ohio,2018-19,South Elementary,Public,Madison,Lake,109,90.83,88.99,0,41.7697635,-81.0440337
1368,Ohio,2018-19,Jerusalem Elementary,Public,Curtice,Lucas,65,90.77,89.23,4.62,41.643188,-83.311069
1369,Ohio,2018-19,Twin Oak Elementary,Public,Mount Vernon,Knox,65,90.77,89.23,1.54,40.3658685,-82.4635244
1370,Ohio,2018-19,Fort Meigs Elementary,Public,Perrysburg,Wood,108,90.74,85.19,3.7,41.5359632,-83.6568323
1371,Ohio,2018-19,Nelsonville-York Elementary,Public,Nelsonville,Athens,97,90.72,86.6,4.12,39.4625548,-82.1885462
1372,Ohio,2018-19,Horizon Science Academy Toledo,Public,Toledo,Lucas,43,90.7,90.7,6.98,41.6941942,-83.6048867
1373,Ohio,2018-19,Longfellow Elementary,Public,Sidney,Shelby,43,90.7,81.4,6.98,40.2923524,-84.1738755
1374,Ohio,2018-19,Sharpsburg Primary,Public,Norwood,Hamilton,43,90.7,90.7,9.3,39.156461,-84.4490591
1375,Ohio,2018-19,East Columbus Elementary,Public,Columbus,Franklin,75,90.67,86.67,0,39.9864917,-82.9211867
1376,Ohio,2018-19,E J Blott Elementary,Public,Youngstown,Trumbull,96,90.63,88.54,1.04,41.1554176,-80.6569326
1377,Ohio,2018-19,Grover Hill Elementary,Public,Grover Hill,Paulding,32,90.63,90.63,3.13,41.019474,-84.4791839
1378,Ohio,2018-19,Monroeville Elementary,Public,Monroeville,Huron,32,90.63,87.5,0,41.2479821,-82.7026757
1379,Ohio,2018-19,Admiral King Elementary,Public,Lorain,Lorain,53,90.57,88.68,0,41.4629684,-82.179966
1380,Ohio,2018-19,Malvern Elementary,Public,Malvern,Carroll,53,90.57,90.57,3.77,40.6872001,-81.1619543
1381,Ohio,2018-19,Knox Elementary,Public,Alliance,Columbiana,74,90.54,89.19,5.41,40.8603365,-81.0298155
1382,Ohio,2018-19,Wilder Elementary,Public,Westerville,Franklin,74,90.54,82.43,1.35,40.0885031,-82.9042239
1383,Ohio,2018-19,Hilltop Elementary,Public,Canfield,Mahoning,95,90.53,87.37,0,41.0322656,-80.7445335
1384,Ohio,2018-19,Augusta Elementary,Public,Carrollton,Carroll,21,90.48,85.71,4.76,40.687435,-81.0238347
1385,Ohio,2018-19,St Augustine,Private,Barberton,Summit,21,90.48,90.48,4.76,41.0161383,-81.6132394
1386,Ohio,2018-19,World Of Wonder Prek-6,Public,Dayton,Montgomery,63,90.48,79.37,0,39.758595,-84.2603699
1387,Ohio,2018-19,Zane Trace Elementary,Public,Chillicothe,Ross,84,90.48,90.48,1.19,39.427727,-82.9376633
1388,Ohio,2018-19,Shawnee Elementary,Public,Huron,Erie,94,90.43,89.36,2.13,41.3884496,-82.5383951
1389,Ohio,2018-19,Ashville Elementary,Public,Ashville,Pickaway,73,90.41,90.41,6.85,39.7155007,-82.947529
1390,Ohio,2018-19,Barberton Elementary School East,Public,Barberton,Summit,73,90.41,87.67,0,41.0094937,-81.595054
1391,Ohio,2018-19,Mcgregor Elementary,Public,Toledo,Lucas,73,90.41,90.41,0,41.7128393,-83.6296053
1392,Ohio,2018-19,Harrison Street Elementary,Public,Sunbury,Delaware,52,90.38,88.46,3.85,40.245619,-82.8576439
1393,Ohio,2018-19,Brimfield Elementary,Public,Kent,Portage,83,90.36,89.16,1.2,41.1038568,-81.344406
1394,Ohio,2018-19,Longfellow Elementary,Public,Eastlake,Lake,83,90.36,87.95,2.41,41.6483465,-81.4391264
1395,Ohio,2018-19,Westwood Elementary,Public,Wellington,Lorain,83,90.36,83.13,1.2,41.1732734,-82.2230253
1396,Ohio,2018-19,Worley Elementary,Public,Canton,Stark,83,90.36,81.93,3.61,40.8222139,-81.3861179
1397,Ohio,2018-19,Bear Elementary,Public,Miamisburg,Montgomery,31,90.32,87.1,9.68,39.634013,-84.30273
1398,Ohio,2018-19,Rosa Parks Elementary,Public,Toledo,Lucas,31,90.32,90.32,0,41.6833273,-83.5523177
1399,Ohio,2018-19,Ruffing Montessori Rocky River,Private,Rocky River,Cuyahoga,31,90.32,87.1,6.45,41.472433,-81.868412
1400,Ohio,2018-19,Shepherd Christian,Private,Gahanna,Franklin,31,90.32,87.1,3.23,40.0088234,-82.8682523
1401,Ohio,2018-19,Citizens Academy East,Public,Cleveland,Cuyahoga,72,90.28,90.28,0,41.5365109,-81.5963972
1402,Ohio,2018-19,Dalton Elementary,Public,Dalton,Wayne,72,90.28,90.28,6.94,40.8046042,-81.6982862
1403,Ohio,2018-19,All The Children Of The World Academy,Private,Westerville,Delaware,41,90.24,85.37,9.76,40.1715246,-82.9137217
1404,Ohio,2018-19,Vermilion Elementary,Public,Vermilion,Erie,123,90.24,90.24,3.25,41.410685,-82.3610919
1405,Ohio,2018-19,Campbell Elementary,Public,Campbell,Mahoning,92,90.22,90.22,3.26,41.0812496,-80.5704632
1406,Ohio,2018-19,Norwayne Elementary,Public,Creston,Wayne,92,90.22,85.87,0,40.9683809,-81.900614
1407,Ohio,2018-19,Como Elementary,Public,Columbus,Franklin,51,90.2,88.24,0,40.0258513,-82.9926149
1408,Ohio,2018-19,Covington Elementary,Public,Covington,Miami,51,90.2,86.27,7.84,40.1194513,-84.3416364
1409,Ohio,2018-19,New Vienna Elementary,Public,New Vienna,Clinton,51,90.2,90.2,1.96,39.3277285,-83.6842068
1410,Ohio,2018-19,Dayton Leadership Academies-Dayton View Campus,Public,Dayton,Montgomery,61,90.16,86.89,0,39.761346,-84.2187064
1411,Ohio,2018-19,Chardon Hills Magnet,Public,euclid,Cuyahoga,71,90.14,77.46,1.41,41.570013,-81.519869
1412,Ohio,2018-19,Windsor Stem Academy (K-6),Public,Columbus,Franklin,71,90.14,85.92,0,39.9953267,-82.9739988
1413,Ohio,2018-19,Cridersville Elementary,Public,Cridersville,Auglaize,50,90,64,10,40.6491322,-84.1498204
1414,Ohio,2018-19,Golden Bridge Academy,Private,Lima,Allen,30,90,90,3.33,40.7398267,-84.1086386
1415,Ohio,2018-19,Granville Christian Academy,Private,Granville,Licking,20,90,90,10,40.0605423,-82.4888848
1416,Ohio,2018-19,Hardin Northern Elementary,Public,Dola,Hardin,30,90,90,0,40.7803935,-83.6607752
1417,Ohio,2018-19,Immanuel Lutheran,Private,Hamilton,Butler,20,90,90,5,39.4187202,-84.588554
1418,Ohio,2018-19,Lake Ridge Academy,Private,North Ridgeville,Lorain,20,90,90,5,41.381154,-82.0403864
1419,Ohio,2018-19,Liberty Bible Academy,Private,Mason,Warren,40,90,90,10,39.308854,-84.31049
1420,Ohio,2018-19,Liberty Elementary,Public,Caledonia,Marion,70,90,87.14,2.86,40.626421,-82.965134
1421,Ohio,2018-19,Mccomb Local Elementary,Public,McComb,Hancock,50,90,86,2,41.1041451,-83.792746
1422,Ohio,2018-19,Meadowvale Elementary,Public,Toledo,Lucas,70,90,82.86,0,41.7256374,-83.6116445
1423,Ohio,2018-19,Norwalk Catholic,Private,Norwalk,Huron,50,90,88,6,41.2448933,-82.6114808
1424,Ohio,2018-19,Our Lady Of Mt Carmel West,Private,Cleveland,Cuyahoga,20,90,85,0,41.4845867,-81.7330301
1425,Ohio,2018-19,Ridgemont Elementary,Public,Mount Victory,Hardin,40,90,87.5,10,40.5333191,-83.5276958
1426,Ohio,2018-19,Woodland Elementary,Public,Stow,Summit,60,90,90,5,41.1664137,-81.4091525
1427,Ohio,2018-19,Coventry Elementary,Public,Akron,Summit,99,89.9,89.9,0,41.0157015,-81.5513004
1428,Ohio,2018-19,Southdale Elementary,Public,Kettering,Montgomery,79,89.87,84.81,8.86,39.7070667,-84.1956374
1429,Ohio,2018-19,Reid Elementary,Public,Springfield,Clark,69,89.86,89.86,1.45,39.913478,-83.7441319
1430,Ohio,2018-19,Robinson G Jones Elementary,Public,Cleveland,Cuyahoga,59,89.83,71.19,1.69,41.4299476,-81.8017852
1431,Ohio,2018-19,Central Elementary,Public,Lexington,Richland,68,89.71,86.76,5.88,40.6756157,-82.5852265
1432,Ohio,2018-19,Independence Elementary,Public,Lima,Allen,68,89.71,88.24,4.41,40.7541505,-84.1136857
1433,Ohio,2018-19,Bassett Elementary,Public,Westlake,Cuyahoga,58,89.66,87.93,1.72,41.4564178,-81.94266
1434,Ohio,2018-19,Emmanuel Christian,Private,Toledo,Lucas,29,89.66,89.66,10.34,41.704685,-83.6514385
1435,Ohio,2018-19,Mercy Montessori Center,Private,Cincinnati,Hamilton,29,89.66,89.66,10.34,39.123675,-84.4800789
1436,Ohio,2018-19,Mt. Healthy South Elementary,Public,Cincinnati,Hamilton,116,89.66,88.79,6.03,39.2357267,-84.551992
1437,Ohio,2018-19,New Riegel Elementary,Public,New Riegel,Seneca,29,89.66,89.66,10.34,41.0538989,-83.3203414
1438,Ohio,2018-19,Olde Orchard Alt Elementary,Public,Columbus,Franklin,87,89.66,87.36,6.9,39.9626599,-82.8360637
1439,Ohio,2018-19,Gorrell Elementary,Public,Massillon,Stark,106,89.62,83.96,1.89,40.7930802,-81.5533763
1440,Ohio,2018-19,Clara E Westropp,Public,Cleveland,Cuyahoga,48,89.58,85.42,0,41.4334621,-81.831315
1441,Ohio,2018-19,Harrison Elementary,Public,Lakewood,Cuyahoga,48,89.58,89.58,4.17,41.4750014,-81.7776449
1442,Ohio,2018-19,Minster Elementary,Public,Minster,Auglaize,67,89.55,86.57,10.45,40.4027559,-84.380204
1443,Ohio,2018-19,South Elementary,Public,Dover,Tuscarawas,67,89.55,89.55,4.48,40.5121492,-81.4643682
