index,state,year,name,county,enroll,mmr,xmed,lat,lng
403,Montana,2017-18,Helena Christian School Prek-12,Lewis and Clark,204,85.78,0,46.6176457,-111.9195087
404,Montana,2017-18,Nkwusm Salish Language,Lake,42,85.71,0,47.16761,-114.089871
405,Montana,2017-18,St Mary's,Park,74,85.14,0,47.0043282,-108.3487305
406,Montana,2017-18,Cayuse Prairie School K-8,Flathead,247,85.02,0,48.363492,-114.207623
407,Montana,2017-18,Vida,McCone,20,85,0,47.83495,-105.49348
408,Montana,2017-18,Eureka Elementary,Lincoln,226,84.96,0,48.885401,-115.051284
409,Montana,2017-18,Thompson Falls 7-8,Sanders,66,84.85,0,47.596919,-115.342437
410,Montana,2017-18,Heritage Christian School Prek-12,Gallatin,195,84.62,0,45.6776561,-111.0871196
411,Montana,2017-18,Bissell School K-8,Flathead,84,84.52,1.19047619,48.404901,-114.326016
412,Montana,2017-18,Quentin Brown Primary K-4,Ravalli,474,84.18,0.2109704641,46.3137,-114.113081
413,Montana,2017-18,Shiloh Christian Academy,Yellowstone,63,84.13,0,45.76352,-108.620871
414,Montana,2017-18,Kalispell/Woodland Montessori Cntr,Flathead,62,83.87,1.612903226,#REF!,-114.2981834
415,Montana,2017-18,Trinity Lutheran,Flathead,173,83.82,0.5780346821,48.203577,-114.322549
416,Montana,2017-18,Deer Park School K-8,Flathead,154,83.12,0,48.2290948,-114.3102785
417,Montana,2017-18,Petra Academy,Gallatin,206,82.52,0,45.68264,-111.106571
418,Montana,2017-18,Whitefish Christian Academy,Flathead,152,82.24,0.6578947368,48.40397,-114.327151
419,Montana,2017-18,Academy Preschool At Career Center,Yellowstone,122,81.97,1.639344262,45.7814338,-108.5158141
420,Montana,2017-18,North West Indian Bible,Missoula,27,81.48,7.407407407,46.99516,-114.473711
421,Montana,2017-18,Kila School Prek-8,Flathead,173,80.92,0.5780346821,#REF!,-114.4591085
422,Montana,2017-18,Lavina Schools Prek-12,Golden Valley,77,80.52,1.298701299,46.6706261,-113.1482845
423,Montana,2017-18,St Labre School K-12,Rosebud,364,79.67,0,47.6086152,-114.664076
424,Montana,2017-18,Kootenai Valley Christian,Lincoln,73,78.08,0,48.3855239,-115.5564847
425,Montana,2017-18,Cardwell,Jefferson,46,76.09,0,45.856874,-111.952275
426,Montana,2017-18,Glacier View Sda,Lake,20,75,0,47.5303244,-114.1010308
427,Montana,2017-18,Treasure State Academy,Cascade,28,75,0,47.50622,-111.229381
428,Montana,2017-18,Denton Schools K-12,Fergus,66,74.24,0,47.053473,-109.423892
429,Montana,2017-18,Arrowhead School Prek-8,Park,62,74.19,1.612903226,45.01967,-109.934407
430,Montana,2017-18,Divine Mercy Academy,Gallatin,62,74.19,0,45.5907473,-111.2004797
431,Montana,2017-18,Bozeman Christian School K-12,Gallatin,41,73.17,0,45.569122,-111.12529
432,Montana,2017-18,Mission Valley Christian School K-12,Lake,47,72.34,6.382978723,47.16766,-114.089217
433,Montana,2017-18,Glacier Lake,Lake,29,68.97,6.896551724,47.304335,-114.039088
434,Montana,2017-18,Blodgett View Christian,Ravalli,24,66.67,0,46.0274125,-114.1776957
435,Montana,2017-18,Northern Cheyenne Tribal,Big Horn,221,66.52,0,45.53642,-106.956791
436,Montana,2017-18,Swan Valley Schools Prek-8,Missoula,29,65.52,0,46.8469126,-114.0803771
437,Montana,2017-18,Alder,Madison,20,65,0,45.319492,-112.10963
438,Montana,2017-18,Hamilton Christian Academy,Ravalli,58,63.79,0,46.20048,-114.140591
439,Montana,2017-18,St Jude Thaddeus,Hill,138,60.14,0.7246376812,48.54934,-109.673001
440,Montana,2017-18,Head Start St Ignatius,Lake,286,60.14,0,47.6917387,-114.1592812
441,Montana,2017-18,Liberty Christian,Richland,24,58.33,0,47.71118,-104.159361
442,Montana,2017-18,Fortine School Prek-8,Lincoln,83,54.22,0,48.3855204,-115.554296
443,Montana,2017-18,Greenwood Academy,Gallatin,20,50,0,45.6669152,-111.0433881
444,Montana,2017-18,Shelby Elementary,Toole,484,48.97,0,48.515156,-111.862249
445,Montana,2017-18,Box Elder Schools Prek-12,Hill,395,35.7,0,48.3171645,-110.0147126
446,Montana,2017-18,World Family,Gallatin,26,23.08,0,47.3193343,-106.9070722
447,Montana,2017-18,Pines Academy,Ravalli,128,14.06,0,46.5067471,-114.0841457
448,Montana,2017-18,West Valley School Prek-6,Flathead,6222,9.43,0.4018000643,48.411439,-114.3346094
449,Montana,2017-18,Orchard,Yellowstone,369,0,0,45.76787,-108.516023
450,Montana,2017-18,Alzada,Carter,,,,45.020852,-104.412955
451,Montana,2017-18,American Lutheran Preschool,Yellowstone,,,,45.7954897,-108.6126828
452,Montana,2017-18,Auchard Creek,Lewis and Clark,,,,47.328689,-112.210685
453,Montana,2017-18,Avon,Powell,,,,46.598286,-112.590781
454,Montana,2017-18,Ayers,Fergus,,,,47.049975,-108.949474
455,Montana,2017-18,Basin,Jefferson,,,,46.272891,-112.264558
456,Montana,2017-18,Beacon Star Amish,Fergus,,,,46.958929,-109.607198
457,Montana,2017-18,Benton Lake School Prek-8,Chouteau,,,,48.1734653,-110.1124373
458,Montana,2017-18,Biddle,Powder River,,,,45.101791,-105.33884
459,Montana,2017-18,Billings Educational Academy,Yellowstone,,,,45.7011022,-108.5061998
460,Montana,2017-18,Birney,Rosebud,,,,45.321967,-106.514391
461,Montana,2017-18,Bloomfield,Dawson,,,,47.413382,-104.920015
462,Montana,2017-18,Bloomfield School Pre-K,Dawson,,,,47.1657556,-104.6984618
463,Montana,2017-18,Brorson,Richland,,,,47.779268,-104.293657
464,Montana,2017-18,Busy Bear Preschool,Dawson,,,,47.1066546,-104.7027347
465,Montana,2017-18,Butte Montessori,Silver Bow,,,,45.9944346,-112.5156853
466,Montana,2017-18,Calvary Christian,Lewis and Clark,,,,46.59897,-112.016031
467,Montana,2017-18,Cam Rose,Toole,,,,48.30679,-111.611665
468,Montana,2017-18,Carter School Prek-8,Chouteau,,,,47.8230244,-110.6673217
469,Montana,2017-18,Cascade Colony,Cascade,,,,47.439226,-111.820234
470,Montana,2017-18,Children's House Montessori,Flathead,,,,48.1915255,-114.3045221
471,Montana,2017-18,Cleveland,Blaine,,,,48.269892,-109.151772
472,Montana,2017-18,Cohagen,Garfield,,,,47.055752,-106.614475
473,Montana,2017-18,Conrad Site Head Start,Pondera,,,,48.3027527,-112.4875483
474,Montana,2017-18,Cooke City,Park,,,,45.020664,-109.934706
475,Montana,2017-18,Cottonwood,Gallatin,,,,45.56944,-111.125791
476,Montana,2017-18,Debbie's Preschool,Sweet Grass,,,,45.6613191,-110.1160138
477,Montana,2017-18,Deer Creek,Dawson,,,,47.165979,-104.6992
478,Montana,2017-18,Deerfield,Fergus,,,,47.261025,-109.670427
479,Montana,2017-18,Divide,Silver Bow,,,,45.750142,-112.754136
480,Montana,2017-18,Dupuyer,Pondera,,,,48.194327,-112.497526
481,Montana,2017-18,East End Colony,Hill,,,,48.541521,-109.6991407
482,Montana,2017-18,East Malta Colony,Phillips,,,,48.7866737,-107.9734441
483,Montana,2017-18,Elk Creek Mennonite,Cascade,,,,47.5103398,-111.2682738
484,Montana,2017-18,Elliston,Powell,,,,46.562954,-112.432571
485,Montana,2017-18,Five Falls Christian,Cascade,,,,47.47602,-111.338801
486,Montana,2017-18,Fort Shaw Elementary Prek,Cascade,,,,47.505925,-111.2662381
487,Montana,2017-18,Galata,Toole,,,,48.478069,-111.352126
488,Montana,2017-18,Garrison,Powell,,,,46.524979,-112.807276
489,Montana,2017-18,Glacier Elementary,Glacier,,,,48.83189,-112.219155
490,Montana,2017-18,Gold Creek,Powell,,,,46.580424,-112.928325
491,Montana,2017-18,Golden Ridge,Teton,,,,47.567382,-112.227534
492,Montana,2017-18,Grant,Beaverhead,,,,45.007739,-113.064428
493,Montana,2017-18,Great Beginings,Gallatin,,,,45.6807442,-111.0314137
494,Montana,2017-18,Greycliff,Sweet Grass,,,,45.762077,-109.785473
495,Montana,2017-18,Hammond,Carter,,,,45.22625,-104.916378
496,Montana,2017-18,Hartland Elementary,Blaine,,,,48.951221,-109.447004
497,Montana,2017-18,Hawks Home,Carter,,,,45.391996,-104.650847
498,Montana,2017-18,Head Start Central Montana,Musselshell,,,,46.5985922,-107.8720495
499,Montana,2017-18,Head Start Malta,Phillips,,,,48.3532915,-107.8692957
500,Montana,2017-18,Head Start Roundup,Musselshell,,,,46.445242,-108.5417999
501,Montana,2017-18,Helmville School Prek-8,Powell,,,,47.0193503,-113.1291298
502,Montana,2017-18,Hidden Lake Elementary,Glacier,,,,48.600761,-112.603046
503,Montana,2017-18,Hillcrest Colony Elementary,Cascade,,,,47.631213,-111.50249
504,Montana,2017-18,Hillside Colony,Liberty,,,,48.8985823,-112.107933
505,Montana,2017-18,Horizon Elementary,Glacier,,,,48.717471,-112.2236
506,Montana,2017-18,Jackson,Beaverhead,,,,45.370542,-113.410082
507,Montana,2017-18,Jefferson Center Prek,Missoula,,,,46.7624015,-114.0821275
508,Montana,2017-18,Kester,Garfield,,,,47.573228,-106.666715
509,Montana,2017-18,King Colony,Fergus,,,,47.054492,-109.63863
510,Montana,2017-18,Kingsbury Colony,Pondera,,,,48.2373229,-112.4224285
511,Montana,2017-18,Knees,Chouteau,,,,48.031249,-111.323018
512,Montana,2017-18,L A Muldown Prek,Flathead,,,,48.0201093,-114.2267799
513,Montana,2017-18,Lindsay,Dawson,,,,47.222745,-105.153519
514,Montana,2017-18,Lisa Fletes Preschool,McCone,,,,47.8346212,-105.4929797
515,Montana,2017-18,Little Friends Preschool,Lake,,,,47.675688,-114.147869
516,Montana,2017-18,Little Giants Preschool,Toole,,,,48.8832031,-111.910518
517,Montana,2017-18,Little Lambs Preschool,Lake,,,,47.6891548,-114.1148872
518,Montana,2017-18,Little Lambs Preschool,Rosebud,,,,46.275564,-106.441347
519,Montana,2017-18,Longfellow Learners Preschool,Yellowstone,,,,45.772562,-108.587641
520,Montana,2017-18,Loring Colony,Phillips,,,,48.786341,-107.973326
521,Montana,2017-18,Malmborg,Gallatin,,,,45.671212,-110.83734
522,Montana,2017-18,Mccormick,Lincoln,,,,48.627682,-116.025636
523,Montana,2017-18,Mcleod,Sweet Grass,,,,45.662285,-110.115989
524,Montana,2017-18,Melrose,Silver Bow,,,,45.631488,-112.687475
525,Montana,2017-18,Midway Colony,Pondera,,,,48.068075,-111.996474
526,Montana,2017-18,Miller Colony,Teton,,,,47.7164959,-111.6885059
527,Montana,2017-18,Molt,Stillwater,,,,45.861541,-108.929691
528,Montana,2017-18,Mountain Heights Christian,Lake,,,,47.527495,-114.103421
529,Montana,2017-18,Mountainview Church,Missoula,,,,46.8555692,-113.9968896
530,Montana,2017-18,North Harlem Elementary,Blaine,,,,48.585405,-108.754392
531,Montana,2017-18,Nye,Stillwater,,,,45.436459,-109.794193
532,Montana,2017-18,Our Savior Lutheran Church Preschool,Ravalli,,,,46.0174639,-114.1817423
533,Montana,2017-18,Ovando,Powell,,,,47.019644,-113.128148
534,Montana,2017-18,Pass Creek,Gallatin,,,,45.977249,-111.098345
