index,state,year,name,type,city,county,mmr,xmed,xrel,lat,lng
442,Connecticut,2017-18,Fawn Hollow Elementary,Public,Monroe,Fairfield,95.24,1.19,3.57,41.345921,-73.23122
443,Connecticut,2017-18,Royle Elementary,Public,Darien,Fairfield,95.24,0.00,4.76,41.086632,-73.474425
444,Connecticut,2017-18,Wintergreen Interdistrict Magnet,Public,Hamden,New Haven,95.16,0.00,3.23,41.356353,-72.961542
445,Connecticut,2017-18,Greenwich Catholic,Nonpublic,Greenwich,Fairfield,95.12,0.00,4.88,41.069593,-73.625064
446,Connecticut,2017-18,W. B. Sweeney,Public,Windham,Windham,95.12,0.00,4.88,41.725713,-72.228712
447,Connecticut,2017-18,Beecher Road,Public,Woodbridge,New Haven,95.10,0.00,4.90,41.335891,-73.009853
448,Connecticut,2017-18,Mary R. Tisko,Public,Branford,New Haven,95.08,0.00,3.28,41.28427,-72.788881
449,Connecticut,2017-18,Ana Grace Academy Of The Arts Elementary,Public,Avon,Hartford,95.00,0.00,5.00,41.809943,-72.835779
450,Connecticut,2017-18,Ruth Chaffee,Public,Newington,Hartford,95.00,0.00,5.00,41.683083,-72.715723
451,Connecticut,2017-18,Wexler Grant Community,Public,New Haven,New Haven,95.00,0.00,0.00,41.319175,-72.931017
452,Connecticut,2017-18,Kelly Lane Primary,Public,Granby,Hartford,94.96,0.84,0.00,41.968139,-72.810351
453,Connecticut,2017-18,Moosup Elementary,Public,Plainfield,Windham,94.94,0.00,5.06,41.716414,-71.880567
454,Connecticut,2017-18,Black Rock,Public,Thomaston,Litchfield,94.92,3.39,1.69,41.656929,-73.09184
455,Connecticut,2017-18,Bunker Hill,Public,Waterbury,New Haven,94.81,0.00,1.30,41.567793,-73.062507
456,Connecticut,2017-18,Annie Fisher Elementary,Public,Hartford,Hartford,94.74,0.00,0.00,41.7920867,-72.7077156
457,Connecticut,2017-18,Stem Magnet At Fisher,Public,Hartford,Hartford,94.74,0.00,0.00,41.792022,-72.70731
458,Connecticut,2017-18,Mathewson,Public,Milford,New Haven,94.64,0.00,5.36,41.239231,-73.062341
459,Connecticut,2017-18,Mitchell Elementary,Public,Woodbury,Litchfield,94.64,0.00,5.36,41.54852,-73.209112
460,Connecticut,2017-18,Springdale,Public,Stamford,Fairfield,94.59,2.70,2.70,41.097094,-73.519256
461,Connecticut,2017-18,Rogers International,Public,Stamford,Fairfield,94.57,0.00,5.43,41.052702,-73.513688
462,Connecticut,2017-18,Oakdale,Public,Montville,New London,94.44,1.85,3.70,41.470986,-72.191704
463,Connecticut,2017-18,Staffordville,Public,Stafford,Tolland,94.34,0.00,5.66,41.995571,-72.2583245
464,Connecticut,2017-18,Memorial,Public,East Hampton,Middlesex,94.33,2.13,1.42,41.570618,-72.486061
465,Connecticut,2017-18,Gilead Hill,Public,Hebron,Tolland,94.32,0.00,5.68,41.676654,-72.409483
466,Connecticut,2017-18,John Lyman,Public,Middlefield,Middlesex,94.29,2.86,2.86,41.518298,-72.725264
467,Connecticut,2017-18,Ridge Hill,Public,Hamden,New Haven,94.29,5.71,0.00,41.34681,-72.896536
468,Connecticut,2017-18,Harwinton Consolidated,Public,Harwinton,Litchfield,94.12,1.47,4.41,41.7687687,-73.0711309
469,Connecticut,2017-18,Laurel Elementary,Public,Bloomfield,Hartford,94.06,0.00,0.00,41.8377046,-72.7233264
470,Connecticut,2017-18,Booth Hill,Public,Trumbull,Fairfield,94.03,0.00,5.97,41.261012,-73.171494
471,Connecticut,2017-18,Pomperaug,Public,Southbury,New Haven,94.00,0.00,6.00,41.466302,-73.227212
472,Connecticut,2017-18,Moriarty Magnet,Public,Norwich,New London,93.94,3.03,0.00,41.57267,-72.066066
473,Connecticut,2017-18,Bolton Center,Public,Bolton,Tolland,93.88,0.00,6.12,41.775574,-72.440903
474,Connecticut,2017-18,Mary R. Fisher Elementary,Public,Thompson,Windham,93.88,1.02,3.06,41.9756777,-71.8984636
475,Connecticut,2017-18,Monroe Elementary,Public,Monroe,Fairfield,93.88,0.00,6.12,41.309366,-73.222304
476,Connecticut,2017-18,Thompson Middle,Public,Thompson,Windham,93.88,1.02,3.06,41.9764536,-71.8985515
477,Connecticut,2017-18,Middle Gate Elementary,Public,Newtown,Fairfield,93.85,0.00,3.08,41.366675,-73.273881
478,Connecticut,2017-18,F. J. Kingsbury,Public,Waterbury,New Haven,93.83,0.00,2.47,41.571984,-73.045109
479,Connecticut,2017-18,Northeast,Public,Stamford,Fairfield,93.81,0.88,5.31,41.122632,-73.546896
480,Connecticut,2017-18,Coleytown Elementary,Public,Westport,Fairfield,93.75,0.00,6.25,41.176097,-73.348996
481,Connecticut,2017-18,Hurlbutt Elementary,Public,Weston,Fairfield,93.69,1.80,4.50,41.203768,-73.379839
482,Connecticut,2017-18,Charles H. Barrows Stem Academy,Public,Windham,Windham,93.65,0.00,6.35,41.71831,-72.1759852
483,Connecticut,2017-18,Center Road,Public,Vernon,Tolland,93.59,1.28,5.13,41.840225,-72.46677
484,Connecticut,2017-18,Hatton Elementary,Public,Southington,Hartford,93.44,0.00,6.56,41.600531,-72.854922
485,Connecticut,2017-18,King's Highway Elementary,Public,Westport,Fairfield,93.44,0.00,3.28,41.136439,-73.367696
486,Connecticut,2017-18,Kinsella Magnet School Of Performing Arts,Public,Hartford,Hartford,93.33,0.00,0.00,41.754901,-72.665437
487,Connecticut,2017-18,Roosevelt,Public,Bridgeport,Fairfield,93.33,0.00,0.00,41.17151,-73.194623
488,Connecticut,2017-18,Aiken,Public,West Hartford,Hartford,93.22,0.00,5.08,41.800753,-72.744788
489,Connecticut,2017-18,Salisbury Central,Public,Salisbury,Litchfield,93.18,0.00,6.82,41.9706586,-73.43656
490,Connecticut,2017-18,Brookside Elementary,Public,Norwalk,Fairfield,93.06,0.00,6.94,41.090286,-73.435443
491,Connecticut,2017-18,Colchester Elementary,Public,Colchester,New London,92.90,1.29,5.81,41.57403,-72.318406
492,Connecticut,2017-18,Daniels Farm,Public,Trumbull,Fairfield,92.86,1.43,4.29,41.269758,-73.199068
493,Connecticut,2017-18,Booker T. Washington Academy,Public,New Haven,New Haven,92.75,0.00,1.45,41.31255,-72.915031
494,Connecticut,2017-18,Brennan Rogers,Public,New Haven,New Haven,92.73,0.00,0.00,41.343968,-72.958559
495,Connecticut,2017-18,Columbus,Public,Bridgeport,Fairfield,92.73,0.00,0.00,41.185719,-73.197283
496,Connecticut,2017-18,Wolfpit,Public,Norwalk,Fairfield,92.73,0.00,7.27,41.136571,-73.38954
497,Connecticut,2017-18,Orchard Hills,Public,Milford,New Haven,92.68,2.44,4.88,41.220413,-73.023733
498,Connecticut,2017-18,Hopeville,Public,Waterbury,New Haven,92.63,0.00,1.05,41.534389,-73.033354
499,Connecticut,2017-18,A. W. Cox,Public,Guilford,New Haven,92.50,2.50,5.00,41.985115,-72.696925
500,Connecticut,2017-18,Harbor,Public,New London,New London,92.50,5.00,2.50,41.33506,-72.101621
501,Connecticut,2017-18,Center,Public,Ellington,Tolland,92.42,1.52,4.55,41.903743,-72.466471
502,Connecticut,2017-18,International Magnet School For Global Citizenship,Public,South Windsor,Hartford,92.42,1.52,3.03,41.805514,-72.59644
503,Connecticut,2017-18,Melissa Jones,Public,Guilford,New Haven,92.31,0.00,5.77,41.368904,-72.726428
504,Connecticut,2017-18,Moody,Public,Middletown,Middlesex,92.11,0.00,7.89,41.563759,-72.711971
505,Connecticut,2017-18,Woodstock Elementary,Public,Woodstock,Windham,92.11,1.32,6.58,41.944576,-71.962709
506,Connecticut,2017-18,Charter Oak International Academy,Public,West Hartford,Hartford,91.95,0.00,2.30,41.74356,-72.722467
