index,state,year,name,type,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1235,Colorado,2017-18,Black Rock Elementary,Kindergarten,Boulder,Bayfield 10 JT-R,128,80.47,78.91,0,1.56,0,40.0061015,-105.0157238
1236,Colorado,2017-18,Ellis Elementary,Kindergarten,Denver,Harrison 2,51,80.39,80.39,0,0,0,39.686991,-104.932366
1237,Colorado,2017-18,Dcis At Ford,Kindergarten,Denver,Cripple Creek-Victor RE-1,76,80.26,78.95,0,1.32,0,39.792728,-104.815943
1238,Colorado,2017-18,Dps Ece Dcis @ Ford Elementary,Kindergarten,Denver,El Paso County,76,80.26,78.95,0,1.32,0,39.7923985,-104.8157553
1239,Colorado,2017-18,Boulder Community School/Integrated Studies,Kindergarten,Boulder,Jefferson County R-1,45,80,64.44,0,13.33,2.22,40.004278,-105.246135
1240,Colorado,2017-18,Immanuel Lutheran,Kindergarten,Larimer,Weld County School District RE-3J,10,80,80,0,0,0,40.4410495,-105.0752866
1241,Colorado,2017-18,Lake City Community,Kindergarten,Hinsdale,Boulder Valley RE 2,10,80,40,0,30,0,38.024392,-107.317468
1242,Colorado,2017-18,Mile High Aventist Academy,Kindergarten,Douglas,Westminster Public Schools,10,80,80,0,0,0,39.5625531,-104.9676311
1243,Colorado,2017-18,Mountain Valley,Kindergarten,Saguache,Littleton 6,5,80,60,0,20,0,38.084038,-106.136765
1244,Colorado,2017-18,Our Lady Of Lourdes Catholic Classical,Kindergarten,Denver,Denver County 1,25,80,64,0,16,0,39.6756125,-104.9820337
1245,Colorado,2017-18,Plateau Valley Elementary,Kindergarten,Mesa,Academy 20,15,80,73.33,0,6.67,0,39.233384,-107.996616
1246,Colorado,2017-18,Rocky Mountain Deaf,Kindergarten,Jefferson,Jefferson County R-1,5,80,80,0,0,0,39.642935,-105.111183
1247,Colorado,2017-18,Trinity Lutheran,Kindergarten,Morgan,Cheyenne Mountain 12,10,80,70,0,10,0,40.2571,-103.816541
1248,Colorado,2017-18,Discovery Canyon Campus Elementary,Kindergarten,El Paso,Crowley County RE-1-J,74,79.73,75.68,0,4.05,0,39.03062,-104.794791
1249,Colorado,2017-18,Rocky Mountain Elementary,Kindergarten,Boulder,Jefferson County R-1,64,79.69,76.56,0,0,3.13,40.168069,-105.078068
