index,state,year,name,type,city,county,mmr,xmed,lat,lng
99,Massachusetts,2018-19,Francis Wyman Elementary,Public,Burlington,Middlesex,100,0,42.5003365,-71.2153958
100,Massachusetts,2018-19,Franklin Elementary,Public,West Newton,Middlesex,100,0,42.3579046,-71.2280477
101,Massachusetts,2018-19,Freetown Elementary,Public,East Freetown,Bristol,100,0,41.7609555,-71.014764
102,Massachusetts,2018-19,Garfield Elementary,Public,Revere,Suffolk,100,0,42.4036113,-70.9924798
103,Massachusetts,2018-19,Gilmore Elementary K-5,Public,Brockton,Plymouth,100,0,42.0665207,-71.0131034
104,Massachusetts,2018-19,Glenwood,Public,Springfield,Hampden,100,0,42.132375,-72.5906299
105,Massachusetts,2018-19,Glickman Elementary,Public,Springfield,Hampden,100,0,42.1141838,-72.5111521
106,Massachusetts,2018-19,Glover,Public,Marblehead,Essex,100,0,42.4902062,-70.8797582
107,Massachusetts,2018-19,Goddard School Of Science & Tech,Public,Worcester,Worcester,100,0,42.247825,-71.824374
108,Massachusetts,2018-19,Goodyear Elementary,Public,Woburn,Middlesex,100,0,42.4802826,-71.1245201
109,Massachusetts,2018-19,Gov Edward Winslow,Public,Marshfield,Plymouth,100,1.8,42.0702259,-70.6694514
110,Massachusetts,2018-19,Great Oak,Public,Danvers,Essex,100,0,42.5698369,-70.9486897
111,Massachusetts,2018-19,Green Meadows,Public,Hampden,Hampden,100,0,42.0666905,-72.4122006
112,Massachusetts,2018-19,Greenmont Avenue,Public,Dracut,Middlesex,100,0,42.6701538,-71.3087378
113,Massachusetts,2018-19,Greenwood,Public,Wakefield,Middlesex,100,0,42.4807124,-71.0640766
114,Massachusetts,2018-19,H H Galligan,Public,Taunton,Bristol,100,0,41.900764,-71.1079018
115,Massachusetts,2018-19,Harrington Elementary,Public,Lexington,Middlesex,100,1.4,42.4453512,-71.1988178
116,Massachusetts,2018-19,Hatfield Elementary,Public,Hatfield,Hampshire,100,0,42.3697412,-72.600069
117,Massachusetts,2018-19,Hatherly Elementary,Public,Scituate,Plymouth,100,0,42.2161987,-70.7615605
118,Massachusetts,2018-19,Heard Street,Public,Worcester,Worcester,100,0,42.2313785,-71.8433831
119,Massachusetts,2018-19,Heath,Public,Brookline,Norfolk,100,1.9,42.3224331,-71.1579673
120,Massachusetts,2018-19,Hedge Elementary,Public,Plymouth,Plymouth,100,0,41.9737616,-70.6871332
121,Massachusetts,2018-19,Helen Hansen,Public,Stoughton,Norfolk,100,0,42.130922,-71.130306
122,Massachusetts,2018-19,Helen Keller Elementary,Public,Franklin,Norfolk,100,0,42.1093765,-71.3971609
123,Massachusetts,2018-19,Hemenway Elementary,Public,Framingham,Middlesex,100,0,42.3302313,-71.4321136
124,Massachusetts,2018-19,Henry P Clough,Public,Mendon,Worcester,100,0,42.1091813,-71.5560203
125,Massachusetts,2018-19,Henry Whittemore Elementary,Public,Waltham,Middlesex,100,0,42.364971,-71.229726
126,Massachusetts,2018-19,High Plain Elementary,Public,Andover,Essex,100,0,42.66467,-71.2122146
127,Massachusetts,2018-19,Hildreth Elementary,Public,Harvard,Worcester,100,0,42.4968771,-71.5819151
128,Massachusetts,2018-19,Hillview Montessori Charter,Public,Haverhill,Essex,100,0,42.766155,-71.11977
129,Massachusetts,2018-19,Hollis,Public,Braintree,Norfolk,100,0,42.2158214,-71.002649
130,Massachusetts,2018-19,Hood,Public,Lynn,Essex,100,0,42.4783516,-70.9384518
131,Massachusetts,2018-19,Horace Mann,Public,Melrose,Middlesex,100,0,42.4714751,-71.0542339
132,Massachusetts,2018-19,Horace Mann Elementary,Public,Newtonville,Middlesex,100,0,42.354539,-71.2134849
133,Massachusetts,2018-19,Hubbardston Center,Public,Hubbardston,Worcester,100,0,42.4742469,-72.0074771
134,Massachusetts,2018-19,Huckleberry Hill,Public,Lynnfield,Essex,100,0,42.5230702,-71.0234027
