index,state,year,name,type,city,county,enroll,mmr,xmed,xper,xrel,lat,lng
418,Utah,2017-18,Shelley Elementary,Public,American Fork,Utah,948,94.94,0.11,3.9,0,40.3887115,-111.8031355
419,Utah,2017-18,American Preparatory Academy-Draper 2,Public,Draper,Salt Lake,1022,94.91,0,5.09,0,40.5341788,-111.9010566
420,Utah,2017-18,North Summit Elementary,Public,Coalville,Summit,393,94.91,0,5.09,0,40.9128548,-111.3912838
421,Utah,2017-18,Delta North Elementary,Public,Delta,Millard,430,94.88,0,5.12,0,39.3535396,-112.5719087
422,Utah,2017-18,Spring Lake Elementary,Public,Payson,Utah,702,94.87,0.14,4.84,0,40.0152559,-111.738922
423,Utah,2017-18,Naples Elementary,Public,Vernal,Uintah,564,94.86,0,4.79,0.35,40.4274584,-109.4957322
424,Utah,2017-18,Ashley Elementary,Public,Vernal,Uintah,581,94.84,0,4.99,0,40.459928,-109.549677
425,Utah,2017-18,Kings Peak Elementary,Public,Roosevelt,Duchesne,463,94.82,0.22,4.75,0.22,40.3052814,-109.9970675
426,Utah,2017-18,Goshen Elementary,Public,Goshen,Utah,327,94.8,0,4.89,0,39.9543304,-111.8995982
427,Utah,2017-18,Children's Discovery,Private,Salt Lake City,Salt Lake,57,94.74,0,3.51,0,40.6922243,-111.8135582
428,Utah,2017-18,Bella Vista Elementary,Public,Salt Lake City,Salt Lake,284,94.72,0.7,4.58,0,40.625285,-111.8299087
429,Utah,2017-18,Whitesides Elementary,Public,Layton,Davis,436,94.72,0.46,4.82,0,41.0640878,-111.9531483
430,Utah,2017-18,Centerville Elementary,Public,Centerville,Davis,473,94.71,0.42,4.86,0,40.920861,-111.8765319
431,Utah,2017-18,Children's Christian,Private,West Jordan,Salt Lake,94,94.68,0,5.32,0,40.6247513,-111.9666879
432,Utah,2017-18,Bluffdale Elementary,Public,Bluffdale,Salt Lake,1179,94.66,0.08,4.83,0,40.4916666,-111.9563479
433,Utah,2017-18,Little Valley Elementary,Public,St. George,Washington,112,94.64,0,4.46,0,37.0527289,-113.5359277
434,Utah,2017-18,East Sandy Elementary,Public,Sandy,Salt Lake,428,94.63,0.23,4.67,0.23,40.6003817,-111.8661263
435,Utah,2017-18,Santaquin Elementary,Public,Santaquin,Utah,874,94.62,0,5.26,0,39.9742181,-111.7939779
436,Utah,2017-18,Reagan Academy,Public,Springville,Utah,564,94.5,0,5.5,0,40.1659921,-111.6310861
437,Utah,2017-18,West Jordan Elementary,Public,West Jordan,Salt Lake,491,94.5,0,4.68,0,40.619612,-111.952621
438,Utah,2017-18,Cedar South Elementary,Public,Cedar City,Iron,490,94.49,0,5.51,0,37.6698837,-113.0703824
439,Utah,2017-18,Park Lane Elementary,Public,Sandy,Salt Lake,379,94.46,0.53,5.01,0,40.570289,-111.823487
440,Utah,2017-18,Sandy Elementary,Public,Sandy,Salt Lake,596,94.46,0,5.54,0,40.592995,-111.880293
441,Utah,2017-18,Jefferson Academy,Public,Kaysville,Davis,577,94.45,0,5.37,0.17,41.0114817,-111.9581178
442,Utah,2017-18,Hilltop Christian,Private,Sandy,Salt Lake,18,94.44,0,0,0,40.5593873,-111.8629629
443,Utah,2017-18,River Heights Elementary,Public,River Heights,Cache,449,94.43,0,5.57,0,41.7206601,-111.8158644
444,Utah,2017-18,Heritage Elementary-St. George,Public,St. George,Washington,466,94.42,0,4.29,0,37.0876724,-113.5675647
445,Utah,2017-18,Coral Cliffs Elementary,Public,St. George,Washington,496,94.35,0,5.44,0.2,37.1438613,-113.6270479
446,Utah,2017-18,Carden Memorial,Private,Salt Lake City,Salt Lake,264,94.32,0,3.41,0,40.7124445,-111.8484361
447,Utah,2017-18,Good Foundations Academy,Public,Riverdale,Weber,488,94.26,0,4.71,0,41.1699833,-112.0071602
448,Utah,2017-18,Greenwood Elementary,Public,American Fork,Utah,661,94.25,0,3.48,0,40.3720084,-111.7968051
449,Utah,2017-18,Ascent Academies Of Utah- Lehi,Public,Lehi,Utah,432,94.21,0.23,5.32,0.23,40.3977571,-111.8842077
450,Utah,2017-18,Parleys Park Elementary,Public,Park City,Summit,553,94.21,0,5.61,0.18,40.6972532,-111.541704
451,Utah,2017-18,Wasatch Elementary-Provo,Public,Provo,Utah,859,94.18,0.23,5.47,0,40.2477521,-111.6417348
452,Utah,2017-18,Provo Peaks Elementary,Public,Provo,Utah,600,94.17,0.17,4.5,0,40.2343995,-111.6471581
453,Utah,2017-18,Oakwood Elementary,Public,Salt Lake City,Salt Lake,479,94.15,0,5.85,0,40.6451087,-111.8333832
454,Utah,2017-18,Orem Elementary,Public,Orem,Utah,632,94.15,0,5.54,0,40.2906571,-111.7067779
455,Utah,2017-18,Thomas Edison Charter School- North,Public,Logan,Cache,409,94.13,0.24,5.62,0,41.7792909,-111.8290078
456,Utah,2017-18,Three Peaks Elementary,Public,Cedar City,Iron,609,94.09,0,5.91,0,37.7640358,-113.082109
457,Utah,2017-18,Jeremy Ranch Elementary,Public,Park City,Summit,537,94.04,0,5.96,0,40.7533662,-111.5686241
458,Utah,2017-18,Windridge Elementary,Public,Kaysville,Davis,637,94.03,0,5.65,0,41.0134859,-111.9234008
459,Utah,2017-18,Rowland Hall Elementary,Private,Salt Lake City,Salt Lake,351,94.02,0,5.98,0,40.752893,-111.846572
460,Utah,2017-18,Old Mill Elementary,Public,Heber City,Wasatch,746,93.97,0.13,5.9,0,40.4949951,-111.3894408
461,Utah,2017-18,Rock Canyon Elementary,Public,Provo,Utah,577,93.93,0.17,5.72,0,40.2651807,-111.6509328
462,Utah,2017-18,Salem Elementary,Public,Salem,Utah,558,93.91,0.18,5.73,0,40.0535694,-111.6768487
463,Utah,2017-18,Morningside Elementary,Public,Salt Lake City,Salt Lake,620,93.87,1.29,3.23,0,40.6807261,-111.8072872
464,Utah,2017-18,Cedar Valley Elementary,Public,Cedar Fort,Utah,114,93.86,0,5.26,0,40.3269815,-112.1063678
