index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
328,Vermont,2018-19,Jamaica Village,Windham,53,71.69811321,71.69811321,,,,43.104155,43.104155
329,Vermont,2018-19,Lake Champlain Waldorf,Chittenden,197,66.49746193,57.36040609,,,,44.369635,-73.2344499
330,Vermont,2018-19,Saint Michael,Windham,97,65.97938144,56.70103093,,,,42.856445,-72.5582033
331,Vermont,2018-19,Mountain River,Lamoille,20,65,60,,,,44.473373,-72.709551
332,Vermont,2018-19,The Barn,Chittenden,11,63.63636364,63.63636364,,,,44.599471,-73.024194
333,Vermont,2018-19,Windham Elementary,Windham,16,62.5,62.5,,,,43.165774,-72.725291
334,Vermont,2018-19,Green Mountain Mennonite,Bennington,21,47.61904762,33.33333333,,,,42.924495,-73.199456
335,Vermont,2018-19,Roots And Wings Academy,Rutland,26,46.15384615,38.46153846,,,,43.635246,-73.299843
336,Vermont,2018-19,River Rock,Washington,22,45.45454545,27.27272727,,,,44.257576,-72.574716
337,Vermont,2018-19,Orchard Valley Waldorf,Washington,80,43.75,36.25,,,,44.294005,-72.456673
338,Vermont,2018-19,Foundations,Windsor,12,33.33333333,8.333333333,,,,43.4775684,-72.38719
339,Vermont,2018-19,Brownington Parochial,Orleans,19,0,0,,,,44.819904,-72.137688
340,Vermont,2018-19,Twelve Tribes Community Church School-Bellows Falls,Windham,7,0,0,,,,43.133411,-72.4439772
341,Vermont,2018-19,Twelve Tribes Community Church School-Island Pond,Essex,7,0,0,,,,44.8147712,-71.8803728
342,Vermont,2018-19,Twelve Tribes Community Church School-Rutland,Rutland,11,0,0,,,,43.6106237,-72.9726065
343,Vermont,2018-19,Brownell Mountain,Chittenden,6,,,,,,44.407173,-73.126167
344,Vermont,2018-19,Caledonia Christian,Caledonia,5,,,,,,44.4313599,-72.0123324
345,Vermont,2018-19,Forrest Ward Memorial,Bennington,5,,,,,,42.916618,-73.2049789
346,Vermont,2018-19,Green Mountain Montessori,Chittenden,3,,,,,,44.511114,-73.0581106
347,Vermont,2018-19,Pacem,Washington,5,,,,,,44.2545659,-72.567528
348,Vermont,2018-19,Sugarwood,Rutland,3,,,,,,43.666875,-72.987088
349,Vermont,2018-19,Two Roads Academy,Chittenden,6,,,,,,44.4536363,-73.1143733
