index,state,year,name,county,enroll,mmr,lat,lng
121,South Dakota,2017-18,Mount Vernon Elementary,Davison,17,100,43.7146295,-98.2606107
122,South Dakota,2017-18,New Elm Spring Colony Elementary,Hutchinson,3,100,43.4855388,-97.8311751
123,South Dakota,2017-18,New Underwood Elementary,Pennington,11,100,44.0945726,-102.832521
124,South Dakota,2017-18,Newell Elementary,Butte,16,100,44.7173235,-103.426069
125,South Dakota,2017-18,Newport Colony Elementary,Marshall,3,100,45.6767383,-97.9379927
126,South Dakota,2017-18,Norfeld Colony Elementary,Brookings,5,100,44.4227594,-96.5659761
127,South Dakota,2017-18,Norris Elementary,Mellette,11,100,45.1544201,-98.4975934
128,South Dakota,2017-18,O.M. Tiffany Elementary,Brown,52,100,45.4739721,-98.4751859
129,South Dakota,2017-18,O'Kreek Elementary,Todd,2,100,43.3621507,-100.3871877
130,South Dakota,2017-18,Oaklane Colony Elem,Hanson,2,100,43.510203,-97.74414
131,South Dakota,2017-18,Old Elm Spring Colony Elementary,Hutchinson,3,100,43.4997922,-97.7906627
132,South Dakota,2017-18,Oldham-Ramona Elementary,Lake,9,100,44.1208861,-97.2193202
133,South Dakota,2017-18,Opal Elementary,Meade,1,100,44.892909,-102.450241
134,South Dakota,2017-18,Parker Elementary,Turner,41,100,43.3975204,-97.1286703
135,South Dakota,2017-18,Pine Ridge Elementary,Ogalala Lakota,40,100,43.0279566,-102.522649
136,South Dakota,2017-18,Pinedale Elementary,Pennington,68,100,44.0851316,-103.3008502
137,South Dakota,2017-18,Pleasant Valley Colony Elementary,Moody,4,100,44.0592244,-96.4666395
138,South Dakota,2017-18,Poinsett Colony Elementary- 01,Hamlin,1,100,44.6450643,-96.9058032
139,South Dakota,2017-18,Presho Elementary,Lyman,20,100,43.9098193,-100.0632447
140,South Dakota,2017-18,Red Shirt,Ogalala Lakota,6,100,43.6657514,-102.8961649
141,South Dakota,2017-18,Red Willow Colony,Brookings,2,100,44.2996196,-96.7836636
142,South Dakota,2017-18,Riverside Colony Elementary,Beadle,1,100,44.486042,-98.138937
143,South Dakota,2017-18,Robert Frost Elementary,Minnehaha,61,100,43.5167054,-96.7217857
144,South Dakota,2017-18,Rockport Colony Elementary,Davison,2,100,43.529756,-97.847737
145,South Dakota,2017-18,Rockyford,Ogalala Lakota,47,100,43.4829748,-102.4876141
146,South Dakota,2017-18,Roosevelt Elementary,Codington,46,100,44.8945923,-97.1126457
147,South Dakota,2017-18,Rosedale Colony Elementary,Davison,3,100,43.6283235,-97.8777365
148,South Dakota,2017-18,Rosette Colony Elementary,Edmunds,1,100,45.581726,-99.007205
149,South Dakota,2017-18,Rosholt Elementary,Roberts,11,100,45.8644023,-96.7374639
150,South Dakota,2017-18,Rustic Acres Elementary,Lake,5,100,43.8717455,-97.1032038
151,South Dakota,2017-18,Rutland Elementary,Lake,20,100,44.0897201,-96.9656982
152,South Dakota,2017-18,Shamrock Colony Elementary,Clark,2,100,44.6187934,-97.9575695
153,South Dakota,2017-18,Shannon Colony Elementary,Miner,4,100,43.9790523,-97.4193849
154,South Dakota,2017-18,Simmons Elementary,Brown,61,100,45.4488685,-98.4930013
155,South Dakota,2017-18,Sisseton Elementary-54-2,Roberts,89,100,45.6647943,-97.061223
156,South Dakota,2017-18,South Central Elementary,Gregory,8,100,43.2316434,-99.4225659
157,South Dakota,2017-18,South Dakota School For The Blind & Visually Impaired,Brown,1,100,45.4476741,-98.4809786
158,South Dakota,2017-18,Spring Creek Elementary,Todd,6,100,43.1181125,-101.0299739
159,South Dakota,2017-18,Spring Lake Colony Elementary,Lake,1,100,44.2352781,-97.1696107
160,South Dakota,2017-18,Springfield Elementary,Bon Homme,9,100,42.8564843,-97.8924766
161,South Dakota,2017-18,St. Francis Elementary,Todd,56,100,43.140866,-100.900777
162,South Dakota,2017-18,St. Joseph Elementary,Hughes,41,100,44.3705958,-100.3479946
163,South Dakota,2017-18,St. Katharine Drexel Elementary,Minnehaha,19,100,43.5284328,-96.8375802
164,South Dakota,2017-18,St. Lambert Elementary,Minnehaha,18,100,43.5375763,-96.6808129
165,South Dakota,2017-18,St. Mary Elementary,Minnehaha,31,100,43.8278351,-96.7077525
166,South Dakota,2017-18,St. Michael Elementary,Minnehaha,29,100,43.5767705,-96.7113241
167,South Dakota,2017-18,St. Thomas Elementary,Lake,1,100,44.0085267,-97.1158794
168,South Dakota,2017-18,Stewart Elementary,Yankton,40,100,42.8915474,-97.394244
169,South Dakota,2017-18,Sunset Colony Elementary,Marshall,1,100,45.8058894,-97.8881536
170,South Dakota,2017-18,Sunshine Bible Elementary,Hand,2,100,44.328708,-98.984106
171,South Dakota,2017-18,Thunderbird Colony Elementary,Faulk,3,100,45.1896478,-99.2668645
172,South Dakota,2017-18,Tiospaye Topa Elementary,Dewey,8,100,45.1464526,-100.640036
173,South Dakota,2017-18,Trinity Lutheran Elementary,Brown,3,100,42.8719183,-97.3975088
174,South Dakota,2017-18,Tripp Elementary,Hutchinson,6,100,43.2255461,-97.965905
175,South Dakota,2017-18,Tyndall Elementary,Bon Homme,22,100,42.989737,-97.869392
176,South Dakota,2017-18,Valley Springs Elementary,Minnehaha,19,100,43.5826389,-96.4728823
177,South Dakota,2017-18,Wakpala Elementary,Corson,13,100,45.6250448,-100.5224535
178,South Dakota,2017-18,Warner Elementary,Brown,22,100,45.3245161,-98.4970149
179,South Dakota,2017-18,Waubay Elementary,Day,11,100,45.338862,-97.30804
180,South Dakota,2017-18,Webster Area Elementary,Day,40,100,45.333819,-97.5187294
181,South Dakota,2017-18,Webster Elementary,Yankton,24,100,42.8749693,-97.3875391
182,South Dakota,2017-18,Wessington Springs Elementary,Jerauld,19,100,44.0817653,-98.5599612
183,South Dakota,2017-18,West Central Humboldt Elementary,Minnehaha,18,100,43.640238,-97.0739022
184,South Dakota,2017-18,White Lake Elementary,Aurora,7,100,43.7302731,-98.7136998
185,South Dakota,2017-18,Wolf Creek,Ogalala Lakota,76,100,43.0474282,-102.4602444
186,South Dakota,2017-18,Wood Elementary,Mellette,3,100,43.4974648,-100.4760593
187,South Dakota,2017-18,Worthing Elementary,Lincoln,15,100,43.328441,-96.7665527
188,South Dakota,2017-18,R.F. Pettigrew Elementary,Minnehaha,154,99.35,43.5053675,-96.825051
189,South Dakota,2017-18,Badger Clark Elementary,Pennington,130,99.23,44.1375314,-103.065083
190,South Dakota,2017-18,John F. Kennedy Elementary,Minnehaha,112,99.11,43.5032132,-96.80094
191,South Dakota,2017-18,Rosa Parks Elementary,Minnehaha,112,99.11,43.5309774,-96.6597726
192,South Dakota,2017-18,Madison Elementary,Lake,108,99.07,44.0157132,-97.1039378
193,South Dakota,2017-18,Dakota Valley Elementary,Union,98,98.98,42.5515137,-96.5187254
194,South Dakota,2017-18,Medary Elementary,Brookings,98,98.98,44.3001343,-96.7922876
195,South Dakota,2017-18,Oscar Howe Elementary,Minnehaha,97,98.94,43.5197305,-96.8015993
196,South Dakota,2017-18,Liberty Elementary,Lincoln,82,98.78,43.4323596,-96.6999864
197,South Dakota,2017-18,Buchanan K-1 Center,Beadle,239,98.73,44.360624,-98.237156
198,South Dakota,2017-18,Cleveland Elementary,Minnehaha,77,98.7,43.5380525,-96.6840169
199,South Dakota,2017-18,L.B. Williams Elementary,Davison,80,98.7,43.6955245,-98.0319929
200,South Dakota,2017-18,Kennedy Elementary,Hughes,72,98.61,44.3883323,-100.3191662
201,South Dakota,2017-18,Eugene Field A+ Elementary,Minnehaha,71,98.59,43.5437214,-96.7044704
202,South Dakota,2017-18,Woodrow Wilson Elementary,Pennington,71,98.59,44.0702889,-103.2335707
203,South Dakota,2017-18,Hawthorne Elementary,Minnehaha,69,98.55,43.5539538,-96.7334961
204,South Dakota,2017-18,Jefferson Elementary,Hughes,67,98.51,44.3794928,-100.3544506
205,South Dakota,2017-18,Tea Area Legacy Elementary,Lincoln,132,98.48,43.4502296,-96.8417163
206,South Dakota,2017-18,Hayward Elementary,Minnehaha,122,98.36,43.550056,-96.7982616
207,South Dakota,2017-18,Koch Elementary,Grant,61,98.36,45.2121823,-96.6320072
208,South Dakota,2017-18,Dakota Prairie Elementary,Brookings,121,98.35,44.2762795,-96.802758
209,South Dakota,2017-18,May Overby Elementary,Brown,59,98.31,45.4507044,-98.4788851
210,South Dakota,2017-18,American Horse Elementary,Ogalala Lakota,56,98.21,43.2800299,-101.9260676
211,South Dakota,2017-18,Lincoln Elementary,Yankton,56,98.21,42.8776084,-97.4006196
212,South Dakota,2017-18,Sturgis Elementary,Meade,108,98.15,44.402819,-103.516084
213,South Dakota,2017-18,Brandon Elementary,Minnehaha,107,98.13,43.5928445,-96.5844275
214,South Dakota,2017-18,Freedom Elementary,Lincoln,105,98.1,43.441355,-96.7191722
215,South Dakota,2017-18,Horace Mann Elementary,Pennington,52,98.08,44.0970226,-103.2310044
216,South Dakota,2017-18,Lead-Deadwood Elementary,Lawrence,52,98.08,44.375563,-103.7321575
217,South Dakota,2017-18,Valley View Elementary,Pennington,100,98,44.0772755,-103.1389901
