index,state,year,name,address,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
456,North Carolina,2018-19,Knollwood Elementary,,,Rowan,,91,,100,0,,2.2,35.6155281,-80.5743473
457,North Carolina,2018-19,Knowledge is Power Early Lrng Prog,,,Mecklenburg,,1,,100,0,,0,35.2337879,-80.892835
458,North Carolina,2018-19,L & L Montessori,,,Brunswick,,4,,100,0,,0,33.92946,-78.067441
459,North Carolina,2018-19,Lake Forest Academy,,,New Hanover,,1,,100,0,,0,34.215475,-77.928204
460,North Carolina,2018-19,Lake Myra Elementary,,,Wake,,90,,100,0,,0,35.761463,-78.430151
461,North Carolina,2018-19,Lake Norman Elementary,,,Iredell,,84,,100,0,,3.6,35.5806834,-80.8976186
462,North Carolina,2018-19,Lakeshore Elementary,,,Iredell,,81,,100,1.2,,2.5,35.6078912,-80.8867743
463,North Carolina,2018-19,Landis Elementary,,,Rowan,,76,,100,0,,1.3,35.5540324,-80.6205503
464,North Carolina,2018-19,Lansdowne Elementary,,,Mecklenburg,,77,,100,0,,5.2,35.143272,-80.782308
465,North Carolina,2018-19,Laurel Hil l  Elementary,,,Scotland,,108,,100,0,,0.9,34.822358,-79.520225
466,North Carolina,2018-19,Lawrence Academy,,,Bertie,,11,,100,0,,0,36.010319,-76.768461
467,North Carolina,2018-19,Lawrence Orr Elementary,,,Mecklenburg,,118,,100,0,,0,35.2261011,-80.7440106
468,North Carolina,2018-19,Lawsonville Elementary,,,Stokes,,22,,100,0,,0,36.490398,-80.23513
469,North Carolina,2018-19,Learning Community Sch,,,Buncombe,,7,,100,0,,14.3,35.6271895,-82.3632896
470,North Carolina,2018-19,Lebanon Road Elementary,,,Mecklenburg,,135,,100,0,,3,35.184109,-80.689629
471,North Carolina,2018-19,Lee Christian,,,Lee,,14,,100,0,,14.3,35.46288,-79.202481
472,North Carolina,2018-19,Lee Woodard Elementary,,,Wilson,,24,,100,0,,0,35.639974,-77.938391
473,North Carolina,2018-19,LegetteBlythe Elementary,,,Mecklenburg,,141,,100,0.7,,0,35.3765629,-80.8349492
474,North Carolina,2018-19,Lenoir County Learning Academy,,,Lenoir,,1,,100,0,,0,35.25452,-77.693466
475,North Carolina,2018-19,Level Cross Elementary,,,Randolph,,53,,100,0,,0,35.858573,-79.790925
476,North Carolina,2018-19,Lewisvil le Elementary,,,Forsyth,,94,,100,0,,1.1,36.094737,-80.419404
477,North Carolina,2018-19,Liberty Christian Academy,,,Onslow,,38,,100,0,,7.9,34.9065,-77.563231
478,North Carolina,2018-19,Liberty Elementary,,,Randolph,,65,,100,0,,1.5,35.8553235,-79.5700201
479,North Carolina,2018-19,Liberty Preparatory Christian Acad.,,,Iredell,,24,,100,0,,41.7,35.5777968,-80.9074554
480,North Carolina,2018-19,Lil l ington-Shawtown Elementary,,,Harnett,,112,,100,0,,0,35.393523,-78.837933
481,North Carolina,2018-19,Lilesvil le Elementary,,,Anson,,35,,100,0,,0,34.963629,-79.988673
