index,state,year,name,city,county,district,enrollment,overall,xmed,xrel,lat,lng
186,Idaho,2018-19,Council Elementary,Council,Adams,Council,18,88.88888889,0,0,44.7262586,-116.44013
187,Idaho,2018-19,Lake Ridge Elementary,Nampa,Canyon,Nampa,81,88.88888889,0,4.938271605,43.5273489,-116.5839463
188,Idaho,2018-19,Owyhee Elementary School - Boise,Boise,Ada,Boise,18,88.88888889,0,5.555555556,43.5755587,-116.2246031
189,Idaho,2018-19,Pierce Park Elementary,Boise,Ada,Boise,45,88.88888889,0,4.444444444,43.6661029,-116.269088
190,Idaho,2018-19,Pocatello Community Charter,Pocatello,Bannock,Charter,36,88.88888889,0,11.11111111,42.8551921,-112.444368
191,Idaho,2018-19,Henry's Fork Elementary,St. Anthony,Fremont,Fremont,80,88.75,0,6.25,43.9713755,-111.687069
192,Idaho,2018-19,Ridge Crest Elementary,Blackfoot,Bingham,Blackfoot,62,88.70967742,1.612903226,0,43.2026796,-112.3452656
193,Idaho,2018-19,Sacajawea Elementary,Caldwell,Canyon,Caldwell,79,88.60759494,0,2.53164557,43.6852593,-116.6770539
194,Idaho,2018-19,Sage International School - K-12,Boise,Ada,Charter,79,88.60759494,0,11.39240506,43.5952144,-116.1787139
195,Idaho,2018-19,Cecil D Andrus Elementary,Boise,Ada,West Ada,70,88.57142857,0,11.42857143,43.6604389,-116.344102
196,Idaho,2018-19,Mountain View Elementary School - Mccammon,Mccammon,Bannock,Marsh Valley,35,88.57142857,0,11.42857143,42.649006,-112.19374
197,Idaho,2018-19,Potlatch Elementary,POTLATCH,Latah,Potlatch,35,88.57142857,0,11.42857143,46.9209989,-116.8951453
198,Idaho,2018-19,Jefferson Elementary School - Rigby,Rigby,Jefferson,Jefferson,227,88.54625551,0.4405286344,11.01321586,43.6694138,-111.9343259
199,Idaho,2018-19,Kamiah Elementary,Kamiah,Lewis,Kamiah,26,88.46153846,0,11.53846154,46.2231573,-116.0297738
200,Idaho,2018-19,Mountain View Elementary School - Burley,Burley,Cassia,Cassia,60,88.33333333,0,5,42.5177589,-113.7962902
201,Idaho,2018-19,Whittier Elementary,Boise,Ada,Boise,77,88.31168831,1.298701299,3.896103896,43.6235956,-116.227163
202,Idaho,2018-19,Joplin Elementary,Boise,Ada,West Ada,51,88.23529412,1.960784314,9.803921569,43.6546736,-116.331905
203,Idaho,2018-19,Morley Nelson Elementary,Boise,Ada,Boise,68,88.23529412,0,1.470588235,43.6257711,-116.2790083
204,Idaho,2018-19,St. Mary's,Meridian,Ada,Private,17,88.23529412,0,0,43.6320874,-116.2227501
205,Idaho,2018-19,Indian Hills Elementary,Pocatello,Bannock,Pocatello,93,88.17204301,0,4.301075269,42.82038,-112.4084428
206,Idaho,2018-19,Prospect Elementary,Meridian,Ada,West Ada,101,88.11881188,0,10.89108911,43.6447429,-116.3830465
207,Idaho,2018-19,Greenhurst Elementary,Nampa,Canyon,Nampa,42,88.0952381,0,11.9047619,43.5520434,-116.5391868
208,Idaho,2018-19,Lowell Elementary,Boise,ADA,Boise,42,88.0952381,0,2.380952381,43.6341195,-116.2238488
209,Idaho,2018-19,Lakeside Elementary,Worley,Kootenai,Plummer-Worley,25,88,0,4,47.3327951,-116.8936944
210,Idaho,2018-19,Cornerstone Christian Academy,Post Falls,Kootenai,Private,33,87.87878788,0,12.12121212,47.715496,-116.9582399
211,Idaho,2018-19,New Horizons Dual Language Magnet,Nampa,Canyon,Nampa,98,87.75510204,0,5.102040816,43.5192288,-116.5317354
212,Idaho,2018-19,A.H. Bush Elementary,Idaho Falls,Bonneville,Idaho Falls,48,87.5,0,0,43.5119345,-112.0370197
213,Idaho,2018-19,Challis Elementary,Challis,Custer,Challis,24,87.5,4.166666667,4.166666667,44.5070344,-114.2306295
214,Idaho,2018-19,Children's House Montessori,Mountain Home,Elmore,Private,8,87.5,0,12.5,43.1341152,-115.6856298
215,Idaho,2018-19,Clover Trinity Lutheran,Buhl,Twin Falls,Private,8,87.5,0,12.5,42.513648,-114.688529
216,Idaho,2018-19,Connor Academy,Chubbuck,Bannock,Charter,48,87.5,0,10.41666667,42.914194,-112.4947653
217,Idaho,2018-19,Idaho School For The Deaf & Blind,Gooding,Gooding,Idaho Educational Services for the Deaf and Blind,8,87.5,0,12.5,42.9296509,-114.7118789
218,Idaho,2018-19,Inkom Elementary,Inkom,Bannock,Marsh Valley,24,87.5,0,8.333333333,42.7969992,-112.256002
219,Idaho,2018-19,Midvale,Midvale,Washington,Midvale,8,87.5,0,0,44.4715554,-116.7297122
220,Idaho,2018-19,Nez Perce Elementary,Nezperce,Lewis,Nezperce,16,87.5,0,12.5,46.2380638,-116.2406898
221,Idaho,2018-19,Palouse Prairie,Moscow,Latah,Charter,24,87.5,0,12.5,46.7215027,-117.0018275
222,Idaho,2018-19,Rolling Hills Public Charter,Boise,Ada,Charter,24,87.5,0,8.333333333,43.6893777,-116.3120668
223,Idaho,2018-19,Saint Peter And Paul,Grangeville,Idaho,Private,8,87.5,0,12.5,45.9242067,-116.1269135
224,Idaho,2018-19,Sandpoint Christian,Ponderay,Bonner,Private,16,87.5,0,12.5,48.3219396,-116.5471462
225,Idaho,2018-19,Longfellow Elementary School - Boise,Boise,Ada,Boise,39,87.17948718,2.564102564,7.692307692,43.6279506,-116.1990977
226,Idaho,2018-19,Purple Sage Elementary,Caldwell,Canyon,Middleton,78,87.17948718,0,7.692307692,43.7455403,-116.693906
227,Idaho,2018-19,Silver Trail Elementary,Meridian,Ada,Kuna,78,87.17948718,0,6.41025641,43.5259153,-116.4294979
228,Idaho,2018-19,Star Elementary,Star,Ada,West Ada,70,87.14285714,0,12.85714286,43.698681,-116.4926807
229,Idaho,2018-19,Adams Elementary School - Boise,Boise,Ada,Boise,31,87.09677419,0,9.677419355,43.6029295,-116.1739946
230,Idaho,2018-19,West Canyon Elementary,Caldwell,Canyon,Vallivue,62,87.09677419,0,9.677419355,43.6339269,-116.78424
231,Idaho,2018-19,Grangeville Elementary & Middle,Grangeville,Idaho,Mountain View,54,87.03703704,0,12.96296296,45.9235462,-116.1246674
