index,state,year,name,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
447,Florida,2018-19,Washington Shores Elementary,Orange,69,,97.1,0,,0,28.529,-81.422911
448,Florida,2018-19,Renaissance Charter School At Hunters Creek,Orange,172,,97.09,0,,1.744186047,28.361354,-81.426914
449,Florida,2018-19,Baker,Okaloosa,103,,97.09,0,,1.941747573,30.793598,-86.678844
450,Florida,2018-19,George W. Marks Elementary,Volusia,103,,97.09,0,,0.9708737864,29.0461,-81.297011
451,Florida,2018-19,Summers Elementary,Columbia,103,,97.09,0,,1.941747573,30.169988,-82.649833
452,Florida,2018-19,Dillard Elementary,Broward,137,,97.08,0,,0.7299270073,26.140482,-80.173365
453,Florida,2018-19,Altoona,Lake,68,,97.06,0,,1.470588235,28.969833,-81.646774
454,Florida,2018-19,Anna Maria Elementary,Manatee,34,,97.06,0,,0,27.502474,-82.711525
455,Florida,2018-19,Bowling Green Elementary,Hardee,68,,97.06,0,,0,27.635769,-81.821
456,Florida,2018-19,Bridgeprep Academy Interamerican Campus,Dade,34,,97.06,2.941176471,,0,25.766567,-80.236339
457,Florida,2018-19,Freedom Crossing Academy,St. Johns,136,,97.06,0,,1.470588235,30.0858,-81.58699
458,Florida,2018-19,Grove Park Elementary,Palm Beach,102,,97.06,0,,0.9803921569,26.799198,-80.105763
459,Florida,2018-19,Odessa Elementary,Pasco,136,,97.06,0,,1.470588235,28.185599,-82.6021
460,Florida,2018-19,Palm Beach Gardens Elementary,Palm Beach,102,,97.06,0,,2.941176471,26.8237,-80.089511
461,Florida,2018-19,Plato Academy Largo Charter,Pinellas,34,,97.06,0,,2.941176471,27.900499,-82.736471
462,Florida,2018-19,Royal Palm Elementary,Dade,68,,97.06,1.470588235,,0,25.729147,-80.376999
463,Florida,2018-19,San Pablo Elementary,Duval,68,,97.06,0,,2.941176471,30.305707,-81.401012
464,Florida,2018-19,Shadowlawn Elementary,Dade,34,,97.06,0,,0,25.820996,-80.198577
465,Florida,2018-19,Socrum Elementary,Polk,68,,97.06,0,,0,28.169166,-82.016178
466,Florida,2018-19,Somerset Preparatory Academy Sunset,Dade,68,,97.06,1.470588235,,1.470588235,25.66735,-80.374161
467,Florida,2018-19,Summerfield Elementary,Hillsborough,101,,97.03,0,,1.98019802,27.802606,-82.288792
468,Florida,2018-19,William D. Moseley Elementary,Putnam,101,,97.03,0,,0,29.639305,-81.65332
469,Florida,2018-19,Coppergate Elementary,Clay,67,,97.01,0,,2.985074627,30.101512,-81.814054
470,Florida,2018-19,Saturn Elementary,Brevard,134,,97.01,0,,2.23880597,28.370488,-80.770616
471,Florida,2018-19,Sunset Park Elementary,Dade,67,,97.01,0,,0,25.691435,-80.358062
472,Florida,2018-19,Duval Charter School At Flagler Center,Duval,100,,97,1,,2,30.13806,-81.517441
473,Florida,2018-19,Discovery Elementary,Broward,133,,96.99,0,,2.255639098,26.192268,-80.26943
474,Florida,2018-19,Academir Preparatory Academy,Dade,66,,96.97,1.515151515,,0,25.71313,-80.413141
475,Florida,2018-19,Avalon Elementary,Collier,66,,96.97,0,,1.515151515,26.108258,-81.765248
476,Florida,2018-19,Berkshire Elementary,Palm Beach,165,,96.97,0,,1.212121212,26.661615,-80.103951
477,Florida,2018-19,Deltona Elementary,Hernando,132,,96.97,0,,2.272727273,28.461702,-82.587324
478,Florida,2018-19,Floresta Elementary,St. Lucie,99,,96.97,0,,0,27.294921,-80.32536
479,Florida,2018-19,Golfview Elementary Magnet,Brevard,66,,96.97,0,,3.03030303,28.337448,-80.741063
480,Florida,2018-19,Hogan-Spring Glen Elementary,Duval,66,,96.97,0,,0,30.289338,-81.590201
481,Florida,2018-19,Madison Creative Arts Academy Inc,Madison,33,,96.97,0,,3.03030303,30.48604,-83.454321
482,Florida,2018-19,Lost Lake Elementary,Lake,131,,96.95,0,,1.526717557,28.524844,-81.721986
