index,state,year,name,city,mmr,overall,xmed,xper,xrel,lat,lng
342,Missouri,2018-19,Sacred Heart Schl-Sedalia,Sedalia,88.6,,,,,38.7092317,-93.2322034
343,Missouri,2018-19,St Rose Of Lima,Desoto,88.5,,,,,38.1353007,-90.5585997
344,Missouri,2018-19,Delasalle Charter,Kansas City,88.4,,,,,39.058451,-94.571505
345,Missouri,2018-19,Ewing Marion Kauffman,Kansas City,88.2,,,,,39.0116959,-94.5671635
346,Missouri,2018-19,Tabernacle Christian Academy,Lebanon,88.2,,,,,37.6735044,-92.6678784
347,Missouri,2018-19,Heartland Christian Academy,Bethel,88,,,,,39.94349,-91.990361
348,Missouri,2018-19,Christian Chapel Academy,Columbia,87.9,,,,,38.913794,-92.333314
349,Missouri,2018-19,Lift For Life Academy,St. Louis,87.9,,,,,38.608525,-90.200442
350,Missouri,2018-19,Timothy Lutheran,Blue Springs,87.8,,,,,38.967441,-94.270202
351,Missouri,2018-19,Bishop Dubourg High Sch,St Louis,87.7,,,,,38.5810191,-90.2953585
352,Missouri,2018-19,Northland Christian,Kansas City,87.7,,,,,39.2848032,-94.5874779
353,Missouri,2018-19,Greenwood Laboratory,Springfield,87.4,,,,,37.202372,-93.279524
354,Missouri,2018-19,Cross Point Christian,Villa Ridge,87.2,,,,,38.455761,-90.895926
355,Missouri,2018-19,Sunny Lane,Versailles,87.1,,,,,36.728416,-93.385295
356,Missouri,2018-19,Northern Hills Christian Acad,Holt,86.8,,,,,39.4173029,-94.368803
357,Missouri,2018-19,Trinity Lutheran,Freistatt,86.8,,,,,37.018741,-93.897292
358,Missouri,2018-19,St Johns Lutheran,Ellisville,86.5,,,,,38.5916962,-90.5822817
359,Missouri,2018-19,Oak Ridge Country,Stover,86.4,,,,,38.5608413,-92.9851293
360,Missouri,2018-19,El Dorado Christian,El Dorado Springs,86.2,,,,,37.857355,-94.016077
361,Missouri,2018-19,Eagle Ridge Christian,Cape Girardeau,86,,,,,37.30957,-89.598171
362,Missouri,2018-19,Glade Springs,Sheldon,85.7,,,,,37.6620831,-94.2927046
363,Missouri,2018-19,Our Savior Lutheran,Fenton,85.7,,,,,38.5216889,-90.4628334
364,Missouri,2018-19,Salem Lutheran,Florissant,85.5,,,,,38.792815,-90.2599997
365,Missouri,2018-19,Tri-County Christian,Macon,85.5,,,,,39.7571,-92.466205
366,Missouri,2018-19,Park Avenue Christian,Springfield,85.2,,,,,37.24926,-93.318501
367,Missouri,2018-19,The Freedom,University City,85.1,,,,,38.6800827,-90.3487086
368,Missouri,2018-19,Cornerstone Academy Of The Ozark,Warsaw,85,,,,,38.2549105,-93.408221
369,Missouri,2018-19,Sunnydale Adventist Elementary,Centralia,85,,,,,39.2432957,-92.2126532
370,Missouri,2018-19,Clay Platte Montessori,Kansas City,84.9,,,,,39.20172,-94.606761
371,Missouri,2018-19,Providence Christian Academy,Saint Louis,84.9,,,,,38.5251014,-90.363983
372,Missouri,2018-19,Marshfield Christian,Marshfield,84.6,,,,,37.3355484,-92.9065953
373,Missouri,2018-19,River Roads Lutheran Sch,St Louis,84.5,,,,,38.7176433,-90.2333709
374,Missouri,2018-19,Sherwood Autism Center,Kansas City,84.3,,,,,38.9820951,-94.6041727
375,Missouri,2018-19,St James The Greater Sch,St. Louis,84,,,,,38.6252992,-90.2932057
376,Missouri,2018-19,Twin Oaks Christian,Ballwin,83.3,,,,,38.5662492,-90.5047167
377,Missouri,2018-19,Crossroads,St. Louis,83,,,,,38.6518603,-90.2839225
378,Missouri,2018-19,Applewood Christian,Sedalia,82.6,,,,,38.70511,-93.123561
379,Missouri,2018-19,Urban Christian Academy,Kansas City,82.5,,,,,39.04697,-94.535921
380,Missouri,2018-19,Oak Haven Montessori,Dardenne Prairie,82.2,,,,,38.76511,-90.727191
381,Missouri,2018-19,St Alphonsus,Silex,82,,,,,39.10434,-91.106881
382,Missouri,2018-19,St. Louis College Prep,St. Louis,81.8,,,,,38.6169003,-90.2081692
383,Missouri,2018-19,Heritage Classical Christian Academy,Fenton,81.5,,,,,38.526488,-90.486237
384,Missouri,2018-19,Carrie Elligson Gietner School - Every Child's Hope,Saint Louis,81.3,,,,,38.566418,-90.237735
385,Missouri,2018-19,Cardinal Ritter Clg Prep,St Louis,81.2,,,,,38.6419109,-90.2349359
386,Missouri,2018-19,St Austin,Chesterfield,81.1,,,,,38.6130221,-90.453532
387,Missouri,2018-19,Blue Ridge Christian,Kansas City,80.8,,,,,38.840788,-94.54787
388,Missouri,2018-19,Harmony Mennonite,Rich Hill,79.5,,,,,38.0964191,-94.3610616
389,Missouri,2018-19,Trinity Christian Academy,Hollister,79.3,,,,,36.625812,-93.212818
390,Missouri,2018-19,Crowley Ridge Mennonite,Bloomfield,79.2,,,,,36.8764742,-89.9311084
391,Missouri,2018-19,Heritage Academy,Columbia,79,,,,,38.96036,-92.347158
392,Missouri,2018-19,Glensted,Versailles,78.9,,,,,38.4942704,-92.8547297
393,Missouri,2018-19,Excelsior Mennonite,Fortuna,78.6,,,,,38.5667297,-92.7969952
394,Missouri,2018-19,La Salle Charter,St. Louis,77.8,,,,,38.640325,-90.212498
395,Missouri,2018-19,Bear Creek,Gorin,77.3,,,,,37.8619802,-93.9732733
396,Missouri,2018-19,Harrisonville Christian,Harrisonville,77.2,,,,,38.64504,-94.335101
397,Missouri,2018-19,Messiah Lutheran,Independence,77.1,,,,,39.08644,-94.415863
398,Missouri,2018-19,St Joseph,Scott City,76.9,,,,,37.224477,-89.511062
399,Missouri,2018-19,Mt Zion Bible,Ava,76.2,,,,,37.014883,-92.662987
400,Missouri,2018-19,Victory Academy,Sey Ur,76.1,,,,,37.1542396,-92.7683142
401,Missouri,2018-19,Prairie Union Mennonite,Latham,76,,,,,38.558855,-92.6807391
402,Missouri,2018-19,Crossroad,Barnett,75,,,,,39.101727,-94.5866467
403,Missouri,2018-19,Dayspring Christian,Springfield,74.8,,,,,37.23655,-93.272961
404,Missouri,2018-19,Trinity Learning Center,Anderson,74.6,,,,,36.6756029,-94.5005808
405,Missouri,2018-19,Lee's Summit Academy,Lees Summit,73.3,,,,,38.92361,-94.399381
406,Missouri,2018-19,Millport Mennonite,Rutledge,72.7,,,,,40.3161859,-92.0873055
407,Missouri,2018-19,Maranatha Baptist Academy,St Robert,72.6,,,,,37.8069242,-92.1413847
408,Missouri,2018-19,Grace Classical Academy,Springfield,72.4,,,,,37.2022269,-93.2469047
409,Missouri,2018-19,Ozarks Christian Academy,West Plains,72,,,,,36.7122847,-91.7869031
410,Missouri,2018-19,Al Salam Day,Manchester,71.4,,,,,38.602914,-90.495968
411,Missouri,2018-19,Legacy Christian Academy,Branson,71.4,,,,,36.6417201,-93.2295085
412,Missouri,2018-19,Center Place Restoration,Independence,70.8,,,,,39.096066,-94.425956
413,Missouri,2018-19,Shady Ridge,Memphis,70.4,,,,,40.4719971,-92.1780901
414,Missouri,2018-19,Queen Of The Holy Rosary Academy,Saint Louis,68.9,,,,,38.56312,-90.368091
415,Missouri,2018-19,Twin Oaks,Latham,67.9,,,,,38.566245,-90.502528
416,Missouri,2018-19,Christian Outreach,Hillsboro,67.4,,,,,38.300846,-90.5223568
417,Missouri,2018-19,Misty Meadow,Fortuna,66.7,,,,,38.9919536,-94.3574903
418,Missouri,2018-19,Victory Road Christian Academy,Anderson,65.7,,,,,36.6675635,-94.5795366
419,Missouri,2018-19,Meadow View,Barnett,64.7,,,,,38.6498308,-92.7758414
420,Missouri,2018-19,Riverview Christian,Forsyth,64.6,,,,,36.717497,-93.124623
421,Missouri,2018-19,Prairie Dale,Versailles,62.1,,,,,38.4314141,-92.8410274
422,Missouri,2018-19,Prodigy Leadership Academy,Cape Girardeau,61.4,,,,,37.341477,-89.495347
423,Missouri,2018-19,Ozark Mennonite,Sey Ur,60.6,,,,,37.1150302,-92.7203869
424,Missouri,2018-19,Troy Holiness,Troy,57.7,,,,,38.97182,-90.975281
425,Missouri,2018-19,Meadowlark Hill,Tunas,57.1,,,,,37.8329869,-92.96315
426,Missouri,2018-19,Locust Grove,Edina,55.6,,,,,39.7780916,-92.3121277
427,Missouri,2018-19,The Summit Preparatory School Of Sw Missouri,Springfield,54.8,,,,,37.1520637,-93.292992
428,Missouri,2018-19,The Daniel Academy,Kansas City,53.6,,,,,38.93699,-94.594531
429,Missouri,2018-19,The Waldorf School Of St. Louis,St Louis,53.4,,,,,38.605782,-90.356244
430,Missouri,2018-19,Melton Prairie,Tunas,52.9,,,,,37.6277221,-93.1016964
431,Missouri,2018-19,Liberty Faith Christian Academy,Norwood,50,,,,,37.1144729,-92.4154258
432,Missouri,2018-19,Lilac Hill,Barnett,48,,,,,38.3771017,-92.6767827
433,Missouri,2018-19,Cornerstone Christian Academy,Saint Clair,46.4,,,,,38.336065,-90.968981
434,Missouri,2018-19,Hopewell,Barnett,45.2,,,,,38.4338416,-92.8569173
435,Missouri,2018-19,Gorin Mennonite School - Rainbow,Gorin,42.3,,,,,40.3602307,-92.0208407
436,Missouri,2018-19,Hazel Dell,Fortuna,38.5,,,,,38.5355805,-92.7174141
437,Missouri,2018-19,St Lawrence,Nett,36.8,,,,,36.924081,-93.9206421
438,Missouri,2018-19,Principia,St Louis,34.7,,,,,38.626292,-90.468077
439,Missouri,2018-19,Meadow Lane,Windsor,30.4,,,,,38.9383106,-94.3635316
