index,state,year,name,type,city,county,enroll,mmr,overal,xmed,xper,xrel,lat,lng
3363,New York,2017-18,Murray Avenue,Public,Larchmont,Westchester,,83.2,82.5,0.13,,0.66,40.943154,-73.76234
3364,New York,2017-18,Central Baptist Christian,Private,Yorkshire,Cattaraugus,,83,76.3,0,,21.48,42.521501,-78.473949
3365,New York,2017-18,Congregation Darkei Avos Sanz Of Bp,Private,Brooklyn,Kings,,82.9,82.9,0,,14.29,40.6370714,-73.9937747
3366,New York,2017-18,Yeshiva Oholei Shem Dnitra,Private,Spring Valley,Rockland,,82.9,70.7,0,,17.07,41.11233,-74.045641
3367,New York,2017-18,Be'Er Miriam,Private,Brooklyn,Kings,,82.7,77.6,0,,16.33,40.7050987,-73.9619642
3368,New York,2017-18,Cornerstone Christian Academy,Private,Brockport,Monroe,,82.7,82.7,0,,17.33,43.21429,-77.941851
3369,New York,2017-18,Crescent Academy,Private,Johnson City,Broome,,82.7,82.7,0,,17.31,42.11201,-75.949403
3370,New York,2017-18,Southgate,Public,Loudonville,Albany,,82.7,82,0.49,,1.22,42.721063,-73.775823
3371,New York,2017-18,New Dorp Christian Academy,Private,Staten Island,Richmond,,82.5,82.5,2.26,,15.25,40.57158,-74.114851
3372,New York,2017-18,Beikvei Hatzoin,Private,Brooklyn,Kings,,82.4,82.4,0,,17.59,40.7070087,-73.9681724
3373,New York,2017-18,Bobover Yeshiva Of Monsey,Private,Monsey,Rockland,,82.2,69.3,0,,8.71,41.1105483,-74.0776665
3374,New York,2017-18,Clearview,Private,Mayville,Chautauqua,,81.8,45.5,0,,9.09,42.2579048,-79.5145368
3375,New York,2017-18,Ulysses Byas,Public,Roosevelt,Nassau,,81.8,80.2,0,,0,40.6744963,-73.5798327
3376,New York,2017-18,Christian Academy Of Western Ny,Private,Lockport,Niagara,,81.6,80.6,0,,18.37,43.044488,-78.8790042
3377,New York,2017-18,Yeshiva Avir Yakov-Girls & Boys,Private,Spring Valley,Rockland,,81.6,67.1,0,,0.08,41.1419309,-74.0344653
3378,New York,2017-18,Good Shepherd,Private,Kingston,Ulster,,81.5,72.2,0,,22.22,41.9287803,-73.9904067
3379,New York,2017-18,Bnos Derech Yisroel Of Monsey,Private,Spring Valley,Rockland,,81.4,53.2,0,,3.04,41.157307,-74.033412
3380,New York,2017-18,Developmental Disabilities Institute-Smithtown,Private,Smithtown,Suffolk,,81.3,81.3,6.25,,12.5,40.850778,-73.236295
3381,New York,2017-18,Yeshiva Shaar Ephraim,Private,Monsey,Rockland,,81.3,49.3,0,,9.33,41.1173069,-74.061455
3382,New York,2017-18,Mandala,Private,East Aurora,Erie,,81,81,0,,19.05,42.768102,-78.607432
3383,New York,2017-18,Hope Christian Academy,Private,Painted Post,Steuben,,80.8,78.8,0,,9.62,42.15683,-77.081381
3384,New York,2017-18,The Elija,Private,Levittown,Nassau,,80.6,80.6,3.23,,6.45,40.736947,-73.51773
3385,New York,2017-18,Cheder Be'Er Yeshaya,Private,Suffern,Rockland,,80.5,63.6,0,,2.6,41.111463,-74.129087
3386,New York,2017-18,New Roots Charter,Private,Ithaca,Tompkins,,80.5,79.9,0.67,,18.12,42.440121,-76.499433
3387,New York,2017-18,Bnei Yakov Yosef,Private,Spring Valley,Rockland,,80.4,42.9,1.89,,3.47,41.1190397,-74.0477898
3388,New York,2017-18,Rudolf Steiner,Private,New York,New York,,80.2,55.1,0.71,,15.19,40.7768885,-73.9627882
3389,New York,2017-18,Pathfinder Village,Private,Edmeston,Otsego,,80,60,10,,20,42.702346,-75.207297
3390,New York,2017-18,Peachtown Elementary,Private,Aurora,Cayuga,,80,80,0,,20,42.74656,-76.698941
3391,New York,2017-18,Riverrun Community Montessori,Private,Schenectady,Schenectady,,80,60,5.71,,25.71,42.7951846,-73.8841107
3392,New York,2017-18,Victory Christian Academy,Private,Fort Plain,Montgomery,,80,80,0,,20,42.9584,-74.741291
3393,New York,2017-18,Wimpfheimer Nursery,Private,Poughkeepsie,Dutchess,,80,80,0,,20,41.688921,-73.890803
