index,state,year,name,county,enroll,mmr,xmed,xper,xrel,lat,lng
117,Maine,2018-19,Martel Elementary,Androscoggin,33,96.97,0,3.03,0,44.3271418,-70.5694896
118,Maine,2018-19,Rsu #50 - Southern Aroostook Community,Aroostook,33,96.97,0,3.03,0,44.9768192,-69.5483018
119,Maine,2018-19,Thomaston Grammar,Knox,33,96.97,0,6.06,0,44.9414299,-67.2183107
120,Maine,2018-19,Wells Elementary,York,97,96.91,0,4.12,1.03,43.3618578,-70.4696502
121,Maine,2018-19,Meroby Elementary School/Mountain Valley Middle,Oxford,64,96.88,0,6.25,0,44.4036058,-70.7842095
122,Maine,2018-19,Pine Street Elementary,Aroostook,96,96.88,0,0,0,45.1937318,-69.2269964
123,Maine,2018-19,Edna Libby Elementary,Cumberland,62,96.77,0,4.84,0,43.6819844,-70.2930048
124,Maine,2018-19,Mabel I Wilson,Cumberland,155,96.77,0.65,2.58,0,43.9021313,-69.5041529
125,Maine,2018-19,Bowdoin Central Schooll,Sagadahoc,30,96.67,3.33,3.33,0,44.1912416,-70.1707037
126,Maine,2018-19,Helena Dyer Elementary,Cumberland,30,96.67,0,0,0,44.2920837,-69.8031728
127,Maine,2018-19,Rsu #29 Houlton Elementary,Aroostook,119,96.64,0.84,2.52,0,44.7958846,-69.8931247
128,Maine,2018-19,Fairview Elementary,Androscoggin,57,96.49,0,3.51,0,44.9564891,-70.1573786
129,Maine,2018-19,Guy E Rowe Elementary,Oxford,57,96.49,0,1.75,0,44.2119744,-70.5352987
130,Maine,2018-19,Aroostook County Totals,Aroostook,618,96.44,0.16,3.07,0.32,44.101642,-70.234411
131,Maine,2018-19,Clinton Elementary,Kennebec,28,96.43,0,3.57,0,43.671422,-70.253651
132,Maine,2018-19,Fairfield Primary,Somerset,84,96.43,0,1.19,0,44.5943026,-70.2282465
133,Maine,2018-19,Madawaska Elementary,Aroostook,28,96.43,0,3.57,0,44.1280026,-69.7455995
134,Maine,2018-19,North Berwick Elementary,York,55,96.36,0,3.64,0,45.3770236,-68.4989713
135,Maine,2018-19,Pond Cove Elementary,Cumberland,110,96.36,0.91,2.73,0,44.0848875,-69.8069562
136,Maine,2018-19,Young,York,82,96.34,0,3.66,0,43.5117516,-70.456129
137,Maine,2018-19,Cape Cod Hill,Franklin,27,96.3,0,7.41,0,46.5148114,-67.8616946
138,Maine,2018-19,Leeds Central,Androscoggin,27,96.3,0,3.7,0,44.0211565,-69.2524737
139,Maine,2018-19,Washington County Totals,Washington,266,96.24,0,3.01,0.38,43.7288212,-70.7093668
140,Maine,2018-19,Ash Point Community,Knox,26,96.15,0,3.85,0,44.1084933,-70.1591298
141,Maine,2018-19,Horace Mitchell Primary,York,78,96.15,1.28,1.28,1.28,44.1320185,-69.9658838
142,Maine,2018-19,Suzanne Smith Elementary,Penobscot,26,96.15,0,3.85,0,44.6537654,-67.5835703
143,Maine,2018-19,Old Town Elementary,Penobscot,76,96.05,0,5.26,0,44.8112649,-68.7571061
144,Maine,2018-19,Teague Park,Aroostook,73,95.89,0,5.48,0,44.5527922,-67.6185333
145,Maine,2018-19,Windham Primary,Cumberland,194,95.88,0.52,4.64,0,43.4455363,-70.5379174
146,Maine,2018-19,Alfred Elementary,York,24,95.83,0,4.17,0,44.0978877,-70.1920911
147,Maine,2018-19,Sabattus Primary,Androscoggin,71,95.77,0,4.23,0,44.1218041,-70.1176438
148,Maine,2018-19,Vassalboro Community,Kennebec,47,95.74,0,4.26,0,44.9849315,-67.6776835
149,Maine,2018-19,W.G.Mallett,Franklin,94,95.74,0,5.32,1.06,43.2334304,-70.8097308
150,Maine,2018-19,Dike-Newell,Sagadahoc,70,95.71,2.86,4.29,0,43.983543,-70.2891601
151,Maine,2018-19,Carl J Lamb Elementary,York,93,95.7,1.08,4.3,0,46.6278748,-68.393746
152,Maine,2018-19,Downeast Elementary,Penobscot,46,95.65,0,8.7,0,43.6707721,-70.3558472
153,Maine,2018-19,Shapleigh Memorial,York,23,95.65,0,4.35,0,44.2945515,-69.1105043
154,Maine,2018-19,Winthrop Public Schools,Kennebec,67,95.52,0,1.49,0,43.2341163,-70.8077777
155,Maine,2018-19,Mill Pond Elementary,Aroostook,44,95.45,0,4.55,0,44.5235546,-70.4537712
156,Maine,2018-19,William H. Rowe,Cumberland,108,95.37,0,6.48,0,43.4233598,-70.7764441
157,Maine,2018-19,Morse Street,Cumberland,86,95.35,0,4.65,0,44.5527086,-70.5526424
158,Maine,2018-19,Piscataquis Community Elementary,Piscataquis,43,95.35,2.33,0,0,45.7049857,-69.3375071
159,Maine,2018-19,Village Elementary,York,107,95.33,0,1.87,0,43.4709784,-70.7222578
160,Maine,2018-19,Amanda C. Rowe Elementary,Cumberland,63,95.24,0,3.17,1.59,44.1878626,-70.1482565
161,Maine,2018-19,Rsu 25,Hancock,84,95.24,1.19,3.57,0,44.7802701,-69.3815763
162,Maine,2018-19,Veazie Community,Penobscot,21,95.24,0,0,0,43.5080094,-70.8979098
163,Maine,2018-19,Mill Stream Elementary,Somerset,41,95.12,0,4.88,0,44.2119744,-70.5351995
164,Maine,2018-19,Molly Ockett,Oxford,41,95.12,0,4.88,0,44.0216703,-70.966507
165,Maine,2018-19,Bristol Consolidated,Lincoln,20,95,0,0,0,47.278234,-68.4271144
166,Maine,2018-19,Harpswell Community,Cumberland,20,95,0,5,0,44.5483584,-69.7226225
167,Maine,2018-19,James H. Bean,Kennebec,40,95,0,2.5,0,44.3124671,-69.7863834
168,Maine,2018-19,Msad #24/Rsu 88,Aroostook,20,95,0,5,0,44.8825585,-68.6758864
169,Maine,2018-19,Msad #42,Aroostook,20,95,0,0,5,44.835292,-68.8215671
