index,state,year,name,city,enroll,mmr,lat,lng
365,Arkansas,2018-19,Blytheville Elementary,Blytheville,612,76.14379,35.9369315,-89.8990266
366,Arkansas,2018-19,Oakbrooke Elementary,Sherwood,542,75.83026,34.8352603,-92.2082573
367,Arkansas,2018-19,Atkins Elementary,Atkins,455,75.82418,35.2458911,-92.9441762
368,Arkansas,2018-19,Valley Springs Elem.,Valley Springs,404,75.74257,36.157745,-92.9935783
369,Arkansas,2018-19,Mammoth Spring Elem.,Mammoth Spring,336,75.59524,36.4909557,-91.5401887
370,Arkansas,2018-19,Coleman Elementary,Pine Bluff,732,75.54645,34.2161319,-92.0540744
371,Arkansas,2018-19,Bayou Meto Elementary,Jacksonville,613,75.53018,34.9509628,-92.1571531
372,Arkansas,2018-19,Noble/Allbritton Elementary Sc,Hamburg,884,75.45249,33.2256835,-91.7931419
373,Arkansas,2018-19,Hackett Elementary,Hackett,509,75.44205,35.1869897,-94.4096048
374,Arkansas,2018-19,Norphlet Elementary,Norphlet,235,75.31915,33.3095284,-92.6614589
375,Arkansas,2018-19,Kingston Elementary,Kingston,158,75.31645,34.9428126,-91.9804689
376,Arkansas,2018-19,Sparkman Elementary,Sparkman,93,75.26882,33.9153823,-92.8537753
377,Arkansas,2018-19,Malvern Elementary,Malvern,1051,75.26166,34.3750842,-92.8332727
378,Arkansas,2018-19,Gillett Elementary,Dewitt,97,75.25773,34.1141982,-91.3832233
379,Arkansas,2018-19,Jasper Elementary,Jasper,270,75.18519,36.0050684,-93.1899639
380,Arkansas,2018-19,Walnut Ridge Elementary,Walnut Ridge,649,75.03852,36.0623854,-90.9572707
381,Arkansas,2018-19,Sherwood Elementary,Sherwood,419,74.94034,34.8161745,-92.2188264
382,Arkansas,2018-19,Clinton Elementary,Sherwood,758,74.93404,34.8238816,-92.203032
383,Arkansas,2018-19,Amboy Elementary,North Little Rock,618,74.91909,34.8083957,-92.2920842
384,Arkansas,2018-19,Mountain Home Kindergarten,Mountain Home,362,74.86188,36.3243402,-92.3773076
385,Arkansas,2018-19,Carlisle Elementary,Carlisle,448,74.77679,34.7795149,-91.7328599
386,Arkansas,2018-19,Murrell Taylor Elementary,Jacksonville,641,74.72699,34.8550609,-92.087134
387,Arkansas,2018-19,Cave City Elementary,Cave City,686,74.63557,35.9524416,-91.5497482
388,Arkansas,2018-19,Riverside West Elem.,Lake City,331,74.62236,35.81901,-90.4525785
389,Arkansas,2018-19,St. Paul Elementary,Saint Paul,156,74.35898,35.8228252,-93.7648612
390,Arkansas,2018-19,Stewart Elementary,Forrest City,648,74.07407,35.011368,-90.7987316
391,Arkansas,2018-19,Matthews Elementary,Pine Bluff,640,74.0625,34.2403243,-92.048859
392,Arkansas,2018-19,Marshall Elementary,Marshall,343,74.05248,35.9064319,-92.6336362
393,Arkansas,2018-19,Union Elementary,Texarkana,368,73.91304,33.4049161,-94.0328271
394,Arkansas,2018-19,Warren Dupree Elementary,Jacksonville,483,73.91304,34.8825788,-92.1158698
395,Arkansas,2018-19,Stephens Elementary,Little Rock,652,73.61963,34.7353009,-92.3146689
396,Arkansas,2018-19,Joe T. Robinson Elem.,Little Rock,303,73.59736,34.8168458,-92.5066597
397,Arkansas,2018-19,Gurdon Primary,Gurdon,355,73.52113,33.920033,-93.1422346
398,Arkansas,2018-19,Lafayette County Elementary,Lewisville,404,73.51485,33.3626413,-93.5801633
399,Arkansas,2018-19,Pinewood Elementary,Jacksonville,471,73.46072,34.8848981,-92.0928984
400,Arkansas,2018-19,Mt. Vernon/Enola Elem.,Enola,346,73.4104,35.1960517,-92.1999437
401,Arkansas,2018-19,Augusta Elementary,Augusta,281,73.30961,35.2842351,-91.3550094
402,Arkansas,2018-19,Cato Elementary,North Little Rock,396,73.23232,34.8830957,-92.2198201
403,Arkansas,2018-19,Paris Elementary,Paris,493,73.22515,35.2949734,-93.7186005
404,Arkansas,2018-19,Monticello Elementary,Monticello,584,72.94521,33.6069621,-91.8139025
405,Arkansas,2018-19,Baldwin Elementary,Paragould,325,72.92308,36.0470833,-90.4939663
406,Arkansas,2018-19,Maynard Elementary,Maynard,351,72.64957,36.4198641,-90.9005936
407,Arkansas,2018-19,Hoxie Elementary,Hoxie,581,72.63339,36.0514087,-90.9814708
408,Arkansas,2018-19,Fairview Elementary,Texarkana,394,72.58883,33.4390964,-94.0362686
409,Arkansas,2018-19,Bryant Elementary,Bryant,1049,72.54528,34.6051613,-92.4972742
410,Arkansas,2018-19,Eureka Springs Elem.,Eureka Springs,326,72.39264,36.3817045,-93.7323472
411,Arkansas,2018-19,Mt. Judea K-12,Mt. Judea,184,72.28261,35.9213474,-93.0593806
412,Arkansas,2018-19,Meadowcliff Elementary,Little Rock,360,72.22222,34.6933282,-92.3507308
413,Arkansas,2018-19,Cutter-Morning Star Elem. Sch.,Hot Springs,450,72,34.5035993,-92.9895781
414,Arkansas,2018-19,Lake Hamilton Primary,Pearcy,870,71.95402,34.4425616,-93.216656
415,Arkansas,2018-19,Elmdale Elementary,Springdale,848,71.93396,36.1908951,-94.1479339
416,Arkansas,2018-19,Nemo Vista Elementary,Center Ridge,315,71.74603,35.369588,-92.5622392
417,Arkansas,2018-19,Broadmoor Elementary,Pine Bluff,516,71.70542,34.2183986,-91.9829747
418,Arkansas,2018-19,Judsonia Elementary,Judsonia,447,71.58837,35.2769229,-91.6389638
419,Arkansas,2018-19,Fouke Elementary,Fouke,693,71.57287,33.2642702,-93.8803966
420,Arkansas,2018-19,Crawford Elementary,Russellville,484,71.48761,35.2893465,-93.1216782
421,Arkansas,2018-19,Bergman Elementary,Bergman,597,71.35679,36.3143527,-93.017083
422,Arkansas,2018-19,Central Elementary,Dumas,358,71.22905,33.8884223,-91.4914458
423,Arkansas,2018-19,Jacksonville Lighthouse Elementary,Jacksonville,528,71.21212,34.8687927,-92.1085985
424,Arkansas,2018-19,Brookland Elementary,Brookland,925,71.02703,35.9120019,-90.5848284
425,Arkansas,2018-19,Deer K-12,Deer,293,70.98976,35.8258079,-93.2080206
426,Arkansas,2018-19,Smackover Elementary,Smackover,442,70.81448,33.365143,-92.7290033
427,Arkansas,2018-19,Oak Grove Elementary,North Little Rock,291,70.79038,34.8411977,-92.3348066
428,Arkansas,2018-19,Baseline Elementary,Little Rock,506,70.75099,34.6674124,-92.3194619
429,Arkansas,2018-19,Park Elementary,Corning,258,70.54263,36.4090956,-90.5927423
430,Arkansas,2018-19,Clarendon Elementary,Clarendon,352,70.45454,34.6915614,-91.3015053
431,Arkansas,2018-19,Earle Elementary,Earle,358,70.39106,35.2719808,-90.4692914
432,Arkansas,2018-19,Morrilton Primary,Morrilton,516,70.34883,35.1477283,-92.7327112
433,Arkansas,2018-19,Lonoke Elementary,Lonoke,435,70.34483,34.7771772,-91.9091428
434,Arkansas,2018-19,County Line Elementary,Branch,327,70.33639,35.3078324,-93.9189401
435,Arkansas,2018-19,Bates Elementary,Little Rock,582,69.93127,34.6197483,-92.2662239
436,Arkansas,2018-19,Bruno-Pyatt K-12,Everton,269,69.88848,36.1808937,-92.8497887
437,Arkansas,2018-19,Drew Central Elem.,Monticello,581,69.87952,33.5922222,-91.8084866
438,Arkansas,2018-19,Rison Elementary,Rison,381,69.5538,33.9544386,-92.1869397
439,Arkansas,2018-19,Decatur Northside Elementary,Decatur,327,69.41896,36.3529025,-94.465493
440,Arkansas,2018-19,Vilonia Elementary,Vilonia,683,69.39971,35.081479,-92.1941816
441,Arkansas,2018-19,Weaver Elementary,West Memphis,441,69.161,35.1542178,-90.1691418
442,Arkansas,2018-19,Rector Elementary,Rector,431,69.14153,36.2632607,-90.3000557
443,Arkansas,2018-19,Pine Bluff Lighthouse Elementary,Pine Bluff,333,69.06907,34.2284128,-92.0095992
444,Arkansas,2018-19,Trumann Elementary,Trumann,808,69.05941,35.6750213,-90.5265735
445,Arkansas,2018-19,Boone Park Elementary,North Little Rock,521,68.90595,34.7675866,-92.2877007
446,Arkansas,2018-19,Seventh Street Elem.,North Little Rock,528,68.75,34.758803,-92.254255
447,Arkansas,2018-19,Tuckerman Elementary,Tuckerman,540,68.51852,35.7356256,-91.2021537
448,Arkansas,2018-19,Izard Co. Cons. Elem.,Brockwell,247,68.42105,36.1564941,-91.8401644
449,Arkansas,2018-19,College Station Elem.,Little Rock,183,68.30601,34.7072178,-92.2222541
450,Arkansas,2018-19,Landmark Elementary,Little Rock,361,67.86703,34.600695,-92.324065
451,Arkansas,2018-19,Fairview Elementary,Fort Smith,808,67.82178,35.3526307,-94.4102653
452,Arkansas,2018-19,Hillcrest Elementary,Lynn,326,67.79141,35.9647845,-91.3231241
453,Arkansas,2018-19,Omaha Elementary,Omaha,306,67.64706,36.4483609,-93.1961531
454,Arkansas,2018-19,Flippin Elementary,Flippin,486,67.48971,36.2796671,-92.5978018
455,Arkansas,2018-19,Marmaduke Elementary,Marmaduke,532,67.29323,36.193337,-90.3945367
456,Arkansas,2018-19,Lead Hill Elementary,Lead Hill,257,66.53696,36.4225656,-92.9175955
457,Arkansas,2018-19,West Fork Elementary,West Fork,484,66.32231,35.9248916,-94.1931231
458,Arkansas,2018-19,College Hill Elementary,Texarkana,693,66.23377,33.4180284,-94.0168707
459,Arkansas,2018-19,Midland Elementary,Floral,390,66.15385,35.5883154,-91.7589443
460,Arkansas,2018-19,Marked Tree Elementary,Marked Tree,312,66.02564,35.5241351,-90.417013
461,Arkansas,2018-19,Lincoln Elementary,Lincoln,464,65.51724,35.9556707,-94.4181285
462,Arkansas,2018-19,Western Yell Co. Elem.,Belleville,253,65.21739,35.0942514,-93.4457328
463,Arkansas,2018-19,Magazine Elementary,Magazine,410,65.12195,35.1502356,-93.8014489
464,Arkansas,2018-19,Two Rivers Elementary,Ola,460,64.56522,35.0108421,-93.272928
465,Arkansas,2018-19,Oark Elementary,Oark,137,64.23358,35.6884581,-93.577997
466,Arkansas,2018-19,Estem Elementary,Little Rock,1121,64.04995,34.7426369,-92.2580912
467,Arkansas,2018-19,Mountain Pine Elem.,Mountain Pine,417,64.02878,34.5765082,-93.1770431
468,Arkansas,2018-19,Paragould Primary,Paragould,833,63.5054,36.0692037,-90.5060952
469,Arkansas,2018-19,Waldron Elementary,Waldron,849,63.48646,34.9019875,-94.1123367
470,Arkansas,2018-19,Guy-Perkins Elementary,Guy,280,63.21428,35.3240635,-92.3250547
471,Arkansas,2018-19,Marvin Primary,Mulberry,282,60.99291,35.5153623,-94.0522769
472,Arkansas,2018-19,Southside Elementary,Batesville,999,60.06006,35.6858418,-91.6208804
473,Arkansas,2018-19,Harris Elementary,North Little Rock,301,59.80067,34.794429,-92.196704
474,Arkansas,2018-19,Eagle Mountain Magnet Elementary,Batesville,943,59.70308,35.7593253,-91.6096265
475,Arkansas,2018-19,Kingsland Elementary,Kingsland,121,58.67769,33.8621735,-92.300774
476,Arkansas,2018-19,Southwood Elementary,Pine Bluff,450,54,34.1863984,-92.0294694
477,Arkansas,2018-19,Ark Virtual Academy Elementary,Little Rock,1328,53.91566,34.7501945,-92.2872614
478,Arkansas,2018-19,North Elementary,Osceola,228,50.43859,35.7061029,-89.9896681
479,Arkansas,2018-19,Central Elementary,Forrest City,1057,46.45222,35.0291794,-90.8012026
480,Arkansas,2018-19,C.B. Partee Elementary,Brinkley,437,38.2151,34.8767799,-91.1982232
481,Arkansas,2018-19,Ivy Primary Academy,Little Rock,302,17.21854,34.7296302,-92.2947609
