index,state,year,name,type,city,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
3267,California,2018-19,Suisun Elementary,Public,Suisun City,Solano,98,98,96,0,,,38.24868,-122.0119
3268,California,2018-19,Sulphur Springs Community Elementary,Public,Canyon Country,Los Angeles,75,98,97,0,,,34.419192,-118.426489
3269,California,2018-19,Summerdale Elementary,Public,San Jose,Santa Clara,60,98,98,2,,,37.390176,-121.851067
3270,California,2018-19,Summerville Elementary,Public,Tuolumne,Tuolumne,58,98,98,2,,,37.956755,-120.235819
3271,California,2018-19,Summerwind Elementary,Public,Palmdale,Los Angeles,118,98,97,0,,,34.597103,-118.157253
3272,California,2018-19,Sun Terrace Elementary,Public,Concord,Contra Costa,80,98,98,0,,,38.000659,-122.029621
3273,California,2018-19,Sun Valley Elementary,Public,San Rafael,Marin,95,98,98,2,,,37.985098,-122.55119
3274,California,2018-19,Sundance Elementary,Public,Beaumont,Riverside,131,98,96,0,,,33.933173,-116.953915
3275,California,2018-19,Sundance Elementary,Public,San Diego,San Diego,75,98,98,2,,,32.960753,-117.134598
3276,California,2018-19,Sunkist Elementary,Public,La Puente,Los Angeles,97,98,98,2,,,34.056501,-117.975296
3277,California,2018-19,Sunkist Elementary,Public,Anaheim,Orange,93,98,98,2,,,33.845314,-117.879301
3278,California,2018-19,Sunkist Elementary,Public,Port Hueneme,Ventura,75,98,98,2,,,34.169974,-119.193898
3279,California,2018-19,Sunnybrae Elementary,Public,San Mateo,San Mateo,77,98,98,2,,,37.561742,-122.313007
3280,California,2018-19,Sunnydale Elementary,Public,Lancaster,Los Angeles,91,98,98,2,,,34.682943,-118.153219
3281,California,2018-19,Sunnymeadows Elementary,Public,Moreno Valley,Riverside,121,98,97,0,,,33.932293,-117.256966
3282,California,2018-19,Sunnyside Elementary,Public,Garden Grove,Orange,67,98,98,2,,,33.767976,-117.956295
3283,California,2018-19,Sunnyside Elementary,Public,Bonita,San Diego,82,98,98,2,,,32.67359,-117.01424
3284,California,2018-19,Sunnyside Elementary,Public,San Francisco,San Francisco,63,98,95,0,,,37.730258,-122.448612
3285,California,2018-19,Sunnyside Elementary,Public,Strathmore,Tulare,63,98,98,2,,,36.146023,-119.08871
3286,California,2018-19,Sunnyslope Elementary,Public,Jurupa Valley,Riverside,139,98,96,1,,,34.01599,-117.43982
3287,California,2018-19,Sunset Elementary,Public,Fresno,Fresno,87,98,98,2,,,36.724218,-119.830166
3288,California,2018-19,Sunset Elementary,Public,San Ysidro,San Diego,84,98,98,2,,,32.557562,-117.050211
3289,California,2018-19,Sunset Elementary,Public,San Francisco,San Francisco,64,98,98,2,,,37.75068,-122.499629
3290,California,2018-19,Sunset Hills Elementary,Public,San Diego,San Diego,68,98,98,2,,,32.96832,-117.126701
3291,California,2018-19,Sunset Ranch Elementary,Public,Rocklin,Placer,76,98,96,1,,,38.828479,-121.274654
3292,California,2018-19,Superior Street Elementary,Public,Chatsworth,Los Angeles,88,98,98,2,,,34.247639,-118.574997
3293,California,2018-19,Susan B. Anthony Elementary,Public,Corona,Riverside,111,98,97,1,,,33.843174,-117.548732
3294,California,2018-19,Susan B. Anthony Elementary,Public,Fresno,Fresno,86,98,98,2,,,36.756065,-119.791914
3295,California,2018-19,Susan B. Anthony Elementary,Public,Daly City,San Mateo,91,98,98,2,,,37.689341,-122.457918
3296,California,2018-19,Susan La Vorgna Elementary,Public,Winchester,Riverside,124,98,98,2,,,33.604787,-117.104154
3297,California,2018-19,Sutherland Elementary,Public,Glendora,Los Angeles,103,98,98,0,,,34.1253,-117.81934
3298,California,2018-19,Sutter Elementary,Public,Santa Clara,Santa Clara,97,98,97,1,,,37.333975,-121.986573
3299,California,2018-19,Sutters Mill,Public,Placerville,El Dorado,89,98,93,2,,,38.769433,-120.926947
3300,California,2018-19,Sutterville Elementary,Public,Sacramento,Sacramento,69,98,98,2,,,38.52889,-121.500785
3301,California,2018-19,Sweetwater Springs Elementary,Public,Spring Valley,San Diego,67,98,98,2,,,32.730826,-116.974592
3302,California,2018-19,Sybil N. Crookham Elementary,Public,Winton,Merced,94,98,98,2,,,37.389962,-120.616768
3303,California,2018-19,Sycamore Canyon Elementary,Public,Santee,San Diego,80,98,98,2,,,32.862941,-117.005144
3304,California,2018-19,Sycamore Elementary,Public,Claremont,Los Angeles,52,98,98,2,,,34.101879,-117.717631
3305,California,2018-19,Sycamore Elementary,Public,Simi Valley,Ventura,77,98,98,2,,,34.276358,-118.739207
3306,California,2018-19,Sycamore Hills Elementary,Public,Fontana,San Bernardino,92,98,98,2,,,34.053013,-117.426401
3307,California,2018-19,Sycamore Ridge,Public,San Diego,San Diego,64,98,98,2,,,32.954432,-117.198844
3308,California,2018-19,Sylvia Cassell Elementary,Public,San Jose,Santa Clara,70,98,98,2,,,37.344746,-121.829804
3309,California,2018-19,Synergy Charter Academy,Public,Los Angeles,Los Angeles,52,98,98,2,,,34.01261,-118.257952
3310,California,2018-19,Taawila Elementary,Public,Menifee,Riverside,61,98,98,2,,,33.6795825,-117.2154148
3311,California,2018-19,Tabernacle Christian Inc.,Private,Concord,Contra Costa,82,98,98,2,,,#N/A,#N/A
3312,California,2018-19,Taft Elementary,Public,Santa Ana,Orange,84,98,98,2,,,33.696198,-117.875654
3313,California,2018-19,Taft Primary,Public,Taft,Kern,50,98,98,2,,,35.142742,-119.453971
3314,California,2018-19,Tamarack Elementary,Public,Avenal,Kings,91,98,98,2,,,35.997845,-120.125279
3315,California,2018-19,Taper Avenue Elementary,Public,San Pedro,Los Angeles,146,98,98,0,,,33.762181,-118.298347
3316,California,2018-19,Tarbut V Torah Community Day,Private,Irvine,Orange,62,98,98,2,,,33.6325668,-117.8296211
3317,California,2018-19,Tassajara Hills Elementary,Public,Danville,Contra Costa,62,98,98,2,,,37.800792,-121.879265
3318,California,2018-19,Taylor Edward R. Elementary,Public,San Francisco,San Francisco,113,98,98,0,,,37.727545,-122.407116
3319,California,2018-19,Taylor Leadership Academy,Public,Stockton,San Joaquin,70,98,97,0,,,37.923831,-121.301566
3320,California,2018-19,Taylor Mountain Elementary,Public,Santa Rosa,Sonoma,50,98,98,2,,,38.40118,-122.709271
3321,California,2018-19,Telesis Academy Of Science And Math,Public,West Covina,Los Angeles,71,98,98,2,,,34.0061013,-117.8845968
3322,California,2018-19,Temecula Valley Charter,Public,Winchester,Riverside,70,98,97,0,,,33.604677,-117.086103
3323,California,2018-19,Temple Academy,Public,La Puente,Los Angeles,59,98,98,2,,,34.038101,-117.963062
3324,California,2018-19,Tenderloin Community,Public,San Francisco,San Francisco,55,98,98,2,,,37.781882,-122.420018
3325,California,2018-19,Teresa Hughes Elementary,Public,Cudahy,Los Angeles,110,98,98,0,,,33.965862,-118.193069
3326,California,2018-19,Terrace Elementary,Public,Riverside,Riverside,108,98,94,1,,,33.950993,-117.46793
3327,California,2018-19,Terrace View Elementary,Public,Grand Terrace,San Bernardino,137,98,96,1,,,34.042014,-117.308683
3328,California,2018-19,Terrell Elementary,Public,San Jose,Santa Clara,86,98,98,2,,,37.270856,-121.869465
3329,California,2018-19,Tesoro Del Valle Elementary,Public,Valencia,Los Angeles,85,98,98,2,,,34.469085,-118.558196
3330,California,2018-19,The Language Academy Of Sacramento,Public,Sacramento,Sacramento,84,98,98,2,,,38.548691,-121.451176
3331,California,2018-19,The Ofarrell Charter,Public,San Diego,San Diego,95,98,98,2,,,32.702239,-117.0656776
3332,California,2018-19,The Pegasus,Private,Huntington Beach,Orange,55,98,98,2,,,33.67714,-117.946831
3333,California,2018-19,The Primary School East Palo Alto,Private,East Palo Alto,San Mateo,98,98,98,2,,,37.4610444,-122.1333525
3334,California,2018-19,The Willows Community,Private,Culver City,Los Angeles,82,98,91,1,,,34.02265,-118.380611
3335,California,2018-19,Thelma B. Bedell Elementary,Public,Santa Paula,Ventura,53,98,98,2,,,34.374535,-119.062585
3336,California,2018-19,Theodore Judah Elementary,Public,Sacramento,Sacramento,95,98,98,2,,,38.577409,-121.451456
3337,California,2018-19,Theodore Roosevelt Elementary,Public,Burbank,Los Angeles,114,98,98,0,,,34.166388,-118.344716
3338,California,2018-19,Theodore Roosevelt Elementary,Public,Selma,Fresno,98,98,98,2,,,36.576638,-119.60813
3339,California,2018-19,Theodore Roosevelt Elementary,Public,Santa Ana,Orange,95,98,98,2,,,33.741482,-117.858791
3340,California,2018-19,Thomas A. Edison Elementary,Public,Santa Ana,Orange,98,98,98,2,,,33.720398,-117.864691
3341,California,2018-19,Thomas B. Moffitt Elementary,Public,Norwalk,Los Angeles,65,98,98,2,,,33.909119,-118.066123
3342,California,2018-19,Thomas Edison Charter Academy,Public,San Francisco,San Francisco,88,98,98,2,,,37.7545904,-122.4263672
3343,California,2018-19,Thomas Edison Elementary,Public,Glendale,Los Angeles,141,98,97,1,,,34.139975,-118.263284
3344,California,2018-19,Thomas Edison Elementary,Public,Daly City,San Mateo,64,98,98,2,,,37.676536,-122.485042
3345,California,2018-19,Thomas Jefferson Elementary,Public,Glendale,Los Angeles,79,98,96,0,,,34.170113,-118.286431
3346,California,2018-19,Thomas Jefferson Elementary,Public,Roseville,Placer,84,98,94,4,,,38.78856,-121.276404
3347,California,2018-19,Thomas Law Reed Elementary,Public,Reedley,Fresno,74,98,98,2,,,36.60925,-119.447773
3348,California,2018-19,Thomas P. Ryan Elementary,Public,San Jose,Santa Clara,56,98,96,0,,,37.35009,-121.823545
3349,California,2018-19,Thomas Paine Elementary,Public,Garden Grove,Orange,71,98,98,2,,,33.73338,-117.945523
3350,California,2018-19,Thompson Elementary,Public,Highland,San Bernardino,89,98,97,0,,,34.119735,-117.203872
3351,California,2018-19,Thousand Oaks Elementary,Public,Berkeley,Alameda,68,98,98,2,,,37.89292,-122.280626
3352,California,2018-19,Three Rings Ranch Elementary,Public,Beaumont,Riverside,122,98,96,0,,,33.936566,-116.987415
3353,California,2018-19,Thurgood Marshall Elementary,Public,Lynwood,Los Angeles,80,98,98,2,,,33.933692,-118.204537
