index,name,state,county,enroll,overall,xmed,xrel,xper,lat,lng
1437,French American of Princeton,New Jersey,Middlesex,20,95,,,,40.3578341,-74.6215225
1438,Kent Place,New Jersey,Union,20,95,,5,,40.719934,-74.364647
1439,Paterson Academy for Urban Leadership,New Jersey,Passaic,20,95,,,,40.9279955,-74.1748019
1440,Ridge Early Childhood - Arlington Ave,New Jersey,Essex,60,95,,3.3,,40.7656718,-74.1665757
1441,Wandell,New Jersey,Bergen,20,95,,5,,41.0321343,-74.0946311
1442,Yeshiva Ohr Shraga of Lakewood,New Jersey,Ocean,40,95,,2.5,,40.0799349,-74.1759988
1443,Yeshivas Ohr Hatorah,New Jersey,Ocean,100,95,,3,,40.0749547,-74.2287113
1444,Amsterdam Elementary,New Jersey,Somerset,78,94.9,1.3,2.6,,40.4807815,-74.5942452
1445,Franklin - Lyndhurst,New Jersey,Bergen,79,94.9,,5.1,,40.8112344,-74.1281886
1446,Great Meadows Central,New Jersey,Warren,59,94.9,,3.4,,40.8734319,-74.9029472
1447,Mountain Way,New Jersey,Morris,59,94.9,,5.1,,40.8349172,-74.4850002
1448,Robert D. Reynolds Elementary,New Jersey,Bergen,118,94.9,,5.1,,41.063077,-74.099522
1449,Ross St.,New Jersey,Middlesex,39,94.9,,5.1,,40.5556305,-74.2816611
1450,Wyoming,New Jersey,Essex,59,94.9,,1.7,,40.7278749,-74.2907809
1451,Bnos Esther Malka,New Jersey,Ocean,58,94.8,,5.2,,40.085823,-74.2494599
1452,Hooper Avenue Elementary,New Jersey,Ocean,115,94.8,,5.2,,39.9947636,-74.1701919
1453,Ocean City Primary,New Jersey,Cape May,77,94.8,,5.2,,39.2838632,-74.5722331
1454,Point Road Y-Kids,New Jersey,Monmouth,77,94.8,2.6,2.6,,40.3355834,-74.0302696
1455,Yeshiva Toras Menachem,New Jersey,Ocean,77,94.8,3.9,,,40.0722005,-74.1679429
1456,Calabro Elementary,New Jersey,Hudson,19,94.7,,5.3,,40.743661,-74.0320065
1457,Chapin,New Jersey,Mercer,19,94.7,5.3,,,40.3114014,-74.6933248
1458,Clifton Number 1 Elementary,New Jersey,Passaic,38,94.7,,5.3,,40.8641725,-74.1346549
1459,Ellen T. Briggs,New Jersey,Morris,95,94.7,,2.1,,40.9526168,-74.6139666
1460,Frelinghuysen Township Elementary 4,New Jersey,Warren,19,94.7,,5.3,,40.989027,-74.868601
1461,G. Harry Carson,New Jersey,Camden,38,94.7,,5.3,,39.9420209,-75.06822
1462,Joseph M Ferraina Early Childhood Learning Center,New Jersey,Monmouth,114,94.7,,2.6,,40.3171792,-73.9817351
1463,Mastery McGraw Charter Elementary,New Jersey,Camden,57,94.7,,,,39.9440195,-75.0793888
1464,Milton,New Jersey,Morris,76,94.7,,5.3,,41.026995,-74.5273723
1465,Robert Gordon Elementary,New Jersey,Union,38,94.7,,,,40.664088,-74.267138
1466,Rockaway Valley,New Jersey,Morris,38,94.7,2.6,2.6,,40.9244502,-74.4307551
1467,Saint Joseph Academy,New Jersey,Bergen,19,94.7,,5.3,,40.8749766,-74.0246074
1468,The Learning Experience at East Windsor,New Jersey,Mercer,19,94.7,,,,40.2563134,-74.5479868
1469,White Township Consolidated,New Jersey,Warren,19,94.7,,5.3,,40.836423,-75.027242
1470,Ann Blanche Smith,New Jersey,Bergen,55,94.6,,5.4,,41.0074156,-74.0665567
1471,Greenwood Elementary,New Jersey,Mercer,37,94.6,,,,40.2298848,-74.7236478
1472,Navesink Elementary,New Jersey,Monmouth,37,94.6,,5.4,,40.4000672,-74.0312964
1473,Ocean Road,New Jersey,Ocean,74,94.6,,5.4,,40.0825212,-74.0621005
1474,Riverbank Charter of Excellence,New Jersey,Burlington,37,94.6,,5.4,,40.1156116,-74.7832982
1475,Wallace and Catapult Pre-K,New Jersey,Hudson,112,94.6,,1.8,,40.7435348,-74.0383315
1476,David C. Douglass Veterans Memorial,New Jersey,Cape May,219,94.5,,2.3,,39.0094142,-74.9374089
1477,Alpha Public,New Jersey,Warren,18,94.4,,5.6,,40.664192,-75.164955
1478,Bnos Yaakov,New Jersey,Ocean,125,94.4,,2.4,,40.1103325,-74.2366866
1479,Brigantine Elementary,New Jersey,Atlantic,54,94.4,3.7,1.8,,39.411984,-74.3646077
1480,Charles H. Stillman,New Jersey,Union,54,94.4,,,,40.6155438,-74.4215104
1481,Christina Seix Academy - Welcome Center,New Jersey,Mercer,18,94.4,,5.6,,40.246186,-74.798571
1482,Eagleswood Township Elementary,New Jersey,Ocean,18,94.4,,5.6,,39.6572707,-74.290975
1483,East Amwell Township,New Jersey,Hunterdon,36,94.4,,5.6,,40.4434508,-74.8156199
1484,Good Shepherd Catholic,New Jersey,Camden,18,94.4,,,,39.9136202,-75.0660883
1485,Heights Elementary,New Jersey,Bergen,54,94.4,,5.6,,41.034252,-74.225546
1486,Helen I. Smith Elementary,New Jersey,Bergen,36,94.4,,5.6,,40.9124227,-74.0960268
1487,Hillside Elementary - Closter,New Jersey,Bergen,126,94.4,,4.8,,40.9666999,-73.9498326
1488,Home Away from Home Academy,New Jersey,Monmouth,18,94.4,,5.6,,40.393693,-74.2231802
1489,Madison Avenue Elementary,New Jersey,Essex,36,94.4,,,,40.7173725,-74.2339151
1490,Packanack Lake Elementary,New Jersey,Passaic,54,94.4,,5.6,,40.9478876,-74.2552329
1491,Richard L. Rice Elementary,New Jersey,Burlington,71,94.4,,5.6,,39.849584,-74.878467
1492,Saint Catharine,New Jersey,Monmouth,18,94.4,,5.6,,40.1435958,-74.0298423
1493,Saint Joseph the Carpenter,New Jersey,Union,18,94.4,,,,40.657662,-74.2608346
1494,Saint Michael the Archangel,New Jersey,Gloucester,18,94.4,,5.6,,39.6641173,-75.0939111
1495,Saint Peter Academy,New Jersey,Bergen,18,94.4,,5.6,,40.9268492,-74.045924
1496,Saint Teresa Regional,New Jersey,Camden,18,94.4,,,,39.8451571,-75.0700493
1497,School of Saint Elizabeth,New Jersey,Somerset,18,94.4,,,,40.7246651,-74.571628
1498,Solomon Schecter Day,New Jersey,Bergen,36,94.4,,2.8,,40.9380776,-74.0177133
1499,Strawbridge Elementary,New Jersey,Camden,36,94.4,,2.8,,39.9178226,-75.0538188
1500,The Westmont Montessori,New Jersey,Morris,18,94.4,,5.6,,40.774276,-74.640217
1501,Trinity Academy,New Jersey,Essex,18,94.4,,5.6,,40.838146,-74.272619
1502,University Heights,New Jersey,Mercer,36,94.4,,2.8,,40.2550829,-74.6708804
1503,Warren H. Wolf Elementary,New Jersey,Ocean,90,94.4,,5.6,,40.0578384,-74.1371832
1504,Cranberry Pines Elementary,New Jersey,Burlington,70,94.3,,5.7,,39.8541821,-74.8449102
1505,HC Johnson Elementary,New Jersey,Ocean,70,94.3,,5.7,,40.1489024,-74.267092
1506,Parker Elementary,New Jersey,Middlesex,88,94.3,,,,40.2090031,-74.7638579
1507,Stony Lane Elementary,New Jersey,Bergen,35,94.3,,5.7,,40.9708725,-74.088782
1508,Bayville,New Jersey,Ocean,69,94.2,,2.9,,39.9178176,-74.1586371
1509,Cedarbrook K-8 Center,New Jersey,Union,69,94.2,1.4,2.9,,40.6036951,-74.4155555
1510,Saint Leo the Great,New Jersey,Atlantic,52,94.2,,5.8,,40.3331086,-74.1171971
1511,Adelphia,New Jersey,Monmouth,102,94.1,,3.9,,40.2069183,-74.2202854
1512,H.W. Mountz,New Jersey,Monmouth,17,94.1,,5.9,,40.157427,-74.0302665
1513,JCC of Central New Jersey,New Jersey,Union,17,94.1,,5.9,,40.6315843,-74.3656203
1514,Mountain Hill,New Jersey,Monmouth,17,94.1,,,,40.3941812,-74.0603739
1515,Nachlas Bais Yaakov,New Jersey,Ocean,51,94.1,,5.9,,40.1050397,-74.2059638
1516,Renaissance One of Humanities,New Jersey,Passaic,34,94.1,,5.9,,40.9219147,-74.1423243
1517,Saint Leo's,New Jersey,Atlantic,17,94.1,,5.9,,40.8995952,-74.1180986
1518,Saint Stanislaus Kostka,New Jersey,Middlesex,17,94.1,,,,40.4663834,-74.3642469
1519,South Jersey Christian Academy,New Jersey,Camden,17,94.1,,,,39.7219455,-74.9659554
1520,The Giving Nest Preschool and Kindergarten - Bridgewater - Washington Valley Rd,New Jersey,Somerset,17,94.1,,5.9,,40.6084161,-74.509202
1521,Brookside Elementary - Westwood,New Jersey,Bergen,83,94,,4.8,,40.9829457,-74.0445143
1522,Edith M. Griebling Elementary,New Jersey,Monmouth,84,94,,3.6,,40.2092273,-74.2396616
1523,Edward T. Bowser,New Jersey,Essex,83,94,,1.2,,40.7711408,-74.210285
1524,Franklin Elementary - Union,New Jersey,Union,84,94,,3.6,,40.7060341,-74.2561409
1525,Greenbrook,New Jersey,Middlesex,67,94,,,,40.4275702,-74.5500305
1526,Robert Erskine,New Jersey,Passaic,50,94,,,,41.0932446,-74.264796
1527,Southwood Elementary,New Jersey,Middlesex,50,94,,6,,40.4064389,-74.3511074
1528,THRIVE Academy,New Jersey,Essex,117,94,,1.7,,40.7289444,-74.1921678
1529,Alpine Elementary,New Jersey,Sussex,198,93.9,,5,,41.023671,-74.6751269
1530,Forest Hill Elementary,New Jersey,Camden,49,93.9,,2,,39.9368095,-75.0988921
1531,G. Harold Antrim,New Jersey,Ocean,33,93.9,,3,,40.0957398,-74.0464568
1532,H.B. Wilson Family,New Jersey,Camden,66,93.9,,3,,39.9165971,-75.1122575
1533,Katharine D. Malone,New Jersey,Morris,33,93.9,,6.1,,40.9634763,-74.4938513
1534,Mary E. Roberts Elementary,New Jersey,Burlington,66,93.9,1.5,4.6,,39.9591481,-74.9533006
1535,Nokomis,New Jersey,Burlington,49,93.9,,6.1,,39.8531431,-74.8046662
1536,Ravine Drive Elementry,New Jersey,Monmouth,98,93.9,,6.1,,40.4221914,-74.2453725
1537,Woodrow Wilson Elementary,New Jersey,Mercer,98,93.9,,2,,40.234989,-74.743913
1538,Yeshiva Tifereth Torah,New Jersey,Ocean,49,93.9,,6.1,,40.063613,-74.2088388
1539,Brass Castle Elementary,New Jersey,Warren,48,93.8,,6.2,,40.75902,-75.0072
1540,Clifton Cheder/Bais Yaakov,New Jersey,Passaic,32,93.8,,3.1,,40.846177,-74.154481
1541,Creative Learning Center,New Jersey,Monmouth,16,93.8,,6.2,,40.3147083,-74.0615089
1542,East End,New Jersey,Somerset,81,93.8,,,,40.6312555,-74.4221514
1543,James A. McDivitt Elementary,New Jersey,Middlesex,65,93.8,,4.6,,40.4098278,-74.3017638
1544,Lawnside Public,New Jersey,Camden,32,93.8,,,,39.8639729,-75.0210462
1545,Morgan Elementary,New Jersey,Mercer,48,93.8,,,,40.2433295,-74.6803768
1546,Saint Michael - Cranford,New Jersey,Union,16,93.8,,6.2,,40.657859,-74.3049462
1547,Memorial - North Haledon,New Jersey,Passaic,79,93.7,,6.3,,40.9606608,-74.1833594
1548,Bais Faiga Gratter,New Jersey,Ocean,264,93.6,0.8,3.8,,40.0921201,-74.2085319
1549,Beverly City,New Jersey,Burlington,31,93.6,,3.2,,40.060471,-74.922902
1550,Catherine A. Dwyer Elementary,New Jersey,Morris,47,93.6,,4.3,,40.922367,-74.5443649
1551,H and M Potter,New Jersey,Ocean,93,93.6,1.1,3.2,,39.9144242,-74.1453807
1552,Midland - Paramaus,New Jersey,Bergen,31,93.6,,3.2,,40.9491208,-74.0676481
1553,Shaler Academy,New Jersey,Bergen,109,93.6,1.8,2.8,,40.8303558,-74.0048104
1554,W.C.K. Walls Elementary,New Jersey,Gloucester,31,93.6,,,,39.7292341,-75.1360738
1555,Hannah Caldwell Elementary,New Jersey,Union,77,93.5,,1.3,,40.7023058,-74.2796441
1556,Merritt Memorial,New Jersey,Bergen,46,93.5,,6.5,,40.9429157,-73.9596609
1557,Osbornville,New Jersey,Ocean,46,93.5,,2.2,,40.0446191,-74.1228471
1558,Atco Elementary,New Jersey,Camden,106,93.4,,6.6,,39.772226,-74.893624
1559,Bnos Melech,New Jersey,Ocean,121,93.4,,4.1,,40.077458,-74.240802
1560,Walter F. Robinson,New Jersey,Hudson,76,93.4,,2.6,,40.672273,-74.1169305
1561,Assumption Catholic,New Jersey,Middlesex,15,93.3,,6.7,,40.522787,-74.2732722
1562,B.R.I.C.K Peshine Academy,New Jersey,Essex,60,93.3,,1.7,,40.7119681,-74.2030616
1563,Berkeley Terrace Elementary,New Jersey,Essex,180,93.3,,1.1,,40.7311778,-74.2194917
1564,Eitz Chaim,New Jersey,Ocean,15,93.3,,6.7,,40.368984,-74.3863101
1565,Hawthorne Elementary,New Jersey,Bergen,15,93.3,,6.7,,40.877378,-74.001741
1566,McKinley Elementary,New Jersey,Essex,75,93.3,,6.7,,40.749815,-74.177802
1567,Mount Horeb Elementary,New Jersey,Somerset,30,93.3,,6.7,,40.6195486,-74.5401032
1568,Ocean County Christian Academy (Church),New Jersey,Ocean,15,93.3,,6.7,,39.9921115,-74.1974624
1569,Ridge Elementary,New Jersey,Bergen,75,93.3,1.3,4,,40.9856688,-74.1313601
1570,Saint Rose of Lima,New Jersey,Monmouth,30,93.3,,6.7,,40.2555557,-74.2739912
1571,Stuart Country Day,New Jersey,Mercer,15,93.3,,6.7,,40.367408,-74.686582
1572,Taunton Forge Elementary,New Jersey,Burlington,45,93.3,,6.7,,39.8807709,-74.8440871
1573,Timothy Christian,New Jersey,Middlesex,30,93.3,,6.7,,40.5338858,-74.4145412
1574,West Ridge Elementary,New Jersey,Bergen,30,93.3,,6.7,,41.0390952,-74.0537947
1575,Yeshiva Kol Torah,New Jersey,Ocean,15,93.3,,6.7,,40.1032479,-74.2350004
1576,Belleville 7,New Jersey,Essex,44,93.2,,4.6,,40.8012467,-74.1637547
1577,Grandview,New Jersey,Essex,74,93.2,,6.8,,40.8741188,-74.2543091
1578,Land O'Pines,New Jersey,Monmouth,88,93.2,,4.6,,40.1697874,-74.2245752
1579,Lanes Mill Elementary,New Jersey,Ocean,88,93.2,,4.6,,40.1016056,-74.1336557
1580,Fairview,New Jersey,Monmouth,58,93.1,,6.9,,40.3723646,-74.0835263
1581,Oxford Central,New Jersey,Warren,29,93.1,,3.4,,40.8022995,-74.9951196
1582,Frank R. Conwell PS3,New Jersey,Hudson,71,93,1.4,1.4,,40.7176082,-74.0509822
1583,NOOR-UL-IMAN,New Jersey,Middlesex,43,93,2.3,4.6,,40.3895756,-74.5710714
1584,Oak View,New Jersey,Essex,57,93,,7,,40.8377767,-74.1734659
1585,P.J. Hill,New Jersey,Mercer,158,93,,,,40.2254426,-74.7428482
1586,St. Elizabeth Nursery and Montessori,New Jersey,Morris,43,93,,7,,40.8673233,-74.4590258
1587,Bay Head Elementary,New Jersey,Ocean,14,92.9,,7.1,,40.0696974,-74.0503782
1588,Brunswick Acres Elementary,New Jersey,Middlesex,84,92.9,,6,,40.434359,-74.528566
1589,Central Elementary,New Jersey,Somerset,56,92.9,1.8,1.8,,40.4367893,-74.3982553
1590,Downe Township Elementary,New Jersey,Cumberland,14,92.9,,7.1,,39.2974419,-75.166126
1591,Friends Mullica Hill,New Jersey,Gloucester,14,92.9,,,,39.731654,-75.226297
1592,Hawthorne Christian Academy,New Jersey,Passaic,14,92.9,,7.1,,40.9759111,-74.1581408
1593,Island Heights Grade,New Jersey,Ocean,14,92.9,,7.1,,39.944349,-74.148171
1594,Mary Kay McMillin Early Childhood Center,New Jersey,Union,98,92.9,1,4.1,,40.6697089,-74.4362739
1595,Memorial - Emerson,New Jersey,Bergen,70,92.9,2.9,2.9,,40.981433,-74.032855
1596,Oak Ridge Heights 21,New Jersey,Middlesex,42,92.9,,2.4,,40.5984907,-74.3339144
1597,South Harrison Township Elementary,New Jersey,Gloucester,42,92.9,,7.1,,39.6897316,-75.2666569
1598,St. Elizabeth Child Care Center,New Jersey,Hudson,28,92.9,,,,40.7332518,-74.068053
1599,The Goddard - Piscataway,New Jersey,Middlesex,14,92.9,7.1,,,40.551609,-74.461877
1600,Jefferson Elementary,New Jersey,Morris,69,92.8,,1.4,,40.932255,-73.986948
1601,Washington Aveneue,New Jersey,Morris,69,92.8,,7.2,,40.736738,-74.3906839
1602,Calvin Coolidge Elementary,New Jersey,Bergen,41,92.7,,7.3,,40.9832605,-74.1552365
1603,Cleveland,New Jersey,Essex,41,92.7,,4.9,,40.731478,-74.195635
1604,James Fallon Elementary,New Jersey,Passaic,41,92.7,,7.3,,40.931337,-74.2357626
1605,Angelo L Tomaso Elementary,New Jersey,Somerset,27,92.6,,7.4,,40.6024632,-74.5239902
1606,Brielle Elementary,New Jersey,Monmouth,54,92.6,,7.4,,40.111653,-74.0605804
1607,John Marshall Elementary,New Jersey,Middlesex,135,92.6,,1.5,,40.5116547,-74.4184871
1608,Seaview Elementary,New Jersey,Atlantic,68,92.6,1.5,5.9,,39.3352431,-74.5832163
1609,Wanamassa Elementary,New Jersey,Monmouth,54,92.6,,5.6,,40.2382163,-74.0263428
1610,13th Avenue,New Jersey,Essex,67,92.5,,,,40.7419188,-74.1969198
1611,Hoboken Catholic Academy,New Jersey,Hudson,40,92.5,,7.5,,40.7461705,-74.0375096
1612,Lanoka Harbor Elementary,New Jersey,Ocean,93,92.5,,7.5,,39.8670365,-74.1853262
1613,Woodside Avenue,New Jersey,Bergen,40,92.5,,7.5,,41.025485,-74.183964
1614,Frankford Township,New Jersey,Sussex,53,92.4,,5.7,,41.1662778,-74.7454112
1615,Memorial - Paramus,New Jersey,Bergen,53,92.4,,7.6,,40.9471057,-74.0545063
1616,New Horizons Community Charter,New Jersey,Essex,79,92.4,,2.5,,40.7361129,-74.189244
1617,Redwood,New Jersey,Essex,79,92.4,,6.3,,40.8126793,-74.250916
1618,Apple Montessori - Kinnelon,New Jersey,Morris,13,92.3,7.7,,,41.0030212,-74.3677508
1619,Baytul-Iman Academy,New Jersey,Monmouth,13,92.3,,7.7,,40.4381511,-74.1413906
1620,Cornerstone,New Jersey,Union,13,92.3,,,,40.7166313,-74.3662512
1621,Crim,New Jersey,Somerset,65,92.3,,6.2,,40.613105,-74.5910546
1622,Learning Institute of Union City,New Jersey,Hudson,13,92.3,,7.7,,40.772049,-74.0267902
1623,Plaza Child Care,New Jersey,Middlesex,13,92.3,,7.7,,40.5974273,-74.3590484
1624,Sacred Heart,New Jersey,Hudson,26,92.3,,3.8,,40.706945,-74.0833039
1625,Saint Aloysius,New Jersey,Ocean,13,92.3,,,,40.1307982,-74.2715443
1626,Saint Nicholas,New Jersey,Hudson,26,92.3,3.8,,,40.7419147,-74.0510465
1627,The Goddard - West Windsor - Emmons Dr,New Jersey,Mercer,13,92.3,,7.7,,40.3116227,-74.6650825
1628,The Learning Experience - Edison,New Jersey,Middlesex,26,92.3,,7.7,,40.5110465,-74.3643572
1629,Demarest Elementary,New Jersey,Essex,76,92.1,,,,40.8247239,-74.1779867
1630,High Mountain Road,New Jersey,Bergen,25,92,4,,,40.991398,-74.2101369
1631,Jefferson Elementary - North Arlington,New Jersey,Bergen,25,92,,8,,40.7863704,-74.139744
1632,Midstreams Elementary,New Jersey,Ocean,75,92,,5.3,,40.0682295,-74.1001525
1633,Roosevelt Elementary,New Jersey,Union,50,92,,8,,40.7955105,-74.1217195
1634,Saint Cassian,New Jersey,Essex,25,92,,8,,40.8415622,-74.2043584
1635,Talmud Torah of Lakewood,New Jersey,Ocean,25,92,,8,,40.0521875,-74.1962273
1636,Yeshiva Masoras Avos,New Jersey,Ocean,50,92,,8,,40.0901489,-74.2063817
1637,Central Avenue,New Jersey,Morris,74,91.9,,5.4,,40.7614097,-74.4133684
1638,Fort Lee 2 and Early Childhood Center,New Jersey,Bergen,62,91.9,,,,40.8627319,-73.9643946
1639,Wanaque Elementary,New Jersey,Passaic,37,91.9,,5.4,,41.0549312,-74.2851449
1640,Charles J. Hudson 25,New Jersey,Union,73,91.8,,,,40.6546793,-74.1994059
1641,Columbus 8 - Garfield,New Jersey,Bergen,73,91.8,,4.1,,40.8786587,-74.1088789
1642,Jefferson Elementary - Wallington,New Jersey,Bergen,61,91.8,,8.2,,40.8533898,-74.1040364
1643,Al Ghazaly,New Jersey,Hudson,12,91.7,,8.3,,40.716888,-74.069505
1644,Bass River Township Elementary,New Jersey,Burlington,12,91.7,,8.3,,39.5939549,-74.4520058
1645,Brookdale Avenue,New Jersey,Essex,24,91.7,,8.3,,40.8265781,-74.2380163
1646,Cedar Creek,New Jersey,Ocean,96,91.7,,7.3,,39.8695527,-74.1974797
1647,College Achievement Charter - Asbury Park,New Jersey,Monmouth,36,91.7,,,,40.218838,-74.007014
1648,Garfield Jackson Academy,New Jersey,Essex,24,91.7,,8.3,,40.7694005,-74.2143174
1649,Hinder Them Not' Iselin Montessori,New Jersey,Middlesex,12,91.7,8.3,,,40.572817,-74.323683
1650,Holy Trinity Regional,New Jersey,Gloucester,12,91.7,,,,39.8356998,-75.1488375
1651,Kindercare - Clark,New Jersey,Union,12,91.7,,8.3,,40.6301428,-74.3155776
1652,Lavallette Elementary,New Jersey,Ocean,12,91.7,,8.3,,39.9687015,-74.0705479
1653,New Hanover,New Jersey,Burlington,24,91.7,,8.3,,40.0122319,-74.5814773
1654,Packanack Cooperative Nursery,New Jersey,Passaic,12,91.7,,8.3,,40.9417334,-74.2509916
1655,Port Republic,New Jersey,Atlantic,12,91.7,,8.3,,39.520348,-74.495103
1656,Rising Star Acadamy,New Jersey,Hudson,12,91.7,,,,40.7812576,-74.0236155
1657,Robert Fulton Annex,New Jersey,Hudson,24,91.7,,,,40.7980536,-74.011685
1658,Robert Wilentz,New Jersey,Middlesex,216,91.7,,,,40.5021762,-74.2756996
1659,Saint Veronica,New Jersey,Monmouth,12,91.7,,,,40.1520965,-74.2231295
1660,SciCore Academy,New Jersey,Mercer,12,91.7,,8.3,,40.2699896,-74.5184052
1661,Shalom Torah Academy 2,New Jersey,Monmouth,12,91.7,,8.3,,40.3529795,-74.2848107
1662,Stellar Academy of Hillsborough,New Jersey,Somerset,24,91.7,8.3,,,40.548965,-74.612665
1663,Stevens Cooperative - Garden St,New Jersey,Hudson,24,91.7,4.2,,,40.740202,-74.030739
1664,The Montessori House,New Jersey,Bergen,12,91.7,,8.3,,40.9270069,-73.9769952
1665,Upper Greenwood Lake Elementary,New Jersey,Passaic,36,91.7,,8.3,,41.1845862,-74.3867744
1666,Lucy N. Holman Elementary,New Jersey,Ocean,83,91.6,3.6,2.4,,40.1162255,-74.2859792
1667,Lakeview,New Jersey,Morris,94,91.5,,6.4,,40.870529,-74.503517
1668,Manchester Township Elementary,New Jersey,Ocean,94,91.5,,3.2,,40.0170319,-74.2992591
1669,Stony Brook Elementary,New Jersey,Morris,59,91.5,,3.6,,40.3055342,-74.7588518
1670,Summerfield Elementary,New Jersey,Monmouth,59,91.5,,,,40.2119895,-74.0664549
1671,Yeshiva Shagus Aryeh,New Jersey,Ocean,82,91.5,,4.9,,40.07677,-74.248681
1672,Camden Prep Copewood Elementary,New Jersey,Camden,58,91.4,,,,39.9250874,-75.0939431
1673,Dogwood Hill Elementary,New Jersey,Bergen,35,91.4,8.6,,,41.0184774,-74.2448437
1674,Julia A Barnes - P.S. #12,New Jersey,Hudson,58,91.4,,,,40.7185735,-74.0703098
1675,Laning Avenue,New Jersey,Essex,35,91.4,2.9,5.7,,40.8306996,-74.2338586
1676,Newark/Great Oaks Charter: Downtown Campus,New Jersey,Essex,70,91.4,,,,40.7343663,-74.1749148
1677,Ridgeway Elementary,New Jersey,Ocean,58,91.4,1.7,6.9,,40.020044,-74.2659311
1678,Saint Benedict,New Jersey,Monmouth,35,91.4,,5.7,,40.4041609,-74.2035678
1679,Haddonfield Friends,New Jersey,Camden,23,91.3,,,,39.8991049,-75.0335799
1680,Karlin Stolin,New Jersey,Ocean,23,91.3,,8.7,,40.1156102,-74.2510212
1681,South Main Street,New Jersey,Atlantic,69,91.3,,5.8,,39.3854165,-74.5289341
1682,Harrington Park,New Jersey,Bergen,57,91.2,1.8,7,,40.9837089,-73.9798601
1683,Woodrow Wilson 5,New Jersey,Bergen,56,91.1,,5.4,,40.8827335,-74.1093456
1684,Yeshiva Ohr Yehuda,New Jersey,Ocean,56,91.1,1.8,7.1,,40.093128,-74.2474079
1685,Bais Chinuch L'bonos Bayis Ruchel,New Jersey,Ocean,78,91,,6.4,,40.1025451,-74.2150379
1686,Bear Tavern Elementary,New Jersey,Mercer,55,90.9,,7.3,,40.3041378,-74.8473361
1687,Blaustein Early Childhood Center,New Jersey,Somerset,11,90.9,,9.1,,40.6124409,-74.63049
1688,Congretation Beth El,New Jersey,Camden,11,90.9,,,,39.867981,-74.945164
1689,Cooper's Poynt,New Jersey,Camden,44,90.9,,,,39.95404,-75.121991
1690,Doane Academy,New Jersey,Burlington,11,90.9,,9.1,,40.0794597,-74.8671528
1691,Hope Christian,New Jersey,Monmouth,11,90.9,,9.1,,40.2208788,-74.2734015
1692,Hopewell Elementary,New Jersey,Mercer,55,90.9,,7.3,,40.387302,-74.7579979
1693,Kesser Bais Yaakov,New Jersey,Ocean,44,90.9,,4.6,,40.074005,-74.231295
1694,Martin Luther Christian,New Jersey,Camden,11,90.9,,,,39.9447147,-75.068461
1695,Monmouth Beach,New Jersey,Monmouth,22,90.9,,4.6,,40.3345201,-73.9888797
1696,Rumson Country Day,New Jersey,Monmouth,22,90.9,,,,40.3632201,-74.0126498
1697,Saint Genevieve,New Jersey,Union,11,90.9,9.1,,,40.6699372,-74.2382949
1698,Saint Joseph Regional - Hammonton,New Jersey,Atlantic,11,90.9,,,,39.636837,-74.7999001
1699,Saint Vincent De Paul Regional,New Jersey,Atlantic,22,90.9,,4.6,,39.451547,-74.7251546
1700,The Growing Garden Nursery,New Jersey,Bergen,11,90.9,9.1,,,40.9262671,-74.0505293
1701,Washington Scool,New Jersey,Middlesex,99,90.9,1,1,,40.5157343,-74.3943749
1702,William Mason,New Jersey,Morris,22,90.9,,4.6,,40.9265686,-74.3851172
1703,Talmud Torah Bais Avrohom,New Jersey,Ocean,75,90.7,,5.3,,40.0517838,-74.1959366
1704,Davis Elementary,New Jersey,Camden,32,90.6,,,,39.9529334,-75.0766611
1705,Edith M. Decker,New Jersey,Morris,32,90.6,3.1,6.2,,40.9340464,-74.6285805
1706,Green Grove Elementary,New Jersey,Monmouth,53,90.6,,9.4,,40.2241908,-74.0734305
1707,Albert Payson Terhune Elementary,New Jersey,Passaic,42,90.5,,9.5,,40.9699628,-74.2567265
1708,Alexander D. Sullivan (PS 30),New Jersey,Hudson,63,90.5,,,,40.6939598,-74.0981275
1709,Allenwood Elementary,New Jersey,Monmouth,74,90.5,,9.5,,40.1415987,-74.1032686
1710,Fredon Township Elementary,New Jersey,Sussex,21,90.5,,9.5,,41.0336334,-74.8152852
1711,Harriet Tubman Elementary,New Jersey,Essex,42,90.5,,2.4,,40.7348111,-74.2024764
1712,Yeshiva Orchos Chaim,New Jersey,Ocean,147,90.5,,2.7,,40.073525,-74.1807856
1713,Essex Fells,New Jersey,Essex,31,90.3,3.2,6.4,,40.8302139,-74.2815236
1714,Good Shepherd Academy - Nutley,New Jersey,Essex,31,90.3,,6.4,,,
1715,Kennedy Elementary,New Jersey,Morris,62,90.3,,6.4,,40.845153,-74.657402
1716,Spring Lake Heights Elemetary,New Jersey,Monmouth,31,90.3,,9.7,,40.1542238,-74.036555
1717,Unity Charter,New Jersey,Morris,31,90.3,,9.7,,40.8055723,-74.4670584
1718,Mountain Villa,New Jersey,Warren,51,90.2,,3.9,,40.9144363,-74.8131916
1719,Baptist Regional,New Jersey,Camden,10,90,,10,,39.884256,-75.054785
1720,Battle Hill,New Jersey,Union,60,90,,5,,40.6989392,-74.2982544
1721,Elsinboro Township,New Jersey,Salem,10,90,,10,,39.551224,-75.518534
1722,Fairmount,New Jersey,Bergen,110,90,,0.9,,40.9007804,-74.0435375
