index,state,year,name,type,city,enroll,mmr,lat,lng
256,Pennsylvania,2017,North Coventry Elementary,,Pottstown,79,100,40.21852,-75.6534048
257,Pennsylvania,2017,Northside Catholic,,Pittsburgh,22,100,40.485981,-80.03609
258,Pennsylvania,2017,Northwood Academy Cs,,Philadelphia,92,100,40.0204106,-75.0948285
259,Pennsylvania,2017,Notre Dame Delourdes,,Swarthmore,25,100,39.8884963,-75.3471182
260,Pennsylvania,2017,Notre Dame Of Beth,,Bethlehem,41,100,40.6404018,-75.4137537
261,Pennsylvania,2017,Oley Valley Elementary,,Oley,95,100,40.3814481,-75.7988111
262,Pennsylvania,2017,Osceola Mills Elementary,,Osceola Mills,49,100,40.8516133,-78.2727084
263,Pennsylvania,2017,Otto-Eldred Elementary,,Eldred,31,100,41.9546053,-78.3831537
264,Pennsylvania,2017,Our Lady Of Angels Regional Catholic,,Morton,37,100,39.9075106,-75.3212023
265,Pennsylvania,2017,Our Lady Of Grace,,Penndel,28,100,40.1548376,-74.9156496
266,Pennsylvania,2017,Our Lady Of Lourdes Regional,,Coal Township,49,100,40.7862729,-76.58442
267,Pennsylvania,2017,Our Lady Of Mount Carmel,,Doylestown,38,100,40.3112843,-75.1235783
268,Pennsylvania,2017,Our Lady Of Port Richmond,,Philadelphia,49,100,39.9851559,-75.1019637
269,Pennsylvania,2017,Our Mother Perpetual Help,,Ephrata,23,100,40.1853979,-76.1733517
270,Pennsylvania,2017,Oxford Valley Elementary,,Fairless Hills,70,100,40.1782968,-74.8510463
271,Pennsylvania,2017,Palmer Elementary,,Easton,89,100,40.685926,-75.269271
272,Pennsylvania,2017,Pan American Academy Cs,,Philadelphia,113,100,39.9944922,-75.1358995
273,Pennsylvania,2017,Park Elementary,,Columbia,112,100,40.0339072,-76.4971375
274,Pennsylvania,2017,Park Hills Elementary,,Hanover,81,100,39.7892232,-76.9825777
275,Pennsylvania,2017,Patterson Primary,,Beaver Falls,71,100,40.7479505,-80.3351929
276,Pennsylvania,2017,Paxtang Elementary,,Harrisburg,52,100,40.2609017,-76.8303537
277,Pennsylvania,2017,Penn Cambria Pre-Primary,,Cresson,108,100,40.4644435,-78.5797223
278,Pennsylvania,2017,Penn London Elementary,,West Grove,299,100,39.7988894,-75.8840749
279,Pennsylvania,2017,Penn Mont Academy,,Hollidaysburg,25,100,40.4256149,-78.4121141
280,Pennsylvania,2017,Penn Valley Elementary,,Levittown,68,100,40.1627846,-74.817969
281,Pennsylvania,2017,Penn Wood Elementary,,West Chester,80,100,39.9535058,-75.5269876
282,Pennsylvania,2017,Penn Wynne,,Wynnewood,105,100,39.9869345,-75.2782237
283,Pennsylvania,2017,Penn-Kidder Campus,,Albrightsville,75,100,41.0278385,-75.5859691
284,Pennsylvania,2017,Penns Valley Area Elementaryand Intrmd,,Spring Mills,44,100,40.8753191,-77.5301964
285,Pennsylvania,2017,People For People Cs,,Philadelphia,46,100,39.968101,-75.160675
286,Pennsylvania,2017,Phebe Anna Thorne Kindergarten,,Bryn Mawr,24,100,40.0281641,-75.3183362
287,Pennsylvania,2017,Philadelphia Montessori Cs,,Philadelphia,27,100,39.9164363,-75.2454905
288,Pennsylvania,2017,Philipsburg Elementary,,Philipsburg,68,100,40.9035393,-78.2018155
289,Pennsylvania,2017,Pickering Valley Elementary,,Chester Springs,39,100,40.07944,-75.686722
290,Pennsylvania,2017,Pittsburgh Allegheny K-5,,Pittsburgh,150,100,40.4534289,-80.0081888
291,Pennsylvania,2017,Pittsburgh Beechwood K-5,,Pittsburgh,44,100,40.4146174,-80.0206113
