index,state,year,name,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
221,North Dakota,2017-18,Garden Valley Elementary,Williston,Williams ,,78.00,88.46,,0,0,2.564102564,48.285662,-103.619272
222,North Dakota,2017-18,North Sargent Elementary,Gwinner,Sargent,,17.00,88.24,,0,11.76470588,0,46.224766,-97.664653
223,North Dakota,2017-18,Ray Elementary,Ray,Williams ,,33.00,87.88,,0,0,0,48.344671,-103.169312
224,North Dakota,2017-18,Fargo School District-Home,Fargo,,,8.00,87.50,,0,0,12.5,46.8422971,-96.9186434
225,North Dakota,2017-18,North Border-Pembina Elementary,Pembina,Pembina,,16.00,87.50,,0,12.5,0,48.967561,-97.248721
226,North Dakota,2017-18,Prairie View Elementary,New Salem,Morton,,24.00,87.50,,4.166666667,4.166666667,4.166666667,46.846879,-101.411914
227,North Dakota,2017-18,Mcvay Elementary,Williston,Williams ,,94.00,87.23,,0,5.319148936,2.127659574,48.148735,-103.614499
228,North Dakota,2017-18,Hope Christian Academy,Dickinson,Stark,,15.00,86.67,,0,0,0,46.91222,-102.792571
229,North Dakota,2017-18,East Fairview Elementary,Fairview,McKenzie,,7.00,85.71,,0,0,14.28571429,47.8557443,-104.040597
230,North Dakota,2017-18,Cathedral Of The Holy Spirit,Bismarck,Burleigh,,34.00,85.29,,5.882352941,14.70588235,0,46.81045,-100.796421
231,North Dakota,2017-18,Jefferson Elementary,Fargo,Cass,,54.00,85.19,,0,1.851851852,0,46.871355,-96.80965
232,North Dakota,2017-18,Prairie Rose Elementary,Bismarck,Burleigh,,20.00,85.00,,0,15,0,46.737271,-100.758923
233,North Dakota,2017-18,Center-Stanton Elementary,Center,Oliver,,13.00,84.62,,0,15.38461538,0,47.117758,-101.297618
234,North Dakota,2017-18,Lakota Elementary,Lakota,Nelson,,13.00,84.62,,0,0,0,48.044726,-98.339593
235,North Dakota,2017-18,Cavalier Elementary,Cavalier,Pembina,,32.00,84.38,,0,12.5,3.125,48.794704,-97.61854
236,North Dakota,2017-18,Hebron Elementary,Hebron,Morton,,19.00,84.21,,0,15.78947368,0,46.903936,-102.049593
237,North Dakota,2017-18,North Shore Plaza Elementary,Plaza,Ward,,19.00,84.21,,0,0,0,47.9619274,-101.8050289
238,North Dakota,2017-18,Elgin-New Leipzig Elementary,Elgin,Grant,,12.00,83.33,,0,8.333333333,0,46.403099,-101.848876
239,North Dakota,2017-18,Linton Elementary,Linton,Emmons,,12.00,83.33,,0,0,0,46.267062,-100.227194
240,North Dakota,2017-18,Roosevelt Elementary,Minot,Ward,,24.00,83.33,,0,8.333333333,4.166666667,48.243924,-101.28209
241,North Dakota,2017-18,Jefferson Elementary,Dickinson,Stark,,64.00,82.81,,6.25,9.375,1.5625,46.885165,-102.8021
242,North Dakota,2017-18,Powers Lake Elementary,Powers Lake,Burke,,23.00,82.61,,0,0,4.347826087,48.560178,-102.637614
243,North Dakota,2017-18,Gackle-Streeter Elementary,Gackle,Logan,,11.00,81.82,,81.81818182,0,0,46.627397,-99.138061
244,North Dakota,2017-18,St Catherine Elementary,Valley City,Barnes,,11.00,81.82,,0,0,0,46.928272,-97.999686
245,North Dakota,2017-18,Will-Moore Elementary,Bismarck,Burleigh,,27.00,81.48,,0,14.81481481,0,46.814295,-100.785277
246,North Dakota,2017-18,South Prairie Elementary,Minot,Ward,,31.00,80.65,,0,6.451612903,0,48.053181,-101.297903
247,North Dakota,2017-18,Apple Creek Elementary,Bismarck,Burleigh,,10.00,80.00,,0,10,0,46.784122,-100.647709
248,North Dakota,2017-18,New England Elementary,New England,Hettinger,,15.00,80.00,,0,0,6.666666667,46.543817,-102.868016
249,North Dakota,2017-18,Wing Elementary,Wing,Burleigh,,5.00,80.00,,0,20,0,47.139137,-100.279726
250,North Dakota,2017-18,Central Elementary,Tioga,Williams ,,43.00,76.74,,0,4.651162791,4.651162791,48.398743,-102.93889
251,North Dakota,2017-18,Enderlin Area Elementary,Enderlin,Ransom,,17.00,76.47,,0,0,0,46.621569,-97.603
252,North Dakota,2017-18,Twin Buttes Elementary,Halliday,Dunn,,8.00,75.00,,0,12.5,0,47.517551,-102.247442
253,North Dakota,2017-18,Christ The King Elementary,Mandan,Morton,,23.00,73.91,,0,17.39130435,4.347826087,46.82959,-100.907041
254,North Dakota,2017-18,Finley-Sharon Elementary,Finley,Steele,,7.00,71.43,,0,28.57142857,0,47.513868,-97.83447
255,North Dakota,2017-18,Sawyer Elementary,Sawyer,Ward,,7.00,71.43,,0,14.28571429,14.28571429,48.088603,-101.054903
256,North Dakota,2017-18,Lidgerwood Elementary,Lidgerwood,Richland,,10.00,70.00,,0,30,0,46.074419,-97.14801
257,North Dakota,2017-18,Newburg-United Elementary,Newburg,Bottineau,,10.00,70.00,,10,10,0,48.712432,-100.914904
258,North Dakota,2017-18,Killdeer Elementary,Killdeer,Dunn,,44.00,68.18,,0,15.90909091,2.272727273,47.372673,-102.756261
259,North Dakota,2017-18,Johnson Corners Christian Academy,Watford City,McKenzie,,9.00,66.67,,0,22.22222222,11.11111111,47.80371,-102.943571
260,North Dakota,2017-18,Midkota Elementary,Binford,Griggs,,18.00,66.67,,0,5.555555556,0,47.562885,-98.346921
261,North Dakota,2017-18,St Michael's,Grand Forks,Grand Forks,,30.00,66.67,,0,3.333333333,3.333333333,47.927055,-97.039106
262,North Dakota,2017-18,Mandaree Elementary,,McKenzie,,17.00,58.82,,0,0,0,47.727721,-102.675756
263,North Dakota,2017-18,Williston Trinity Christian,Williston,Williams ,,25.00,48.00,,0,12,0,48.167,-103.636841
264,North Dakota,2017-18,West Fargo Home,West Fargo,,,7.00,42.86,,0,42.85714286,0,46.8760349,-96.9022909
265,North Dakota,2017-18,Valley-Edinburg Elementary School-Crystal,Hoople,Pembina,,14.00,35.71,,0,14.28571429,0,48.59492,-97.673931
266,North Dakota,2017-18,Theodore Jamerson Elementary,Bismarck,Burleigh,,32.00,28.13,,0,0,0,46.768017,-100.754314
267,North Dakota,2017-18,Anne Carlsen Center,Jamestown,Stutsman,,,,,,,,46.910878,-98.718106
268,North Dakota,2017-18,Bakker Elementary,Hague,Emmons,,,,,,,,46.028951,-100.192185
269,North Dakota,2017-18,Demores Elementary,Medora,Billings,,,,,,,,46.913538,-103.523501
270,North Dakota,2017-18,Edmore Elementary,Edmore,Ramsey,,,,,,,,48.41498,-98.453891
271,North Dakota,2017-18,Fordville-Lankin Elementary,Fordville,Walsh,,,,,,,,48.220111,-97.791335
272,North Dakota,2017-18,Fort Ransom Elementary,Lisbon,Ransom,,,,,,,,46.523182,-97.934377
273,North Dakota,2017-18,Golva Elementary,Golva,Golden Valley,,,,,,,,46.735076,-103.9858
274,North Dakota,2017-18,Goodrich Elementary,Goodrich,Sheridan,,,,,,,,47.473686,-100.127723
275,North Dakota,2017-18,Grant Colony,Enderlin,Ransom,,,,,,,,46.609607,-97.72305
276,North Dakota,2017-18,Halliday Elementary,Halliday,Dunn,,,,,,,,47.349406,-102.337413
277,North Dakota,2017-18,Invitation Hill Adventist,Dickinson,Stark,,,,,,,,46.88649,-102.783501
278,North Dakota,2017-18,Little Heart Elementary,Saint Anthony,Morton,,,,,,,,46.617338,-100.911392
279,North Dakota,2017-18,Maple River Elementary,Ellendale,Dickey,,,,,,,,46.071525,-98.440177
280,North Dakota,2017-18,Maple Valley Elementary,Tower City,Cass,,,,,,,,46.921089,-97.674975
281,North Dakota,2017-18,Prairie Elementary,Medora,Billings,,,,,,,,47.125893,-103.19952
282,North Dakota,2017-18,Saint Thomas Elementary,Saint Thomas,Pembina,,,,,,,,48.618978,-97.451387
283,North Dakota,2017-18,Selfridge Elementary,Selfridge,Sioux,,,,,,,,46.038895,-100.921838
284,North Dakota,2017-18,Spruce Lane Colony,Blanchard,Traill,,,,,,,,47.32168,-97.188965
285,North Dakota,2017-18,St Ann's Catholic,Belcourt,Rolette,,,,,,,,48.839942,-99.755095
286,North Dakota,2017-18,Starkweather Elementary,Starkweather,Ramsey,,,,,,,,48.452207,-98.874933
287,North Dakota,2017-18,Sterling Elementary,Sterling,Burleigh,,,,,,,,46.81354,-100.294011
288,North Dakota,2017-18,Sundale Colony,Milnor,Ransom,,,,,,,,46.323771,-97.441927
289,North Dakota,2017-18,Victory Christian,Jamestown,Stutsman,,,,,,,,46.90305,-98.721981
290,North Dakota,2017-18,Wheatland Colony,Tower City,Cass,,,,,,,,46.925838,-97.653977
291,North Dakota,2017-18,Willow Bank Colony,Edgeley,LaMoure,,,,,,,,46.31452,-98.570727
292,North Dakota,2017-18,Wolford Elementary,Wolford,Pierce,,,,,,,,48.4945,-99.705442
293,North Dakota,2017-18,Zeeland Elementary,Zeeland,McIntosh,,,,,,,,45.968603,-99.830978
