index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1171,Minnesota,2017-18,Isd 728 Focus/Journey,Sherburne,,,,,,,45.312498,-93.576608
1172,Minnesota,2017-18,Isle Alc,Mille Lacs,,,,,,,46.1372521,-93.4749717
1173,Minnesota,2017-18,Isle Elementary,Mille Lacs,,,,,,,46.133545,-93.472419
1174,Minnesota,2017-18,Isle Sec.,Mille Lacs,,,,,,,46.1376908,-93.4746456
1175,Minnesota,2017-18,Jennings Community Learning Center,Ramsey,,,,,,,44.9649267,-93.1995535
1176,Minnesota,2017-18,Jonathan Montessori,Carver,,,,,,,44.819401,-93.612072
1177,Minnesota,2017-18,King Of Grace Lutheran,Hennepin,,,,,,,45.000896,-93.356711
1178,Minnesota,2017-18,Kipp North Star Primary,Hennepin,,,,,,,45.046839,-93.307674
1179,Minnesota,2017-18,Kokesh Alc,Mille Lacs,,,,,,,46.0601436,-93.6739968
1180,Minnesota,2017-18,Lake Region Christian,Crow Wing,,,,,,,46.35266,-94.246671
1181,Minnesota,2017-18,Laura Baker Sun Program,Rice,,,,,,,44.457413,-93.147281
1182,Minnesota,2017-18,Laura Macarthur Elementary,St. Louis,,,,,,,46.743801,-92.16723
1183,Minnesota,2017-18,Learning For Leadership,Hennepin,,,,,,,45.0290001,-93.2610884
1184,Minnesota,2017-18,Lester Park Elementary,St. Louis,,,,,,,46.840009,-92.016387
1185,Minnesota,2017-18,Letoile Du Nord Lower,Ramsey,,,,,,,44.9807038,-93.0387093
1186,Minnesota,2017-18,Level 4 Program Pathways To Change,Chisago,,,,,,,45.38195,-92.868279
1187,Minnesota,2017-18,Link12 Lakeville,Dakota,,,,,,,44.64478,-93.240675
1188,Minnesota,2017-18,Lismore Colony Elementary,Big Stone,,,,,,,45.4211113,-96.5825427
1189,Minnesota,2017-18,Little Voyageurs Montessori,Anoka,,,,,,,45.06182,-93.249201
1190,Minnesota,2017-18,Lubavitch Chedar Day,Ramsey,,,,,,,44.9176896,-93.1745219
1191,Minnesota,2017-18,M.A.C.C.R.A.Y. East Elementary,Chippewa,,,,,,,45.017897,-95.2387958
1192,Minnesota,2017-18,M.A.C.C.R.A.Y. Sr.,Chippewa,,,,,,,44.9568946,-95.3748002
1193,Minnesota,2017-18,M.A.C.C.R.A.Y. West Elementary,Chippewa,,,,,,,44.91094,-95.467401
1194,Minnesota,2017-18,Maple Lake Sec.,Wright,,,,,,,45.2298134,-94.0039178
1195,Minnesota,2017-18,Maranatha Seventh Day Adventist,Dodge,,,,,,,44.9354405,-93.382193
1196,Minnesota,2017-18,Mcgregor Elementary,Aitkin,,,,,,,46.605395,-93.304631
1197,Minnesota,2017-18,Mcgregor Sec.,Aitkin,,,,,,,46.6058696,-93.3054662
