index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
718,Oregon,2018-19,Madrone Trail Public Charter,Jackson,21,61.79245283,51.88679245,0.4716981132,25.47169811,,42.345655,-122.945536
719,Oregon,2018-19,Bridge Charter Academy,Lane,46,57.55102041,52.24489796,0,32.24489796,,43.91728,-122.780311
720,Oregon,2018-19,Oregon Family,Deschutes,33,56.87732342,49.07063197,0.3717472119,31.97026022,,44.0884434,-121.2470362
721,Oregon,2018-19,John Muir Elementary,Jackson,12,56.8,47.2,0,33.6,,42.192429,-122.68724
722,Oregon,2018-19,Dallas Community Charter,Polk,24,46.66666667,42.56410256,0.5128205128,37.94871795,,44.91563,-123.327181
723,Oregon,2018-19,Village,Lane,18,43.11111111,33.33333333,0,28.88888889,,44.02739,-123.096157
724,Oregon,2018-19,Ashwood Elementary,Jefferson,1,,,,,,44.735634,-120.756215
725,Oregon,2018-19,Diamond Elementary,Harney,1,,,,,,43.008306,-118.686328
726,Oregon,2018-19,Double O Elementary,Harney,1,,,,,,43.330091,-119.279103
727,Oregon,2018-19,Drewsey Elementary,Harney,1,,,,,,43.80571,-118.378192
728,Oregon,2018-19,Gearhart Elementary,Klamath,5,,,,,,42.39396,-121.045192
729,Oregon,2018-19,Juntura Elementary,Malheur,1,,,,,,43.745199,-118.085109
730,Oregon,2018-19,Old Mill Center For Children & Familielies,Benton,1,,,,,,44.5491624,-123.3037964
731,Oregon,2018-19,Plush Elementary,Lake,2,,,,,,42.412288,-119.903218
732,Oregon,2018-19,Rockville Elementary,Malheur,1,,,,,,43.31675,-117.108681
733,Oregon,2018-19,Suntex Elementary,Harney,2,,,,,,43.574425,-119.566407
